Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168746,30/12/2025,Leamington,Alfreton,Joe Clarke,right-foot,set-piece,block,0.174,0.0
14168746,30/12/2025,Leamington,Alfreton,Joe Clarke,right-foot,corner,goal,0.1713,0.4486
14168746,30/12/2025,Leamington,Alfreton,Joe Clarke,right-foot,regular,save,0.02329,0.164
14168677,22/11/2025,Leamington,Chester,Joe Clarke,right-foot,regular,block,0.02117,0.0
14168920,10/03/2026,Leamington,Hereford,Joe Clarke,right-foot,corner,save,0.1523,0.1871
14969964,09/12/2025,Leamington,Telford,Joe Clarke,right-foot,set-piece,block,0.126,0.0
14168740,26/12/2025,Leamington,Bedford,Joe Clarke,right-foot,corner,save,0.03645,0.1263
14168859,14/02/2026,Leamington,Marine,Joe Clarke,head,corner,miss,0.1912,0.0
14168600,11/10/2025,Leamington,Scarborough,Joe Clarke,left-foot,set-piece,save,0.1649,0.327
14168565,06/08/2025,Leamington,Spennymoor,Joe Clarke,right-foot,throw-in-set-piece,miss,0.0205,0.0
14169009,18/04/2026,Leamington,Kidderminster,Joe Clarke,right-foot,set-piece,block,0.004195,0.0
