Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168638,01/11/2025,Kidderminster,Alfreton,Joe Foulkes,head,regular,miss,0.006051,0.0
14168638,01/11/2025,Kidderminster,Alfreton,Joe Foulkes,right-foot,regular,block,0.02195,0.0
14168807,27/01/2026,Kidderminster,Bedford,Joe Foulkes,head,regular,miss,0.006271,0.0
15473461,17/03/2026,Kidderminster,Chorley,Joe Foulkes,right-foot,throw-in-set-piece,block,0.02638,0.0
14168524,25/08/2025,Kidderminster,Leamington,Joe Foulkes,right-foot,regular,miss,0.09186,0.0
14168561,06/09/2025,Kidderminster,Macclesfield,Joe Foulkes,right-foot,regular,miss,0.03947,0.0
14168597,11/10/2025,Kidderminster,Radcliffe,Joe Foulkes,right-foot,regular,miss,0.1061,0.0
14168633,25/10/2025,Kidderminster,Spennymoor,Joe Foulkes,right-foot,regular,save,0.02052,0.008143
14168750,30/12/2025,Kidderminster,Telford,Joe Foulkes,left-foot,throw-in-set-piece,miss,0.03818,0.0
14168764,03/01/2026,Kidderminster,Curzon Ashton,Joe Foulkes,left-foot,regular,miss,0.04962,0.0
14168764,03/01/2026,Kidderminster,Curzon Ashton,Joe Foulkes,right-foot,regular,save,0.03905,0.07801
14168884,24/02/2026,Kidderminster,Marine,Joe Foulkes,right-foot,regular,miss,0.01095,0.0
14168923,10/03/2026,Kidderminster,Peterborough,Joe Foulkes,right-foot,regular,block,0.1972,0.0
15227997,03/02/2026,Kidderminster,Macclesfield,Joe Foulkes,left-foot,regular,goal,0.5457,0.7826
15227997,03/02/2026,Kidderminster,Macclesfield,Joe Foulkes,right-foot,regular,save,0.1739,0.1377
14168692,25/11/2025,Kidderminster,Marine,Joe Foulkes,right-foot,corner,miss,0.08908,0.0
14168620,21/10/2025,Kidderminster,Merthyr,Joe Foulkes,right-foot,regular,miss,0.06912,0.0
14168585,04/10/2025,Kidderminster,Peterborough,Joe Foulkes,right-foot,throw-in-set-piece,block,0.03264,0.0
14168799,24/01/2026,Kidderminster,Scarborough,Joe Foulkes,right-foot,corner,save,0.06019,0.2438
14168483,16/08/2025,Kidderminster,Worksop,Joe Foulkes,right-foot,regular,miss,0.1271,0.0
14168483,16/08/2025,Kidderminster,Worksop,Joe Foulkes,right-foot,throw-in-set-piece,block,0.001894,0.0
