Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168759,03/01/2026,Worksop,Chester,Joe Leesley,left-foot,regular,block,0.02791,0.0
14168590,11/10/2025,Worksop,Fylde,Joe Leesley,left-foot,free-kick,miss,0.0006584,0.0
14168571,20/09/2025,Worksop,Hereford,Joe Leesley,left-foot,regular,block,0.02573,0.0
14168560,06/09/2025,Worksop,Merthyr,Joe Leesley,left-foot,regular,save,0.003404,0.003029
14168539,30/08/2025,Worksop,Chester,Joe Leesley,right-foot,regular,block,0.1561,0.0
14168539,30/08/2025,Worksop,Chester,Joe Leesley,left-foot,regular,block,0.03705,0.0
14168539,30/08/2025,Worksop,Chester,Joe Leesley,left-foot,regular,block,0.004481,0.0
14168539,30/08/2025,Worksop,Chester,Joe Leesley,left-foot,throw-in-set-piece,miss,0.002179,0.0
14168553,02/09/2025,Worksop,Spennymoor,Joe Leesley,left-foot,free-kick,miss,0.0005682,0.0
14168587,04/10/2025,Worksop,Bedford,Joe Leesley,left-foot,free-kick,save,0.06422,0.2881
14168587,04/10/2025,Worksop,Bedford,Joe Leesley,right-foot,throw-in-set-piece,save,0.02308,0.01635
14168685,22/11/2025,Worksop,Curzon Ashton,Joe Leesley,head,regular,miss,0.2372,0.0
