Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168479,16/08/2025,King's Lynn,Hereford,Joe Nyahwema,right-foot,regular,miss,0.001998,0.0
14168479,16/08/2025,King's Lynn,Hereford,Joe Nyahwema,right-foot,regular,block,0.02392,0.0
14168473,09/08/2025,King's Lynn,Telford,Joe Nyahwema,right-foot,regular,block,0.006735,0.0
14168473,09/08/2025,King's Lynn,Telford,Joe Nyahwema,right-foot,regular,block,0.02112,0.0
14168473,09/08/2025,King's Lynn,Telford,Joe Nyahwema,right-foot,regular,post,0.02996,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,left-foot,corner,block,0.00222,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,right-foot,regular,miss,0.1455,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,left-foot,regular,miss,0.02322,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,right-foot,corner,block,0.01932,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,left-foot,regular,block,0.1164,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,left-foot,regular,block,0.06561,0.0
14168513,23/08/2025,King's Lynn,Darlington,Joe Nyahwema,right-foot,corner,save,0.02341,0.1242
14168533,30/08/2025,King's Lynn,Merthyr,Joe Nyahwema,left-foot,regular,miss,0.1822,0.0
14168544,02/09/2025,King's Lynn,Kidderminster,Joe Nyahwema,right-foot,corner,miss,0.007605,0.0
14168581,04/10/2025,King's Lynn,Scarborough,Joe Nyahwema,right-foot,regular,save,0.01395,0.01601
14168604,18/10/2025,King's Lynn,Fylde,Joe Nyahwema,right-foot,regular,save,0.06478,0.08296
14168604,18/10/2025,King's Lynn,Fylde,Joe Nyahwema,head,regular,save,0.2848,0.4314
14168503,19/08/2025,King's Lynn,Spennymoor,Joe Nyahwema,right-foot,regular,miss,0.01213,0.0
