Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168476,09/08/2025,Radcliffe,Buxton,Jon Taylor,right-foot,throw-in-set-piece,block,0.00101,0.0
14168597,11/10/2025,Radcliffe,Kidderminster,Jon Taylor,right-foot,corner,miss,0.008338,0.0
14168597,11/10/2025,Radcliffe,Kidderminster,Jon Taylor,right-foot,regular,block,0.03281,0.0
14168634,25/10/2025,Radcliffe,King's Lynn,Jon Taylor,right-foot,regular,save,0.08185,0.1447
14168512,23/08/2025,Radcliffe,Leamington,Jon Taylor,right-foot,free-kick,miss,0.0006011,0.0
15122242,06/01/2026,Radcliffe,Macclesfield,Jon Taylor,right-foot,corner,block,0.009193,1.003e-05
15234057,20/01/2026,Radcliffe,Marine,Jon Taylor,right-foot,free-kick,post,0.0007313,0.0
14168477,16/08/2025,Radcliffe,Spennymoor,Jon Taylor,right-foot,regular,save,0.7223,0.7249
14168477,16/08/2025,Radcliffe,Spennymoor,Jon Taylor,right-foot,regular,block,0.017,0.0
14168504,19/08/2025,Radcliffe,Worksop,Jon Taylor,right-foot,regular,block,0.01018,0.0
14168504,19/08/2025,Radcliffe,Worksop,Jon Taylor,right-foot,free-kick,save,0.1291,0.03071
14168586,04/10/2025,Radcliffe,Alfreton,Jon Taylor,left-foot,regular,block,0.00394,0.0
14168586,04/10/2025,Radcliffe,Alfreton,Jon Taylor,head,regular,miss,0.2575,0.0
14168608,18/10/2025,Radcliffe,Bedford,Jon Taylor,right-foot,throw-in-set-piece,save,0.2687,0.6571
14168608,18/10/2025,Radcliffe,Bedford,Jon Taylor,right-foot,regular,miss,0.008086,0.0
14168618,21/10/2025,Radcliffe,Darlington,Jon Taylor,right-foot,regular,block,0.1234,0.0
14168731,20/12/2025,Radcliffe,Leamington,Jon Taylor,right-foot,regular,block,0.01733,0.0
14168798,24/01/2026,Radcliffe,Buxton,Jon Taylor,right-foot,free-kick,save,0.09482,0.187
14168814,27/01/2026,Radcliffe,Scarborough,Jon Taylor,right-foot,regular,block,0.09062,0.0
14168814,27/01/2026,Radcliffe,Scarborough,Jon Taylor,right-foot,free-kick,save,0.1365,0.237
14168790,17/01/2026,Radcliffe,Spennymoor,Jon Taylor,right-foot,regular,block,0.04291,0.0
14168790,17/01/2026,Radcliffe,Spennymoor,Jon Taylor,right-foot,set-piece,block,0.02756,0.0
14168891,28/02/2026,Radcliffe,Telford,Jon Taylor,right-foot,regular,block,0.406,0.0
14168988,11/04/2026,Radcliffe,South Shields,Jon Taylor,right-foot,free-kick,save,0.07488,0.02768
14169012,25/04/2026,Radcliffe,Macclesfield,Jon Taylor,right-foot,regular,save,0.05845,0.5117
14168961,28/03/2026,Radcliffe,Worksop,Jon Taylor,right-foot,regular,save,0.03324,0.01429
