Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168751,30/12/2025,Worksop,Buxton,Jordan Burrow,head,throw-in-set-piece,save,0.06386,0.0691
14168751,30/12/2025,Worksop,Buxton,Jordan Burrow,right-foot,regular,block,0.1259,0.0
14168751,30/12/2025,Worksop,Buxton,Jordan Burrow,head,regular,save,0.314,0.7393
14168751,30/12/2025,Worksop,Buxton,Jordan Burrow,head,regular,miss,0.196,0.0
14168759,03/01/2026,Worksop,Chester,Jordan Burrow,right-foot,throw-in-set-piece,block,0.2464,0.0
14168759,03/01/2026,Worksop,Chester,Jordan Burrow,head,regular,miss,0.1625,0.0
14168656,04/11/2025,Worksop,Darlington,Jordan Burrow,head,corner,miss,0.04246,0.0
14168656,04/11/2025,Worksop,Darlington,Jordan Burrow,right-foot,regular,miss,0.009867,0.0
14168656,04/11/2025,Worksop,Darlington,Jordan Burrow,right-foot,regular,goal,0.3023,0.4077
14168571,20/09/2025,Worksop,Hereford,Jordan Burrow,right-foot,regular,save,0.08601,0.09469
14168571,20/09/2025,Worksop,Hereford,Jordan Burrow,left-foot,regular,miss,0.14,0.0
14168788,17/01/2026,Worksop,Kidderminster,Jordan Burrow,head,throw-in-set-piece,miss,0.007266,0.0
14168703,29/11/2025,Worksop,Leamington,Jordan Burrow,right-foot,throw-in-set-piece,save,0.05556,0.06593
14168487,09/08/2025,Worksop,Macclesfield,Jordan Burrow,right-foot,regular,save,0.3034,0.3281
14168487,09/08/2025,Worksop,Macclesfield,Jordan Burrow,head,set-piece,save,0.468,0.8305
14168560,06/09/2025,Worksop,Merthyr,Jordan Burrow,head,regular,save,0.09794,0.09347
14168560,06/09/2025,Worksop,Merthyr,Jordan Burrow,head,regular,post,0.07313,0.0
14168526,25/08/2025,Worksop,Peterborough,Jordan Burrow,right-foot,corner,block,0.3668,0.0
14168526,25/08/2025,Worksop,Peterborough,Jordan Burrow,head,corner,block,0.1061,0.0
14168526,25/08/2025,Worksop,Peterborough,Jordan Burrow,right-foot,regular,miss,0.03105,0.0
14168526,25/08/2025,Worksop,Peterborough,Jordan Burrow,right-foot,regular,post,0.0672,0.0
14168732,20/12/2025,Worksop,Southport,Jordan Burrow,left-foot,set-piece,miss,0.2013,0.0
14168732,20/12/2025,Worksop,Southport,Jordan Burrow,right-foot,throw-in-set-piece,goal,0.8245,0.7188
14168732,20/12/2025,Worksop,Southport,Jordan Burrow,head,set-piece,miss,0.4932,0.0
14168732,20/12/2025,Worksop,Southport,Jordan Burrow,right-foot,set-piece,save,0.2215,0.27
14168483,16/08/2025,Worksop,Kidderminster,Jordan Burrow,head,throw-in-set-piece,save,0.01738,0.02425
14168612,18/10/2025,Worksop,Marine,Jordan Burrow,head,regular,miss,0.05201,0.0
14168612,18/10/2025,Worksop,Marine,Jordan Burrow,head,regular,miss,0.1192,0.0
14168612,18/10/2025,Worksop,Marine,Jordan Burrow,head,set-piece,miss,0.2044,0.0
14168625,21/10/2025,Worksop,King's Lynn,Jordan Burrow,right-foot,regular,goal,0.6131,0.7947
14168625,21/10/2025,Worksop,King's Lynn,Jordan Burrow,right-foot,set-piece,goal,0.6877,0.8987
14168651,01/11/2025,Worksop,Scarborough,Jordan Burrow,left-foot,throw-in-set-piece,block,0.03918,0.0
14168651,01/11/2025,Worksop,Scarborough,Jordan Burrow,head,throw-in-set-piece,miss,0.03605,0.0
14168685,22/11/2025,Worksop,Curzon Ashton,Jordan Burrow,head,regular,block,0.2219,0.0
14168720,06/11/2025,Worksop,Chorley,Jordan Burrow,head,regular,miss,0.08613,0.0
14168720,06/11/2025,Worksop,Chorley,Jordan Burrow,left-foot,regular,goal,0.2922,0.0
14168744,26/12/2025,Worksop,Alfreton,Jordan Burrow,right-foot,regular,block,0.0178,0.0
14168744,26/12/2025,Worksop,Alfreton,Jordan Burrow,head,regular,miss,0.2448,0.0
14168817,27/01/2026,Worksop,Darlington,Jordan Burrow,head,regular,goal,0.1263,0.6452
14168817,27/01/2026,Worksop,Darlington,Jordan Burrow,head,regular,save,0.08985,0.1739
14168817,27/01/2026,Worksop,Darlington,Jordan Burrow,head,throw-in-set-piece,save,0.03239,0.232
14168817,27/01/2026,Worksop,Darlington,Jordan Burrow,left-foot,regular,save,0.0998,0.07591
