Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168784,17/01/2026,Southport,Bedford,Jordan Slew,right-foot,regular,goal,0.0782,0.4553
14168784,17/01/2026,Southport,Bedford,Jordan Slew,right-foot,regular,miss,0.002623,0.0
14168784,17/01/2026,Southport,Bedford,Jordan Slew,left-foot,regular,miss,0.006277,0.0
14168654,04/11/2025,Southport,Buxton,Jordan Slew,left-foot,regular,block,0.006684,0.0
14168654,04/11/2025,Southport,Buxton,Jordan Slew,left-foot,throw-in-set-piece,block,0.006651,0.0
14168841,10/02/2026,Southport,Chorley,Jordan Slew,right-foot,set-piece,block,0.0116,0.0
14168630,25/10/2025,Southport,Darlington,Jordan Slew,right-foot,regular,block,0.059,0.0
14168663,08/11/2025,Southport,Hereford,Jordan Slew,left-foot,regular,save,0.03268,0.0323
14168663,08/11/2025,Southport,Hereford,Jordan Slew,right-foot,regular,goal,0.3083,0.2832
14168871,21/02/2026,Southport,Kidderminster,Jordan Slew,right-foot,throw-in-set-piece,block,0.004421,0.0
15399965,03/02/2026,Southport,King's Lynn,Jordan Slew,right-foot,set-piece,block,0.002053,0.0
14168547,02/09/2025,Southport,Leamington,Jordan Slew,right-foot,regular,save,0.01729,0.1758
14168547,02/09/2025,Southport,Leamington,Jordan Slew,right-foot,regular,save,0.1433,0.1233
14168489,09/08/2025,Southport,Merthyr,Jordan Slew,head,regular,miss,0.2772,0.0
14168489,09/08/2025,Southport,Merthyr,Jordan Slew,right-foot,regular,block,0.01946,0.0
14168606,18/10/2025,Southport,Oxford,Jordan Slew,right-foot,throw-in-set-piece,goal,0.119,0.5005
14168888,24/02/2026,Southport,Radcliffe,Jordan Slew,right-foot,regular,miss,0.04014,0.0
14168888,24/02/2026,Southport,Radcliffe,Jordan Slew,right-foot,regular,block,0.01557,0.0
14168534,30/08/2025,Southport,Scarborough,Jordan Slew,left-foot,regular,miss,0.03346,0.0
14168534,30/08/2025,Southport,Scarborough,Jordan Slew,right-foot,regular,miss,0.005956,0.0
14168481,16/08/2025,Southport,Bedford,Jordan Slew,right-foot,regular,miss,0.0005648,0.0
14168529,25/08/2025,Southport,Fylde,Jordan Slew,right-foot,free-kick,block,0.002759,0.0
14168529,25/08/2025,Southport,Fylde,Jordan Slew,left-foot,regular,save,0.08875,0.5697
