Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168865,21/02/2026,Merthyr,Alfreton,Jordon Garrick,left-foot,regular,goal,0.3283,0.258
14168865,21/02/2026,Merthyr,Alfreton,Jordon Garrick,right-foot,throw-in-set-piece,miss,0.09702,0.0
14168865,21/02/2026,Merthyr,Alfreton,Jordon Garrick,left-foot,regular,miss,0.04926,0.0
14168843,10/02/2026,Merthyr,Kidderminster,Jordon Garrick,right-foot,regular,save,0.08852,0.07225
14168836,07/02/2026,Merthyr,Chorley,Jordon Garrick,right-foot,regular,block,0.0165,0.0
14168861,14/02/2026,Merthyr,Bedford,Jordon Garrick,right-foot,regular,goal,0.8074,0.9331
14168897,28/02/2026,Merthyr,Buxton,Jordon Garrick,head,regular,post,0.1773,0.0
14168897,28/02/2026,Merthyr,Buxton,Jordon Garrick,left-foot,throw-in-set-piece,block,0.05679,0.0
14168897,28/02/2026,Merthyr,Buxton,Jordon Garrick,right-foot,regular,miss,0.1319,0.0
14168983,06/04/2026,Merthyr,Hereford,Jordon Garrick,right-foot,regular,save,0.09942,0.07992
14168990,11/04/2026,Merthyr,Macclesfield,Jordon Garrick,left-foot,regular,block,0.03192,0.0
14168997,18/04/2026,Merthyr,Scarborough,Jordon Garrick,right-foot,regular,save,0.2255,0.2116
