Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168611,21/10/2025,Oxford,Bedford,Josh Ashby,right-foot,regular,save,0.05263,0.02781
14168611,21/10/2025,Oxford,Bedford,Josh Ashby,right-foot,throw-in-set-piece,save,0.01322,0.03704
14168557,06/09/2025,Oxford,Buxton,Josh Ashby,right-foot,throw-in-set-piece,block,0.002433,0.0
14168591,11/10/2025,Oxford,Chorley,Josh Ashby,left-foot,regular,block,0.04827,0.0
14168919,10/03/2026,Oxford,Curzon Ashton,Josh Ashby,right-foot,free-kick,block,0.2369,0.0
14168919,10/03/2026,Oxford,Curzon Ashton,Josh Ashby,right-foot,free-kick,miss,0.0009366,0.0
14168919,10/03/2026,Oxford,Curzon Ashton,Josh Ashby,right-foot,regular,miss,0.04299,0.0
14168919,10/03/2026,Oxford,Curzon Ashton,Josh Ashby,right-foot,regular,save,0.04504,0.05888
14168919,10/03/2026,Oxford,Curzon Ashton,Josh Ashby,head,regular,block,0.07189,0.0
14168482,09/08/2025,Oxford,Fylde,Josh Ashby,other,own-goal,goal,,0.0
14168500,19/08/2025,Oxford,Kidderminster,Josh Ashby,right-foot,set-piece,miss,0.1085,0.0
14168500,19/08/2025,Oxford,Kidderminster,Josh Ashby,right-foot,free-kick,post,0.1321,0.0
14168833,07/02/2026,Oxford,Leamington,Josh Ashby,right-foot,free-kick,miss,0.0008317,0.0
14168793,17/01/2026,Oxford,Macclesfield,Josh Ashby,right-foot,regular,block,0.06298,0.0
14168793,17/01/2026,Oxford,Macclesfield,Josh Ashby,left-foot,regular,miss,0.126,0.0
14168471,16/08/2025,Oxford,Macclesfield,Josh Ashby,right-foot,regular,save,0.1339,0.1391
14168516,23/08/2025,Oxford,Spennymoor,Josh Ashby,right-foot,regular,save,0.02476,0.01473
14168516,23/08/2025,Oxford,Spennymoor,Josh Ashby,right-foot,free-kick,block,0.001635,0.0
14168535,30/08/2025,Oxford,Radcliffe,Josh Ashby,right-foot,regular,miss,0.01275,0.0
14168550,02/09/2025,Oxford,Alfreton,Josh Ashby,left-foot,corner,miss,0.02749,0.0
14168584,04/10/2025,Oxford,Curzon Ashton,Josh Ashby,right-foot,regular,block,0.1954,0.0
14168584,04/10/2025,Oxford,Curzon Ashton,Josh Ashby,right-foot,regular,save,0.03331,0.02869
14168584,04/10/2025,Oxford,Curzon Ashton,Josh Ashby,right-foot,free-kick,save,0.0547,0.2092
14168584,04/10/2025,Oxford,Curzon Ashton,Josh Ashby,left-foot,regular,save,0.4535,0.5326
14168584,04/10/2025,Oxford,Curzon Ashton,Josh Ashby,right-foot,regular,post,0.05345,0.0
14168606,18/10/2025,Oxford,Southport,Josh Ashby,right-foot,regular,miss,0.003009,0.0
14168606,18/10/2025,Oxford,Southport,Josh Ashby,right-foot,throw-in-set-piece,block,0.002923,0.0
14168606,18/10/2025,Oxford,Southport,Josh Ashby,right-foot,regular,save,0.08366,0.1491
14168606,18/10/2025,Oxford,Southport,Josh Ashby,right-foot,free-kick,post,0.181,0.0
14168606,18/10/2025,Oxford,Southport,Josh Ashby,right-foot,free-kick,miss,0.0004749,0.0
14168636,25/10/2025,Oxford,Leamington,Josh Ashby,right-foot,regular,save,0.2147,0.6444
14168636,25/10/2025,Oxford,Leamington,Josh Ashby,left-foot,regular,goal,0.2366,0.6535
14168636,25/10/2025,Oxford,Leamington,Josh Ashby,right-foot,regular,block,0.007352,0.0
14168846,01/11/2025,Oxford,Bedford,Josh Ashby,right-foot,regular,goal,0.1091,0.6084
14168659,04/11/2025,Oxford,Hereford,Josh Ashby,right-foot,free-kick,goal,0.239,0.4605
14168659,04/11/2025,Oxford,Hereford,Josh Ashby,left-foot,regular,miss,0.1371,0.0
14168671,08/11/2025,Oxford,Worksop,Josh Ashby,right-foot,throw-in-set-piece,save,0.01397,0.0596
14168705,29/11/2025,Oxford,King's Lynn,Josh Ashby,right-foot,free-kick,miss,0.001341,0.0
14168705,29/11/2025,Oxford,King's Lynn,Josh Ashby,right-foot,regular,save,0.0553,0.06268
14168705,29/11/2025,Oxford,King's Lynn,Josh Ashby,right-foot,free-kick,save,0.07243,0.0295
14168725,06/12/2025,Oxford,Darlington,Josh Ashby,right-foot,regular,save,0.02526,0.03263
14168725,06/12/2025,Oxford,Darlington,Josh Ashby,right-foot,regular,block,0.07922,0.0
