Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168831,07/02/2026,Bedford,Chester,Josh Castiglione,right-foot,corner,block,0.04143,0.0
14168831,07/02/2026,Bedford,Chester,Josh Castiglione,head,corner,goal,0.3141,0.5935
14168866,21/02/2026,Bedford,Chorley,Josh Castiglione,head,regular,save,0.09932,0.09318
14168866,21/02/2026,Bedford,Chorley,Josh Castiglione,right-foot,regular,goal,0.2354,0.6371
14168866,21/02/2026,Bedford,Chorley,Josh Castiglione,right-foot,throw-in-set-piece,block,0.00349,0.0
14168879,24/02/2026,Bedford,Peterborough,Josh Castiglione,right-foot,regular,save,0.04939,0.01966
14168939,21/03/2026,Bedford,Buxton,Josh Castiglione,right-foot,throw-in-set-piece,block,0.01555,0.0
15399954,03/02/2026,Bedford,Curzon Ashton,Josh Castiglione,right-foot,regular,save,0.05013,0.1108
15399954,03/02/2026,Bedford,Curzon Ashton,Josh Castiglione,right-foot,regular,block,0.01521,0.0
14168861,14/02/2026,Bedford,Merthyr,Josh Castiglione,right-foot,throw-in-set-piece,save,0.04075,0.2628
14168912,07/03/2026,Bedford,Spennymoor,Josh Castiglione,right-foot,regular,block,0.05394,0.0
14168912,07/03/2026,Bedford,Spennymoor,Josh Castiglione,right-foot,throw-in-set-piece,block,0.004602,0.0
14168950,28/03/2026,Bedford,Telford,Josh Castiglione,right-foot,regular,block,0.2561,0.0
