Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168520,25/08/2025,Darlington,Telford,Josh Scott,head,regular,miss,0.05409,0.0
14168520,25/08/2025,Darlington,Telford,Josh Scott,left-foot,regular,goal,0.09736,0.7262
14168564,06/09/2025,Darlington,Hereford,Josh Scott,right-foot,regular,save,0.291,0.6531
14168569,20/09/2025,Darlington,Chester,Josh Scott,left-foot,regular,goal,0.4449,0.692
14168569,20/09/2025,Darlington,Chester,Josh Scott,left-foot,regular,block,0.01738,0.0
14168823,31/01/2026,Darlington,Merthyr,Josh Scott,right-foot,regular,miss,0.01289,0.0
14168513,23/08/2025,Darlington,King's Lynn,Josh Scott,left-foot,corner,miss,0.001602,0.0
14168538,30/08/2025,Darlington,Macclesfield,Josh Scott,right-foot,regular,save,0.01291,0.3149
14168549,02/09/2025,Darlington,Marine,Josh Scott,left-foot,regular,block,0.04291,0.0
14168549,02/09/2025,Darlington,Marine,Josh Scott,left-foot,regular,save,0.07601,0.04986
14168618,21/10/2025,Darlington,Radcliffe,Josh Scott,left-foot,regular,post,0.2907,0.0
14168817,27/01/2026,Darlington,Worksop,Josh Scott,left-foot,regular,block,0.2063,0.0
14168817,27/01/2026,Darlington,Worksop,Josh Scott,head,regular,miss,0.1493,0.0
