Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168723,20/12/2025,Marine,Bedford,Josh Wardle,head,corner,save,0.146,0.5889
14168510,23/08/2025,Marine,Bedford,Josh Wardle,head,set-piece,goal,0.09595,0.3892
14168541,30/08/2025,Marine,Peterborough,Josh Wardle,left-foot,regular,block,0.002587,0.0
14168549,02/09/2025,Marine,Darlington,Josh Wardle,head,corner,save,0.05338,0.04629
14168549,02/09/2025,Marine,Darlington,Josh Wardle,head,corner,save,0.06076,0.04319
14168549,02/09/2025,Marine,Darlington,Josh Wardle,head,corner,save,0.04706,0.4352
14168619,11/10/2025,Marine,Curzon Ashton,Josh Wardle,head,corner,miss,0.2157,0.0
14168741,26/12/2025,Marine,Southport,Josh Wardle,left-foot,regular,goal,0.2225,0.3888
15234057,20/01/2026,Marine,Radcliffe,Josh Wardle,head,corner,goal,0.1723,0.6318
15234057,20/01/2026,Marine,Radcliffe,Josh Wardle,left-foot,corner,miss,0.09121,0.0
14168921,10/03/2026,Marine,Macclesfield,Josh Wardle,head,throw-in-set-piece,miss,0.04041,0.0
14168921,10/03/2026,Marine,Macclesfield,Josh Wardle,head,set-piece,miss,0.06189,0.0
14168501,19/08/2025,Marine,Merthyr,Josh Wardle,right-foot,set-piece,goal,0.6036,0.8741
14168562,06/09/2025,Marine,Radcliffe,Josh Wardle,head,set-piece,miss,0.1283,0.0
14168936,21/03/2026,Marine,Telford,Josh Wardle,head,regular,miss,0.08263,0.0
14168936,21/03/2026,Marine,Telford,Josh Wardle,head,regular,block,0.3384,0.0
