Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168485,09/08/2025,Peterborough,Chester,Josiah Dyer,left-foot,regular,block,0.01832,0.0
14168485,09/08/2025,Peterborough,Chester,Josiah Dyer,right-foot,regular,goal,0.3338,0.773
14168485,09/08/2025,Peterborough,Chester,Josiah Dyer,left-foot,throw-in-set-piece,goal,0.1352,0.6556
14168541,30/08/2025,Peterborough,Marine,Josiah Dyer,right-foot,regular,save,0.04555,0.02662
14168541,30/08/2025,Peterborough,Marine,Josiah Dyer,right-foot,regular,miss,0.08517,0.0
14168490,16/08/2025,Peterborough,Merthyr,Josiah Dyer,right-foot,regular,save,0.0835,0.1182
14168502,19/08/2025,Peterborough,Leamington,Josiah Dyer,head,regular,miss,0.2411,0.0
14168502,19/08/2025,Peterborough,Leamington,Josiah Dyer,right-foot,regular,block,0.1174,0.0
14168559,06/09/2025,Peterborough,Fylde,Josiah Dyer,right-foot,regular,miss,0.1018,0.0
14168515,23/08/2025,Peterborough,Scarborough,Josiah Dyer,right-foot,regular,block,0.05631,0.0
14168515,23/08/2025,Peterborough,Scarborough,Josiah Dyer,right-foot,regular,save,0.2987,0.6543
14168546,02/09/2025,Peterborough,Telford,Josiah Dyer,right-foot,regular,miss,0.01006,0.0
14168546,02/09/2025,Peterborough,Telford,Josiah Dyer,right-foot,regular,block,0.003522,0.0
