Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168496,19/08/2025,Bedford,Telford,Junior Gyamfi,right-foot,regular,save,0.03479,0.0138
14168496,19/08/2025,Bedford,Telford,Junior Gyamfi,right-foot,set-piece,block,0.02933,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,left-foot,regular,save,0.06674,0.329
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,right-foot,regular,miss,0.0542,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,right-foot,regular,miss,0.03215,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,left-foot,regular,miss,0.1818,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,left-foot,regular,block,0.1374,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,right-foot,corner,save,0.1529,0.3223
14168555,06/09/2025,Bedford,Curzon Ashton,Junior Gyamfi,right-foot,corner,block,0.01964,0.0
14168568,20/09/2025,Bedford,Spennymoor,Junior Gyamfi,right-foot,throw-in-set-piece,miss,0.004593,0.0
14168611,21/10/2025,Bedford,Oxford,Junior Gyamfi,right-foot,regular,miss,0.01208,0.0
14168658,08/11/2025,Bedford,Merthyr,Junior Gyamfi,right-foot,regular,block,0.04708,0.0
14168658,08/11/2025,Bedford,Merthyr,Junior Gyamfi,right-foot,set-piece,block,0.1428,0.0
14837121,11/11/2025,Bedford,Buxton,Junior Gyamfi,left-foot,throw-in-set-piece,miss,0.004732,0.0
14168699,29/11/2025,Bedford,Darlington,Junior Gyamfi,right-foot,regular,miss,0.09453,0.0
14168699,29/11/2025,Bedford,Darlington,Junior Gyamfi,right-foot,set-piece,block,0.009876,0.0
15029190,16/12/2025,Bedford,Macclesfield,Junior Gyamfi,right-foot,regular,save,0.04529,0.7435
15029190,16/12/2025,Bedford,Macclesfield,Junior Gyamfi,right-foot,regular,block,0.1675,0.0
14168723,20/12/2025,Bedford,Marine,Junior Gyamfi,right-foot,corner,miss,0.01375,0.0
14168748,30/12/2025,Bedford,King's Lynn,Junior Gyamfi,right-foot,throw-in-set-piece,save,0.01871,0.01731
14168755,03/01/2026,Bedford,Fylde,Junior Gyamfi,head,regular,save,0.08775,0.07445
14168755,03/01/2026,Bedford,Fylde,Junior Gyamfi,right-foot,regular,block,0.05674,0.0
14168755,03/01/2026,Bedford,Fylde,Junior Gyamfi,right-foot,regular,save,0.04939,0.01966
14168784,17/01/2026,Bedford,Southport,Junior Gyamfi,left-foot,set-piece,miss,0.07187,0.0
14168784,17/01/2026,Bedford,Southport,Junior Gyamfi,right-foot,set-piece,block,0.003054,0.0
14168626,25/10/2025,Bedford,Chester,Junior Gyamfi,right-foot,regular,miss,0.05727,0.0
14168678,22/11/2025,Bedford,Chorley,Junior Gyamfi,right-foot,regular,save,0.02477,0.0112
15399954,03/02/2026,Bedford,Curzon Ashton,Junior Gyamfi,right-foot,regular,block,0.001331,0.0
14168532,30/08/2025,Bedford,Fylde,Junior Gyamfi,right-foot,free-kick,save,0.244,0.109
14168545,02/09/2025,Bedford,Hereford,Junior Gyamfi,right-foot,regular,block,0.09946,0.0
14168740,26/12/2025,Bedford,Leamington,Junior Gyamfi,right-foot,throw-in-set-piece,save,0.804,0.8601
14168510,23/08/2025,Bedford,Marine,Junior Gyamfi,right-foot,regular,block,0.002476,0.0
14168510,23/08/2025,Bedford,Marine,Junior Gyamfi,right-foot,set-piece,save,0.06322,0.2465
14168861,14/02/2026,Bedford,Merthyr,Junior Gyamfi,right-foot,regular,block,0.05396,0.0
14168694,25/11/2025,Bedford,Peterborough,Junior Gyamfi,right-foot,throw-in-set-piece,block,0.01061,0.0
14168718,06/12/2025,Bedford,Scarborough,Junior Gyamfi,right-foot,throw-in-set-piece,miss,0.002568,0.0
14168718,06/12/2025,Bedford,Scarborough,Junior Gyamfi,right-foot,regular,miss,0.01698,0.0
14168481,16/08/2025,Bedford,Southport,Junior Gyamfi,left-foot,regular,block,0.1182,0.0
14168481,16/08/2025,Bedford,Southport,Junior Gyamfi,right-foot,regular,miss,0.005037,0.0
14168481,16/08/2025,Bedford,Southport,Junior Gyamfi,right-foot,regular,save,0.2367,0.1782
14168587,04/10/2025,Bedford,Worksop,Junior Gyamfi,right-foot,regular,goal,0.02405,0.1934
14168587,04/10/2025,Bedford,Worksop,Junior Gyamfi,right-foot,regular,miss,0.0281,0.0
