Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168568,20/09/2025,Spennymoor,Bedford,Junior Mondal,left-foot,regular,block,0.05817,0.0
14168568,20/09/2025,Spennymoor,Bedford,Junior Mondal,left-foot,regular,goal,0.09658,0.5864
14168568,20/09/2025,Spennymoor,Bedford,Junior Mondal,left-foot,regular,goal,0.4857,0.6902
14168568,20/09/2025,Spennymoor,Bedford,Junior Mondal,left-foot,throw-in-set-piece,miss,0.08095,0.0
14168820,31/10/2025,Spennymoor,Buxton,Junior Mondal,left-foot,regular,save,0.09933,0.05338
14168690,25/11/2025,Spennymoor,Chorley,Junior Mondal,left-foot,corner,block,0.01856,0.0
14168690,25/11/2025,Spennymoor,Chorley,Junior Mondal,left-foot,regular,save,0.1129,0.1971
14168679,22/11/2025,Spennymoor,Darlington,Junior Mondal,left-foot,regular,save,0.127,0.09047
15399474,17/02/2026,Spennymoor,Leamington,Junior Mondal,left-foot,regular,miss,0.0796,0.0
14168717,06/12/2025,Spennymoor,Marine,Junior Mondal,left-foot,regular,save,0.291,0.3928
14168934,14/03/2026,Spennymoor,Merthyr,Junior Mondal,left-foot,regular,goal,0.1685,0.5834
14168934,14/03/2026,Spennymoor,Merthyr,Junior Mondal,left-foot,regular,save,0.2052,0.6878
14168862,14/02/2026,Spennymoor,Peterborough,Junior Mondal,left-foot,regular,goal,0.04093,0.3099
14168862,14/02/2026,Spennymoor,Peterborough,Junior Mondal,right-foot,regular,save,0.3676,0.3979
14168495,09/08/2025,Spennymoor,Hereford,Junior Mondal,left-foot,regular,miss,0.03191,0.0
14168565,06/08/2025,Spennymoor,Leamington,Junior Mondal,left-foot,regular,miss,0.1297,0.0
14168565,06/08/2025,Spennymoor,Leamington,Junior Mondal,left-foot,regular,save,0.05609,0.01922
14168565,06/08/2025,Spennymoor,Leamington,Junior Mondal,left-foot,regular,save,0.01373,0.009802
14168592,04/10/2025,Spennymoor,Southport,Junior Mondal,left-foot,regular,goal,0.4732,0.5053
14168592,04/10/2025,Spennymoor,Southport,Junior Mondal,left-foot,regular,save,0.03814,0.5069
14168592,04/10/2025,Spennymoor,Southport,Junior Mondal,left-foot,set-piece,save,0.235,0.2937
14168614,18/10/2025,Spennymoor,Merthyr,Junior Mondal,left-foot,regular,goal,0.184,0.3951
14168614,18/10/2025,Spennymoor,Merthyr,Junior Mondal,right-foot,throw-in-set-piece,goal,0.7391,0.9104
14168672,08/11/2025,Spennymoor,Peterborough,Junior Mondal,left-foot,regular,miss,0.02688,0.0
15141451,13/12/2025,Spennymoor,Buxton,Junior Mondal,left-foot,regular,block,0.04523,0.0
15141451,13/12/2025,Spennymoor,Buxton,Junior Mondal,left-foot,set-piece,block,0.007489,0.0
14168733,20/12/2025,Spennymoor,Oxford,Junior Mondal,left-foot,regular,miss,0.0467,0.0
14168760,30/12/2025,Spennymoor,Scarborough,Junior Mondal,left-foot,corner,miss,0.004221,0.0
14168790,17/01/2026,Spennymoor,Radcliffe,Junior Mondal,left-foot,throw-in-set-piece,save,0.01962,0.1216
15212553,20/01/2026,Spennymoor,Chester,Junior Mondal,left-foot,regular,save,0.3142,0.4556
15212553,20/01/2026,Spennymoor,Chester,Junior Mondal,right-foot,regular,post,0.1239,0.0
14168890,24/02/2026,Spennymoor,Chorley,Junior Mondal,left-foot,regular,save,0.3699,0.7156
14168890,24/02/2026,Spennymoor,Chorley,Junior Mondal,left-foot,regular,save,0.1037,0.111
14168912,07/03/2026,Spennymoor,Bedford,Junior Mondal,left-foot,regular,save,0.1441,0.5708
14168912,07/03/2026,Spennymoor,Bedford,Junior Mondal,left-foot,regular,save,0.2318,0.7537
15447033,17/03/2026,Spennymoor,Curzon Ashton,Junior Mondal,left-foot,regular,miss,0.0232,0.0
14168949,21/03/2026,Spennymoor,Alfreton,Junior Mondal,right-foot,regular,block,0.05548,0.0
14168553,02/09/2025,Spennymoor,Worksop,Junior Mondal,left-foot,regular,goal,0.2591,0.7197
14168553,02/09/2025,Spennymoor,Worksop,Junior Mondal,left-foot,regular,miss,0.02847,0.0
