Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15659749,19/03/2026,Alfreton,Hereford,Kai Lissimore,right-foot,corner,goal,0.08688,0.3897
15659749,19/03/2026,Alfreton,Hereford,Kai Lissimore,left-foot,throw-in-set-piece,block,0.1175,0.0
15659749,19/03/2026,Alfreton,Hereford,Kai Lissimore,right-foot,throw-in-set-piece,block,0.008708,0.0
15416663,24/03/2026,Alfreton,Macclesfield,Kai Lissimore,other,own-goal,goal,,0.0
15495083,17/03/2026,Alfreton,Southport,Kai Lissimore,right-foot,regular,block,0.03339,0.0
14168995,11/04/2026,Alfreton,Oxford,Kai Lissimore,right-foot,regular,block,0.01076,0.0
14168995,11/04/2026,Alfreton,Oxford,Kai Lissimore,left-foot,throw-in-set-piece,block,0.004413,0.0
15519412,14/04/2026,Alfreton,Buxton,Kai Lissimore,right-foot,regular,miss,0.01909,0.0
15519412,14/04/2026,Alfreton,Buxton,Kai Lissimore,right-foot,regular,block,0.09518,0.0
14169002,18/04/2026,Alfreton,Marine,Kai Lissimore,right-foot,regular,block,0.04908,0.0
