Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168580,04/10/2025,Darlington,Buxton,Kallum Griffiths,right-foot,corner,miss,0.01628,0.0
14168787,17/01/2026,Darlington,Alfreton,Kallum Griffiths,right-foot,corner,miss,0.00949,0.0
14168823,31/01/2026,Darlington,Merthyr,Kallum Griffiths,left-foot,corner,block,0.01729,0.0
15341358,03/03/2026,Darlington,Macclesfield,Kallum Griffiths,right-foot,throw-in-set-piece,miss,0.03346,0.0
15559405,24/03/2026,Darlington,Kidderminster,Kallum Griffiths,right-foot,throw-in-set-piece,save,0.02439,0.04577
15261863,17/02/2026,Darlington,Hereford,Kallum Griffiths,left-foot,corner,save,0.01391,0.006304
15261863,17/02/2026,Darlington,Hereford,Kallum Griffiths,right-foot,regular,save,0.03481,0.08018
15261863,17/02/2026,Darlington,Hereford,Kallum Griffiths,left-foot,regular,save,0.1003,0.2167
15261863,17/02/2026,Darlington,Hereford,Kallum Griffiths,right-foot,regular,save,0.03712,0.01722
14168605,18/10/2025,Darlington,Leamington,Kallum Griffiths,right-foot,free-kick,block,0.3117,0.0
