Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168865,21/02/2026,Merthyr,Alfreton,Keiran Evans,left-foot,corner,miss,0.01285,0.0
14168865,21/02/2026,Merthyr,Alfreton,Keiran Evans,left-foot,regular,miss,0.04114,0.0
14168865,21/02/2026,Merthyr,Alfreton,Keiran Evans,left-foot,throw-in-set-piece,miss,0.01444,0.0
14168700,29/11/2025,Merthyr,Buxton,Keiran Evans,left-foot,corner,save,0.0318,0.01868
14168700,29/11/2025,Merthyr,Buxton,Keiran Evans,left-foot,regular,save,0.0794,0.2612
14168507,23/08/2025,Merthyr,Curzon Ashton,Keiran Evans,left-foot,regular,save,0.01209,0.009827
14168507,23/08/2025,Merthyr,Curzon Ashton,Keiran Evans,right-foot,regular,goal,0.1858,0.4216
14168489,09/08/2025,Merthyr,Southport,Keiran Evans,left-foot,regular,block,0.01655,0.0
14168525,25/08/2025,Merthyr,Scarborough,Keiran Evans,left-foot,regular,save,0.01775,0.02237
14168525,25/08/2025,Merthyr,Scarborough,Keiran Evans,right-foot,regular,block,0.0856,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Keiran Evans,left-foot,regular,save,0.106,0.06801
14168765,03/01/2026,Merthyr,King's Lynn,Keiran Evans,left-foot,regular,goal,0.1356,0.4353
14168789,17/01/2026,Merthyr,Peterborough,Keiran Evans,left-foot,regular,save,0.01793,0.01702
14168811,27/01/2026,Merthyr,Telford,Keiran Evans,left-foot,regular,block,0.08744,0.0
14168811,27/01/2026,Merthyr,Telford,Keiran Evans,left-foot,throw-in-set-piece,post,0.06428,0.0
14168861,14/02/2026,Merthyr,Bedford,Keiran Evans,left-foot,regular,block,0.03076,0.0
14168804,24/01/2026,Merthyr,Southport,Keiran Evans,left-foot,regular,save,0.1172,0.05465
14168781,10/01/2026,Merthyr,Worksop,Keiran Evans,left-foot,regular,block,0.0613,0.0
14168781,10/01/2026,Merthyr,Worksop,Keiran Evans,left-foot,regular,save,0.04306,0.1455
