Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168942,21/03/2026,Scarborough,Leamington,Kieran Weledji,right-foot,set-piece,miss,0.3032,0.0
14168942,21/03/2026,Scarborough,Leamington,Kieran Weledji,head,corner,save,0.1297,0.5044
14168942,21/03/2026,Scarborough,Leamington,Kieran Weledji,left-foot,regular,block,0.3003,0.0
14168834,07/02/2026,Scarborough,Marine,Kieran Weledji,head,corner,block,0.02431,0.0
14168730,20/12/2025,Scarborough,Peterborough,Kieran Weledji,head,corner,goal,0.1615,0.2682
14168730,20/12/2025,Scarborough,Peterborough,Kieran Weledji,left-foot,regular,block,0.1163,0.0
14168814,27/01/2026,Scarborough,Radcliffe,Kieran Weledji,head,set-piece,goal,0.08683,0.1384
14168607,16/08/2025,Scarborough,Fylde,Kieran Weledji,left-foot,regular,goal,0.6123,0.7554
14168552,02/09/2025,Scarborough,Buxton,Kieran Weledji,head,corner,save,0.2891,0.5693
14168552,02/09/2025,Scarborough,Buxton,Kieran Weledji,right-foot,regular,miss,0.01671,0.0
14168695,25/11/2025,Scarborough,Alfreton,Kieran Weledji,right-foot,regular,miss,0.004997,0.0
14168779,10/01/2026,Scarborough,Chester,Kieran Weledji,right-foot,throw-in-set-piece,goal,0.4745,0.8079
14168779,10/01/2026,Scarborough,Chester,Kieran Weledji,right-foot,corner,block,0.07362,0.0
14168829,31/01/2026,Scarborough,Worksop,Kieran Weledji,right-foot,regular,block,0.008409,0.0
14168854,10/02/2026,Scarborough,South Shields,Kieran Weledji,head,regular,save,0.2303,0.2241
14168863,14/02/2026,Scarborough,Curzon Ashton,Kieran Weledji,left-foot,regular,block,0.05811,0.0
14168863,14/02/2026,Scarborough,Curzon Ashton,Kieran Weledji,right-foot,corner,goal,0.2229,0.5241
14168935,14/03/2026,Scarborough,Telford,Kieran Weledji,left-foot,regular,block,0.1304,0.0
14168623,21/10/2025,Scarborough,South Shields,Kieran Weledji,right-foot,throw-in-set-piece,save,0.06806,0.2325
14168601,18/10/2025,Scarborough,Telford,Kieran Weledji,head,corner,miss,0.06123,0.0
14168651,01/11/2025,Scarborough,Worksop,Kieran Weledji,right-foot,throw-in-set-piece,save,0.1757,0.3336
