Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15659749,19/03/2026,Hereford,Alfreton,Lawson D'Ath,head,throw-in-set-piece,save,0.1442,0.3078
15659749,19/03/2026,Hereford,Alfreton,Lawson D'Ath,right-foot,regular,save,0.04082,0.1559
15659749,19/03/2026,Hereford,Alfreton,Lawson D'Ath,left-foot,regular,save,0.0406,0.04473
14168687,25/11/2025,Hereford,Chester,Lawson D'Ath,left-foot,regular,block,0.05432,0.0
14168722,20/12/2025,Hereford,Chorley,Lawson D'Ath,right-foot,regular,block,0.005548,0.0
14168722,20/12/2025,Hereford,Chorley,Lawson D'Ath,right-foot,free-kick,save,0.06066,0.02922
14168564,06/09/2025,Hereford,Darlington,Lawson D'Ath,right-foot,regular,save,0.05003,0.0279
14168564,06/09/2025,Hereford,Darlington,Lawson D'Ath,right-foot,throw-in-set-piece,block,0.00173,0.0
14168506,23/08/2025,Hereford,Chorley,Lawson D'Ath,right-foot,corner,block,0.007033,0.0
14168506,23/08/2025,Hereford,Chorley,Lawson D'Ath,left-foot,set-piece,block,0.06695,0.0
14168531,30/08/2025,Hereford,Alfreton,Lawson D'Ath,right-foot,regular,miss,0.03113,0.0
14168545,02/09/2025,Hereford,Bedford,Lawson D'Ath,right-foot,corner,goal,0.04041,0.112
14168545,02/09/2025,Hereford,Bedford,Lawson D'Ath,right-foot,corner,block,0.004888,0.0
14168571,20/09/2025,Hereford,Worksop,Lawson D'Ath,right-foot,regular,miss,0.04593,0.0
14168882,24/02/2026,Hereford,Chester,Lawson D'Ath,right-foot,set-piece,miss,0.0279,0.0
14168794,17/01/2026,Hereford,King's Lynn,Lawson D'Ath,right-foot,regular,save,0.08016,0.2521
14168794,17/01/2026,Hereford,King's Lynn,Lawson D'Ath,right-foot,free-kick,miss,0.000757,0.0
14168794,17/01/2026,Hereford,King's Lynn,Lawson D'Ath,right-foot,regular,block,0.002275,0.0
14168582,04/10/2025,Hereford,Leamington,Lawson D'Ath,right-foot,regular,miss,0.1242,0.0
14168582,04/10/2025,Hereford,Leamington,Lawson D'Ath,right-foot,regular,save,0.1566,0.3461
14168582,04/10/2025,Hereford,Leamington,Lawson D'Ath,right-foot,regular,save,0.02511,0.01396
14168523,25/08/2025,Hereford,Radcliffe,Lawson D'Ath,right-foot,throw-in-set-piece,block,0.006114,0.0
14168523,25/08/2025,Hereford,Radcliffe,Lawson D'Ath,right-foot,regular,block,0.02173,0.0
14168913,07/03/2026,Hereford,Worksop,Lawson D'Ath,left-foot,set-piece,miss,0.06727,0.0
