Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168752,30/12/2025,South Shields,Darlington,Lennon Wheeldon,right-foot,regular,block,0.1829,0.0
14168752,30/12/2025,South Shields,Darlington,Lennon Wheeldon,right-foot,regular,miss,0.1868,0.0
14168752,30/12/2025,South Shields,Darlington,Lennon Wheeldon,right-foot,regular,goal,0.1879,0.6761
14168932,14/03/2026,South Shields,Hereford,Lennon Wheeldon,left-foot,regular,goal,0.5288,0.0
14168932,14/03/2026,South Shields,Hereford,Lennon Wheeldon,right-foot,regular,save,0.05539,0.05267
14168797,24/01/2026,South Shields,Marine,Lennon Wheeldon,right-foot,throw-in-set-piece,save,0.05704,0.4195
14168797,24/01/2026,South Shields,Marine,Lennon Wheeldon,right-foot,regular,block,0.001459,0.0
14168900,28/02/2026,South Shields,Peterborough,Lennon Wheeldon,right-foot,throw-in-set-piece,block,0.00161,0.0
14168900,28/02/2026,South Shields,Peterborough,Lennon Wheeldon,right-foot,regular,miss,0.09345,0.0
14168900,28/02/2026,South Shields,Peterborough,Lennon Wheeldon,right-foot,regular,block,0.003952,0.0
14168900,28/02/2026,South Shields,Peterborough,Lennon Wheeldon,right-foot,regular,goal,0.01199,0.06073
14168900,28/02/2026,South Shields,Peterborough,Lennon Wheeldon,right-foot,regular,block,0.01595,0.0
14168854,10/02/2026,South Shields,Scarborough,Lennon Wheeldon,right-foot,regular,block,0.0102,0.0
14168854,10/02/2026,South Shields,Scarborough,Lennon Wheeldon,left-foot,regular,miss,0.03817,0.0
14168854,10/02/2026,South Shields,Scarborough,Lennon Wheeldon,right-foot,regular,miss,0.01297,0.0
14168854,10/02/2026,South Shields,Scarborough,Lennon Wheeldon,left-foot,throw-in-set-piece,miss,0.02801,0.0
14936374,18/11/2025,South Shields,Oxford,Lennon Wheeldon,right-foot,regular,block,0.008199,0.0
14936374,18/11/2025,South Shields,Oxford,Lennon Wheeldon,right-foot,regular,save,0.06226,0.02853
14936374,18/11/2025,South Shields,Oxford,Lennon Wheeldon,right-foot,regular,block,0.03222,0.0
15184997,18/12/2025,South Shields,Peterborough,Lennon Wheeldon,right-foot,regular,block,0.07108,0.0
14168745,26/12/2025,South Shields,Spennymoor,Lennon Wheeldon,right-foot,regular,block,0.006204,0.0
15322118,20/01/2026,South Shields,Southport,Lennon Wheeldon,left-foot,regular,block,0.02594,0.0
15322118,20/01/2026,South Shields,Southport,Lennon Wheeldon,left-foot,regular,block,0.1228,0.0
15322118,20/01/2026,South Shields,Southport,Lennon Wheeldon,right-foot,regular,miss,0.3269,0.0
14168885,24/02/2026,South Shields,Worksop,Lennon Wheeldon,right-foot,regular,goal,0.7271,0.8798
15473420,03/03/2026,South Shields,Fylde,Lennon Wheeldon,right-foot,regular,miss,0.2799,0.0
15473420,03/03/2026,South Shields,Fylde,Lennon Wheeldon,right-foot,throw-in-set-piece,block,0.02592,0.0
14168960,28/03/2026,South Shields,Alfreton,Lennon Wheeldon,right-foot,regular,goal,0.1059,0.1364
14168960,28/03/2026,South Shields,Alfreton,Lennon Wheeldon,left-foot,regular,save,0.09491,0.05353
14169020,25/04/2026,South Shields,Kidderminster,Lennon Wheeldon,head,regular,save,0.2195,0.5596
14168973,06/04/2026,South Shields,Darlington,Lennon Wheeldon,right-foot,regular,miss,0.05161,0.0
14168973,06/04/2026,South Shields,Darlington,Lennon Wheeldon,right-foot,regular,post,0.3976,0.0
14168970,03/04/2026,South Shields,Spennymoor,Lennon Wheeldon,right-foot,regular,block,0.01096,0.0
14168970,03/04/2026,South Shields,Spennymoor,Lennon Wheeldon,right-foot,regular,block,0.1112,0.0
14168970,03/04/2026,South Shields,Spennymoor,Lennon Wheeldon,right-foot,regular,save,0.05965,0.02536
