Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168723,20/12/2025,Marine,Bedford,Lewis Bell,right-foot,regular,miss,0.3777,0.0
14168723,20/12/2025,Marine,Bedford,Lewis Bell,right-foot,regular,save,0.3273,0.3351
14168884,24/02/2026,Marine,Kidderminster,Lewis Bell,right-foot,regular,miss,0.01007,0.0
14168541,30/08/2025,Marine,Peterborough,Lewis Bell,right-foot,regular,save,0.235,0.2938
14168549,02/09/2025,Marine,Darlington,Lewis Bell,head,regular,block,0.196,0.0
14168680,22/11/2025,Marine,Oxford,Lewis Bell,right-foot,regular,save,0.04987,0.03633
14168810,27/01/2026,Marine,Chester,Lewis Bell,right-foot,regular,goal,0.6005,0.5829
14168501,19/08/2025,Marine,Merthyr,Lewis Bell,right-foot,throw-in-set-piece,save,0.3014,0.4493
14168501,19/08/2025,Marine,Merthyr,Lewis Bell,left-foot,regular,goal,0.31,0.619
15366761,17/03/2026,Marine,Peterborough,Lewis Bell,left-foot,regular,save,0.09587,0.04906
