Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15416663,24/03/2026,Macclesfield,Alfreton,Lewis Fensome,right-foot,regular,miss,0.02472,0.0
15416663,24/03/2026,Macclesfield,Alfreton,Lewis Fensome,head,corner,miss,0.2195,0.0
15029190,16/12/2025,Macclesfield,Bedford,Lewis Fensome,head,regular,miss,0.1015,0.0
15029190,16/12/2025,Macclesfield,Bedford,Lewis Fensome,head,corner,block,0.2459,0.0
14168747,30/12/2025,Macclesfield,Chester,Lewis Fensome,head,set-piece,save,0.09663,0.08819
14168622,21/10/2025,Macclesfield,Leamington,Lewis Fensome,right-foot,regular,block,0.06585,0.0
14168548,02/09/2025,Macclesfield,Merthyr,Lewis Fensome,head,corner,miss,0.0981,0.0
14168548,02/09/2025,Macclesfield,Merthyr,Lewis Fensome,left-foot,regular,block,0.01478,0.0
14168615,18/10/2025,Macclesfield,Curzon Ashton,Lewis Fensome,right-foot,regular,miss,0.03383,0.0
14168615,18/10/2025,Macclesfield,Curzon Ashton,Lewis Fensome,left-foot,regular,block,0.1286,0.0
14168615,18/10/2025,Macclesfield,Curzon Ashton,Lewis Fensome,head,regular,save,0.03948,0.04996
14168669,08/11/2025,Macclesfield,Telford,Lewis Fensome,right-foot,regular,miss,0.1188,0.0
14168669,08/11/2025,Macclesfield,Telford,Lewis Fensome,right-foot,regular,miss,0.01217,0.0
14168708,29/11/2025,Macclesfield,Scarborough,Lewis Fensome,right-foot,regular,save,0.01344,0.01331
15227997,03/02/2026,Macclesfield,Kidderminster,Lewis Fensome,right-foot,regular,miss,0.03465,0.0
