Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15659749,19/03/2026,Hereford,Alfreton,Lewis Hudson,head,corner,save,0.07916,0.1968
14168492,19/08/2025,Hereford,Buxton,Lewis Hudson,left-foot,regular,block,0.007054,0.0
14168824,31/01/2026,Hereford,Curzon Ashton,Lewis Hudson,left-foot,regular,block,0.03662,0.0
14168824,31/01/2026,Hereford,Curzon Ashton,Lewis Hudson,right-foot,throw-in-set-piece,block,0.3023,0.0
14168824,31/01/2026,Hereford,Curzon Ashton,Lewis Hudson,left-foot,regular,goal,0.87,0.969
14168613,21/10/2025,Hereford,Telford,Lewis Hudson,left-foot,throw-in-set-piece,block,0.008699,0.0
14168663,08/11/2025,Hereford,Southport,Lewis Hudson,left-foot,regular,save,0.1388,0.1222
14168870,21/02/2026,Hereford,Scarborough,Lewis Hudson,left-foot,set-piece,goal,0.4674,0.6943
14168920,10/03/2026,Hereford,Leamington,Lewis Hudson,right-foot,corner,save,0.4748,0.6036
14168920,10/03/2026,Hereford,Leamington,Lewis Hudson,left-foot,regular,block,0.02728,0.0
14168794,17/01/2026,Hereford,King's Lynn,Lewis Hudson,head,throw-in-set-piece,save,0.3421,0.5938
14168582,04/10/2025,Hereford,Leamington,Lewis Hudson,left-foot,regular,miss,0.09978,0.0
14168943,21/03/2026,Hereford,Macclesfield,Lewis Hudson,left-foot,corner,block,0.0148,0.0
14168943,21/03/2026,Hereford,Macclesfield,Lewis Hudson,left-foot,regular,miss,0.05817,0.0
14168754,30/12/2025,Hereford,Merthyr,Lewis Hudson,left-foot,corner,block,0.02253,0.0
14168754,30/12/2025,Hereford,Merthyr,Lewis Hudson,left-foot,corner,goal,0.3018,0.6957
14168659,04/11/2025,Hereford,Oxford,Lewis Hudson,left-foot,regular,block,0.007216,0.0
14168913,07/03/2026,Hereford,Worksop,Lewis Hudson,left-foot,corner,miss,0.3484,0.0
14168913,07/03/2026,Hereford,Worksop,Lewis Hudson,left-foot,set-piece,block,0.5441,0.0
14168913,07/03/2026,Hereford,Worksop,Lewis Hudson,left-foot,regular,block,0.0432,0.0
