Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168831,07/02/2026,Chester,Bedford,Lewis Leigh,right-foot,regular,block,0.005554,0.0
14168831,07/02/2026,Chester,Bedford,Lewis Leigh,right-foot,free-kick,miss,0.0008731,0.0
14168662,08/11/2025,Chester,Buxton,Lewis Leigh,right-foot,throw-in-set-piece,save,0.0178,0.1616
14168626,25/10/2025,Chester,Bedford,Lewis Leigh,left-foot,corner,miss,0.01698,0.0
14168626,25/10/2025,Chester,Bedford,Lewis Leigh,right-foot,free-kick,miss,0.0005584,0.0
14168626,25/10/2025,Chester,Bedford,Lewis Leigh,right-foot,set-piece,block,0.001988,0.0
14168652,04/11/2025,Chester,Marine,Lewis Leigh,right-foot,free-kick,block,0.001361,0.0
14168652,04/11/2025,Chester,Marine,Lewis Leigh,right-foot,regular,save,0.00972,0.01889
14168652,04/11/2025,Chester,Marine,Lewis Leigh,right-foot,free-kick,save,0.05274,0.04232
14168677,22/11/2025,Chester,Leamington,Lewis Leigh,right-foot,regular,miss,0.002525,0.0
14168677,22/11/2025,Chester,Leamington,Lewis Leigh,right-foot,regular,miss,0.006477,0.0
14168677,22/11/2025,Chester,Leamington,Lewis Leigh,right-foot,regular,miss,0.0345,0.0
14168726,20/12/2025,Chester,South Shields,Lewis Leigh,right-foot,regular,save,0.07996,0.0234
14168726,20/12/2025,Chester,South Shields,Lewis Leigh,right-foot,corner,block,0.04813,0.0
14168726,20/12/2025,Chester,South Shields,Lewis Leigh,right-foot,free-kick,block,0.1081,0.0
14168726,20/12/2025,Chester,South Shields,Lewis Leigh,right-foot,free-kick,block,0.06957,0.0
14168726,20/12/2025,Chester,South Shields,Lewis Leigh,right-foot,set-piece,miss,0.08694,0.0
14168759,03/01/2026,Chester,Worksop,Lewis Leigh,right-foot,throw-in-set-piece,save,0.02033,0.03441
14168822,31/01/2026,Chester,Radcliffe,Lewis Leigh,right-foot,corner,block,0.01708,0.0
14168822,31/01/2026,Chester,Radcliffe,Lewis Leigh,right-foot,regular,miss,0.01884,0.0
14168822,31/01/2026,Chester,Radcliffe,Lewis Leigh,right-foot,regular,block,0.01381,0.0
14168822,31/01/2026,Chester,Radcliffe,Lewis Leigh,right-foot,regular,miss,0.005081,0.0
14168844,10/02/2026,Chester,Alfreton,Lewis Leigh,left-foot,corner,save,0.04358,0.05558
14168844,10/02/2026,Chester,Alfreton,Lewis Leigh,right-foot,regular,miss,0.02415,0.0
14168844,10/02/2026,Chester,Alfreton,Lewis Leigh,right-foot,regular,block,0.03347,0.0
14168856,14/02/2026,Chester,Buxton,Lewis Leigh,right-foot,regular,miss,0.03775,0.0
14168893,28/02/2026,Chester,Spennymoor,Lewis Leigh,right-foot,throw-in-set-piece,miss,0.003023,0.0
14168903,07/03/2026,Chester,Darlington,Lewis Leigh,left-foot,corner,block,0.001435,0.0
14168903,07/03/2026,Chester,Darlington,Lewis Leigh,right-foot,regular,miss,0.1116,0.0
14168952,28/03/2026,Chester,Curzon Ashton,Lewis Leigh,right-foot,regular,miss,0.04325,0.0
14168952,28/03/2026,Chester,Curzon Ashton,Lewis Leigh,right-foot,regular,miss,0.01763,0.0
14168933,14/03/2026,Chester,Kidderminster,Lewis Leigh,left-foot,regular,save,0.1869,0.5261
14168933,14/03/2026,Chester,Kidderminster,Lewis Leigh,right-foot,corner,miss,0.003753,0.0
14168714,06/12/2025,Chester,King's Lynn,Lewis Leigh,right-foot,free-kick,block,0.001954,0.0
14168873,21/02/2026,Chester,Leamington,Lewis Leigh,right-foot,regular,save,0.09355,0.05862
14168873,21/02/2026,Chester,Leamington,Lewis Leigh,left-foot,corner,block,0.02514,0.0
14168873,21/02/2026,Chester,Leamington,Lewis Leigh,right-foot,regular,save,0.3643,0.6533
14168801,24/01/2026,Chester,Peterborough,Lewis Leigh,right-foot,regular,save,0.03961,0.02515
14972548,02/12/2025,Chester,Radcliffe,Lewis Leigh,right-foot,regular,miss,0.01071,0.0
14972548,02/12/2025,Chester,Radcliffe,Lewis Leigh,right-foot,regular,miss,0.03154,0.0
15212553,20/01/2026,Chester,Spennymoor,Lewis Leigh,right-foot,regular,save,0.04459,0.1271
