Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168656,04/11/2025,Worksop,Darlington,Liam Hughes,left-foot,regular,miss,0.1434,0.0
14168656,04/11/2025,Worksop,Darlington,Liam Hughes,head,regular,miss,0.1562,0.0
14168590,11/10/2025,Worksop,Fylde,Liam Hughes,right-foot,regular,save,0.01663,0.01896
14168590,11/10/2025,Worksop,Fylde,Liam Hughes,right-foot,penalty,goal,0.76,0.81
14168590,11/10/2025,Worksop,Fylde,Liam Hughes,head,regular,save,0.5149,0.8913
14168590,11/10/2025,Worksop,Fylde,Liam Hughes,head,corner,goal,0.1896,0.4737
14168590,11/10/2025,Worksop,Fylde,Liam Hughes,head,regular,miss,0.06007,0.0
14168590,11/10/2025,Worksop,Fylde,Liam Hughes,left-foot,throw-in-set-piece,save,0.02078,0.1263
14168571,20/09/2025,Worksop,Hereford,Liam Hughes,left-foot,regular,block,0.02329,0.0
14168571,20/09/2025,Worksop,Hereford,Liam Hughes,head,throw-in-set-piece,goal,0.1819,0.3342
14168571,20/09/2025,Worksop,Hereford,Liam Hughes,right-foot,regular,miss,0.2243,0.0
14168571,20/09/2025,Worksop,Hereford,Liam Hughes,right-foot,regular,post,0.03728,0.0
14168487,09/08/2025,Worksop,Macclesfield,Liam Hughes,head,regular,save,0.2179,0.1737
14168487,09/08/2025,Worksop,Macclesfield,Liam Hughes,left-foot,throw-in-set-piece,miss,0.06603,0.0
14168560,06/09/2025,Worksop,Merthyr,Liam Hughes,right-foot,regular,miss,0.03709,0.0
14168526,25/08/2025,Worksop,Peterborough,Liam Hughes,left-foot,regular,block,0.09028,0.0
14168504,19/08/2025,Worksop,Radcliffe,Liam Hughes,right-foot,set-piece,miss,0.239,0.0
14168504,19/08/2025,Worksop,Radcliffe,Liam Hughes,left-foot,throw-in-set-piece,save,0.03613,0.02646
14168504,19/08/2025,Worksop,Radcliffe,Liam Hughes,right-foot,regular,miss,0.01778,0.0
14168504,19/08/2025,Worksop,Radcliffe,Liam Hughes,right-foot,penalty,goal,0.76,0.81
14168483,16/08/2025,Worksop,Kidderminster,Liam Hughes,right-foot,regular,block,0.1001,0.0
14168518,23/08/2025,Worksop,Southport,Liam Hughes,left-foot,regular,miss,0.2944,0.0
14168518,23/08/2025,Worksop,Southport,Liam Hughes,right-foot,regular,save,0.391,0.2873
14168518,23/08/2025,Worksop,Southport,Liam Hughes,right-foot,regular,miss,0.01991,0.0
14168539,30/08/2025,Worksop,Chester,Liam Hughes,head,corner,save,0.09564,0.3239
14168539,30/08/2025,Worksop,Chester,Liam Hughes,right-foot,regular,miss,0.2393,0.0
14168539,30/08/2025,Worksop,Chester,Liam Hughes,right-foot,regular,save,0.1216,0.06546
14168553,02/09/2025,Worksop,Spennymoor,Liam Hughes,head,set-piece,miss,0.05282,0.0
14168553,02/09/2025,Worksop,Spennymoor,Liam Hughes,right-foot,regular,block,0.1326,0.0
14168553,02/09/2025,Worksop,Spennymoor,Liam Hughes,right-foot,penalty,save,0.76,0.81
14168553,02/09/2025,Worksop,Spennymoor,Liam Hughes,right-foot,regular,goal,0.4065,0.7551
14168587,04/10/2025,Worksop,Bedford,Liam Hughes,head,regular,miss,0.14,0.0
14168612,18/10/2025,Worksop,Marine,Liam Hughes,right-foot,throw-in-set-piece,goal,0.302,0.8893
14168612,18/10/2025,Worksop,Marine,Liam Hughes,left-foot,throw-in-set-piece,block,0.09865,0.0
14168612,18/10/2025,Worksop,Marine,Liam Hughes,right-foot,regular,miss,0.103,0.0
14168625,21/10/2025,Worksop,King's Lynn,Liam Hughes,head,set-piece,miss,0.02071,0.0
14168625,21/10/2025,Worksop,King's Lynn,Liam Hughes,right-foot,corner,miss,0.05345,0.0
14168625,21/10/2025,Worksop,King's Lynn,Liam Hughes,right-foot,regular,block,0.009848,0.0
14168625,21/10/2025,Worksop,King's Lynn,Liam Hughes,left-foot,regular,block,0.2867,0.0
14168651,01/11/2025,Worksop,Scarborough,Liam Hughes,right-foot,regular,goal,0.05082,0.1071
14168651,01/11/2025,Worksop,Scarborough,Liam Hughes,right-foot,corner,block,0.1116,0.0
14168651,01/11/2025,Worksop,Scarborough,Liam Hughes,head,regular,save,0.05754,0.07024
14168651,01/11/2025,Worksop,Scarborough,Liam Hughes,head,corner,block,0.1654,6.651e-05
