Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168880,24/02/2026,Scarborough,Alfreton,Luca Colville,left-foot,regular,save,0.1283,0.08228
14168556,06/09/2025,Scarborough,Chester,Luca Colville,left-foot,regular,block,0.08288,0.0
14168556,06/09/2025,Scarborough,Chester,Luca Colville,left-foot,free-kick,save,0.09605,0.02282
14168666,08/11/2025,Scarborough,Curzon Ashton,Luca Colville,left-foot,throw-in-set-piece,save,0.02981,0.0718
14168666,08/11/2025,Scarborough,Curzon Ashton,Luca Colville,left-foot,regular,miss,0.03345,0.0
14168666,08/11/2025,Scarborough,Curzon Ashton,Luca Colville,left-foot,regular,save,0.0557,0.01975
14168581,04/10/2025,Scarborough,King's Lynn,Luca Colville,left-foot,regular,post,0.0684,0.0
14168708,29/11/2025,Scarborough,Macclesfield,Luca Colville,left-foot,free-kick,save,0.1467,0.3213
14168708,29/11/2025,Scarborough,Macclesfield,Luca Colville,right-foot,regular,block,0.5078,0.0
14168525,25/08/2025,Scarborough,Merthyr,Luca Colville,left-foot,regular,block,0.1645,0.0
14168525,25/08/2025,Scarborough,Merthyr,Luca Colville,left-foot,corner,miss,0.04496,0.0
14168909,07/03/2026,Scarborough,Oxford,Luca Colville,left-foot,regular,miss,0.1437,0.0
14168909,07/03/2026,Scarborough,Oxford,Luca Colville,left-foot,set-piece,block,0.08315,0.0
14168909,07/03/2026,Scarborough,Oxford,Luca Colville,left-foot,regular,miss,0.103,0.0
14168730,20/12/2025,Scarborough,Peterborough,Luca Colville,right-foot,regular,block,0.1121,0.0
14168730,20/12/2025,Scarborough,Peterborough,Luca Colville,left-foot,regular,save,0.03446,0.09403
14168730,20/12/2025,Scarborough,Peterborough,Luca Colville,left-foot,throw-in-set-piece,block,0.01227,0.0
14168730,20/12/2025,Scarborough,Peterborough,Luca Colville,left-foot,regular,save,0.03379,0.04116
14168730,20/12/2025,Scarborough,Peterborough,Luca Colville,left-foot,regular,miss,0.09685,0.0
14168730,20/12/2025,Scarborough,Peterborough,Luca Colville,left-foot,regular,miss,0.0163,0.0
14168515,23/08/2025,Scarborough,Peterborough,Luca Colville,left-foot,regular,save,0.03496,0.01465
14168534,30/08/2025,Scarborough,Southport,Luca Colville,left-foot,corner,save,0.06042,0.0258
14168552,02/09/2025,Scarborough,Buxton,Luca Colville,left-foot,regular,goal,0.057,0.4055
14168573,20/09/2025,Scarborough,Oxford,Luca Colville,left-foot,regular,miss,0.08159,0.0
14168573,20/09/2025,Scarborough,Oxford,Luca Colville,left-foot,free-kick,miss,0.0009912,0.0
14168573,20/09/2025,Scarborough,Oxford,Luca Colville,left-foot,regular,block,0.01111,0.0
14168600,11/10/2025,Scarborough,Leamington,Luca Colville,left-foot,regular,save,0.0303,0.195
14168600,11/10/2025,Scarborough,Leamington,Luca Colville,left-foot,regular,block,0.04306,0.0
14168637,25/10/2025,Scarborough,Marine,Luca Colville,left-foot,regular,miss,0.02727,0.0
14168695,25/11/2025,Scarborough,Alfreton,Luca Colville,left-foot,regular,miss,0.012,0.0
14168718,06/12/2025,Scarborough,Bedford,Luca Colville,head,regular,miss,0.05965,0.0
14168718,06/12/2025,Scarborough,Bedford,Luca Colville,left-foot,regular,miss,0.2113,0.0
14168829,31/01/2026,Scarborough,Worksop,Luca Colville,left-foot,set-piece,block,0.00803,0.0
14168829,31/01/2026,Scarborough,Worksop,Luca Colville,left-foot,set-piece,miss,0.05703,0.0
15326173,03/03/2026,Scarborough,Hereford,Luca Colville,left-foot,regular,block,0.06143,0.0
14168922,10/03/2026,Scarborough,King's Lynn,Luca Colville,left-foot,free-kick,goal,0.02368,0.2178
14168935,14/03/2026,Scarborough,Telford,Luca Colville,left-foot,throw-in-set-piece,miss,0.009655,0.0
14168935,14/03/2026,Scarborough,Telford,Luca Colville,left-foot,free-kick,block,0.00104,0.0
14168601,18/10/2025,Scarborough,Telford,Luca Colville,left-foot,corner,goal,0.8842,0.9029
