Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15416663,24/03/2026,Macclesfield,Alfreton,Luke Duffy,left-foot,regular,save,0.04325,0.07183
15416663,24/03/2026,Macclesfield,Alfreton,Luke Duffy,right-foot,regular,save,0.06521,0.1955
15029190,16/12/2025,Macclesfield,Bedford,Luke Duffy,left-foot,regular,save,0.05812,0.2504
15029190,16/12/2025,Macclesfield,Bedford,Luke Duffy,right-foot,regular,save,0.1952,0.1509
15029190,16/12/2025,Macclesfield,Bedford,Luke Duffy,right-foot,regular,block,0.002804,0.0
14168747,30/12/2025,Macclesfield,Chester,Luke Duffy,right-foot,regular,miss,0.02424,0.0
14168929,14/03/2026,Macclesfield,Curzon Ashton,Luke Duffy,right-foot,corner,goal,0.1846,0.1203
14168929,14/03/2026,Macclesfield,Curzon Ashton,Luke Duffy,right-foot,corner,block,0.02812,0.0
14168929,14/03/2026,Macclesfield,Curzon Ashton,Luke Duffy,right-foot,regular,save,0.0256,0.01211
14168929,14/03/2026,Macclesfield,Curzon Ashton,Luke Duffy,right-foot,regular,miss,0.4489,0.0
15341358,03/03/2026,Macclesfield,Darlington,Luke Duffy,right-foot,regular,block,0.01451,0.0
15341358,03/03/2026,Macclesfield,Darlington,Luke Duffy,right-foot,set-piece,block,0.00623,0.0
15341358,03/03/2026,Macclesfield,Darlington,Luke Duffy,right-foot,penalty,save,0.76,0.81
15341358,03/03/2026,Macclesfield,Darlington,Luke Duffy,head,throw-in-set-piece,miss,0.1751,0.0
14168561,06/09/2025,Macclesfield,Kidderminster,Luke Duffy,right-foot,regular,block,0.03542,0.0
14168622,21/10/2025,Macclesfield,Leamington,Luke Duffy,right-foot,corner,save,0.2229,0.703
14168487,09/08/2025,Macclesfield,Worksop,Luke Duffy,right-foot,regular,save,0.08084,0.04718
14168487,09/08/2025,Macclesfield,Worksop,Luke Duffy,right-foot,throw-in-set-piece,block,0.08453,0.0
14168487,09/08/2025,Macclesfield,Worksop,Luke Duffy,right-foot,regular,save,0.1249,0.3487
14168487,09/08/2025,Macclesfield,Worksop,Luke Duffy,right-foot,regular,save,0.05942,0.1
14168487,09/08/2025,Macclesfield,Worksop,Luke Duffy,right-foot,regular,save,0.2289,0.7668
14168509,23/08/2025,Macclesfield,Alfreton,Luke Duffy,head,regular,miss,0.1799,0.0
14168538,30/08/2025,Macclesfield,Darlington,Luke Duffy,right-foot,regular,miss,0.001772,0.0
14168538,30/08/2025,Macclesfield,Darlington,Luke Duffy,right-foot,regular,block,0.2108,0.0
14168538,30/08/2025,Macclesfield,Darlington,Luke Duffy,right-foot,regular,save,0.01175,0.01709
14168538,30/08/2025,Macclesfield,Darlington,Luke Duffy,left-foot,regular,miss,0.0102,0.0
14168708,29/11/2025,Macclesfield,Scarborough,Luke Duffy,right-foot,regular,block,0.02079,0.0
14168739,26/12/2025,Macclesfield,Buxton,Luke Duffy,right-foot,regular,save,0.04949,0.06918
15122242,06/01/2026,Macclesfield,Radcliffe,Luke Duffy,right-foot,regular,post,0.09335,0.0
15122242,06/01/2026,Macclesfield,Radcliffe,Luke Duffy,right-foot,free-kick,block,0.004665,0.0
14168793,17/01/2026,Macclesfield,Oxford,Luke Duffy,right-foot,throw-in-set-piece,miss,0.02477,0.0
14168793,17/01/2026,Macclesfield,Oxford,Luke Duffy,left-foot,regular,save,0.1538,0.08554
14168827,31/01/2026,Macclesfield,Bedford,Luke Duffy,right-foot,regular,block,0.008935,0.0
14168827,31/01/2026,Macclesfield,Bedford,Luke Duffy,left-foot,corner,miss,0.006397,0.0
15227997,03/02/2026,Macclesfield,Kidderminster,Luke Duffy,right-foot,corner,save,0.02827,0.019
15227997,03/02/2026,Macclesfield,Kidderminster,Luke Duffy,right-foot,corner,block,0.01362,0.0
14168852,10/02/2026,Macclesfield,Leamington,Luke Duffy,left-foot,regular,miss,0.01677,0.0
14168872,21/02/2026,Macclesfield,King's Lynn,Luke Duffy,left-foot,regular,block,0.03267,0.0
14168872,21/02/2026,Macclesfield,King's Lynn,Luke Duffy,right-foot,regular,miss,0.1092,0.0
14168872,21/02/2026,Macclesfield,King's Lynn,Luke Duffy,head,regular,goal,0.2311,0.7376
14168883,24/02/2026,Macclesfield,Fylde,Luke Duffy,right-foot,regular,miss,0.002496,0.0
14168883,24/02/2026,Macclesfield,Fylde,Luke Duffy,left-foot,regular,save,0.07109,0.04536
14168883,24/02/2026,Macclesfield,Fylde,Luke Duffy,right-foot,throw-in-set-piece,block,0.02764,0.0
14168908,07/03/2026,Macclesfield,Chorley,Luke Duffy,right-foot,free-kick,save,0.07989,0.02829
14168908,07/03/2026,Macclesfield,Chorley,Luke Duffy,left-foot,regular,block,0.1456,0.0
14168908,07/03/2026,Macclesfield,Chorley,Luke Duffy,right-foot,regular,save,0.1162,0.5943
14168943,21/03/2026,Macclesfield,Hereford,Luke Duffy,right-foot,regular,goal,0.185,0.6067
14168943,21/03/2026,Macclesfield,Hereford,Luke Duffy,right-foot,corner,goal,0.1158,0.444
14168943,21/03/2026,Macclesfield,Hereford,Luke Duffy,left-foot,regular,miss,0.1016,0.0
14168943,21/03/2026,Macclesfield,Hereford,Luke Duffy,right-foot,corner,post,0.0184,0.0
14168921,10/03/2026,Macclesfield,Marine,Luke Duffy,right-foot,free-kick,block,0.0007476,0.0
14168921,10/03/2026,Macclesfield,Marine,Luke Duffy,right-foot,regular,save,0.05742,0.1059
14168921,10/03/2026,Macclesfield,Marine,Luke Duffy,right-foot,regular,save,0.0188,0.006923
14168921,10/03/2026,Macclesfield,Marine,Luke Duffy,right-foot,regular,miss,0.0569,0.0
14168471,16/08/2025,Macclesfield,Oxford,Luke Duffy,right-foot,regular,save,0.04632,0.02478
14168471,16/08/2025,Macclesfield,Oxford,Luke Duffy,right-foot,regular,miss,0.007987,0.0
