Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168661,04/11/2025,Leamington,King's Lynn,Luke Shaw,right-foot,free-kick,block,0.002554,0.0
14168540,30/08/2025,Leamington,Chorley,Luke Shaw,head,throw-in-set-piece,miss,0.2835,0.0
14168547,02/09/2025,Leamington,Southport,Luke Shaw,right-foot,throw-in-set-piece,miss,0.003573,0.0
14168547,02/09/2025,Leamington,Southport,Luke Shaw,right-foot,regular,block,0.02813,0.0
14168547,02/09/2025,Leamington,Southport,Luke Shaw,right-foot,regular,block,0.04785,0.0
14168547,02/09/2025,Leamington,Southport,Luke Shaw,right-foot,regular,block,0.03402,0.0
14168605,18/10/2025,Leamington,Darlington,Luke Shaw,right-foot,regular,save,0.08027,0.04349
14168605,18/10/2025,Leamington,Darlington,Luke Shaw,right-foot,regular,miss,0.1518,0.0
14168636,25/10/2025,Leamington,Oxford,Luke Shaw,right-foot,free-kick,miss,0.000912,0.0
14168600,11/10/2025,Leamington,Scarborough,Luke Shaw,right-foot,regular,block,0.007594,0.0
14168600,11/10/2025,Leamington,Scarborough,Luke Shaw,right-foot,regular,block,0.06455,0.0
14168565,06/08/2025,Leamington,Spennymoor,Luke Shaw,right-foot,regular,block,0.7354,0.0
