Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168638,01/11/2025,Kidderminster,Alfreton,Luke Spokes,right-foot,regular,block,0.0149,0.0
14168638,01/11/2025,Kidderminster,Alfreton,Luke Spokes,right-foot,free-kick,save,0.127,0.1545
14168638,01/11/2025,Kidderminster,Alfreton,Luke Spokes,left-foot,regular,block,0.005379,0.0
14168537,30/08/2025,Kidderminster,Curzon Ashton,Luke Spokes,right-foot,regular,goal,0.05899,0.2663
14168474,09/08/2025,Kidderminster,Scarborough,Luke Spokes,right-foot,regular,miss,0.02366,0.0
14168500,19/08/2025,Kidderminster,Oxford,Luke Spokes,right-foot,regular,save,0.04083,0.1343
14168500,19/08/2025,Kidderminster,Oxford,Luke Spokes,left-foot,regular,save,0.03166,0.187
14168500,19/08/2025,Kidderminster,Oxford,Luke Spokes,right-foot,throw-in-set-piece,miss,0.0138,0.0
14168561,06/09/2025,Kidderminster,Macclesfield,Luke Spokes,right-foot,regular,goal,0.1691,0.6201
14168561,06/09/2025,Kidderminster,Macclesfield,Luke Spokes,left-foot,regular,block,0.009716,0.0
14168667,08/11/2025,Kidderminster,Darlington,Luke Spokes,left-foot,set-piece,block,0.001741,0.0
14168667,08/11/2025,Kidderminster,Darlington,Luke Spokes,left-foot,corner,save,0.02028,0.04891
14168728,20/12/2025,Kidderminster,Fylde,Luke Spokes,right-foot,regular,save,0.04008,0.224
14168483,16/08/2025,Kidderminster,Worksop,Luke Spokes,right-foot,free-kick,miss,0.0006105,0.0
