Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168916,10/03/2026,Worksop,Bedford,Luke Waterfall,head,corner,save,0.04581,0.13
14168759,03/01/2026,Worksop,Chester,Luke Waterfall,head,corner,save,0.1971,0.5144
14168656,04/11/2025,Worksop,Darlington,Luke Waterfall,right-foot,throw-in-set-piece,block,0.1374,0.0
14168560,06/09/2025,Worksop,Merthyr,Luke Waterfall,head,corner,miss,0.1129,0.0
14168504,19/08/2025,Worksop,Radcliffe,Luke Waterfall,head,corner,block,0.1172,0.0
14168504,19/08/2025,Worksop,Radcliffe,Luke Waterfall,head,throw-in-set-piece,save,0.1023,0.1974
14168732,20/12/2025,Worksop,Southport,Luke Waterfall,right-foot,throw-in-set-piece,miss,0.08285,0.0
14168483,16/08/2025,Worksop,Kidderminster,Luke Waterfall,right-foot,set-piece,goal,0.2127,0.4789
14168483,16/08/2025,Worksop,Kidderminster,Luke Waterfall,right-foot,corner,block,0.1519,0.0
14168539,30/08/2025,Worksop,Chester,Luke Waterfall,head,corner,goal,0.2307,0.7448
14168587,04/10/2025,Worksop,Bedford,Luke Waterfall,head,corner,save,0.05746,0.1657
14168612,18/10/2025,Worksop,Marine,Luke Waterfall,other,own-goal,goal,,0.0
14168651,01/11/2025,Worksop,Scarborough,Luke Waterfall,right-foot,corner,block,0.3421,0.0
14168685,22/11/2025,Worksop,Curzon Ashton,Luke Waterfall,head,throw-in-set-piece,save,0.1273,0.2316
14168697,25/11/2025,Worksop,South Shields,Luke Waterfall,right-foot,corner,block,0.09185,0.0
14168781,10/01/2026,Worksop,Merthyr,Luke Waterfall,head,corner,goal,0.2355,0.7157
14168902,28/02/2026,Worksop,Leamington,Luke Waterfall,head,corner,save,0.08757,0.07223
14168902,28/02/2026,Worksop,Leamington,Luke Waterfall,head,corner,miss,0.1297,0.0
14168913,07/03/2026,Worksop,Hereford,Luke Waterfall,right-foot,regular,miss,0.002114,0.0
14168913,07/03/2026,Worksop,Hereford,Luke Waterfall,head,throw-in-set-piece,miss,0.08515,0.0
