Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168784,17/01/2026,Southport,Bedford,Malakai McKenzie,left-foot,regular,miss,0.007187,0.0
14168940,21/03/2026,Southport,Chester,Malakai McKenzie,left-foot,regular,miss,0.008975,0.0
14168940,21/03/2026,Southport,Chester,Malakai McKenzie,left-foot,regular,save,0.0599,0.06866
14168630,25/10/2025,Southport,Darlington,Malakai McKenzie,left-foot,corner,block,0.03908,0.0
14168871,21/02/2026,Southport,Kidderminster,Malakai McKenzie,left-foot,regular,save,0.06443,0.03348
14168888,24/02/2026,Southport,Radcliffe,Malakai McKenzie,right-foot,regular,goal,0.05359,0.02941
14168888,24/02/2026,Southport,Radcliffe,Malakai McKenzie,left-foot,regular,save,0.06543,0.04457
14877776,11/11/2025,Southport,Chester,Malakai McKenzie,left-foot,regular,miss,0.002656,0.0
14877776,11/11/2025,Southport,Chester,Malakai McKenzie,left-foot,regular,save,0.0322,0.03576
14877776,11/11/2025,Southport,Chester,Malakai McKenzie,left-foot,regular,miss,0.01055,0.0
14168684,22/11/2025,Southport,Kidderminster,Malakai McKenzie,left-foot,regular,miss,0.1326,0.0
14168698,25/11/2025,Southport,Radcliffe,Malakai McKenzie,left-foot,regular,save,0.02521,0.5769
14168698,25/11/2025,Southport,Radcliffe,Malakai McKenzie,left-foot,regular,save,0.02591,0.04366
14168698,25/11/2025,Southport,Radcliffe,Malakai McKenzie,left-foot,regular,miss,0.0116,0.0
14168698,25/11/2025,Southport,Radcliffe,Malakai McKenzie,left-foot,regular,block,0.004508,0.0
14168732,20/12/2025,Southport,Worksop,Malakai McKenzie,left-foot,regular,block,0.02328,0.0
14168732,20/12/2025,Southport,Worksop,Malakai McKenzie,left-foot,regular,miss,0.06503,0.0
14168732,20/12/2025,Southport,Worksop,Malakai McKenzie,left-foot,regular,save,0.02068,0.01438
14168732,20/12/2025,Southport,Worksop,Malakai McKenzie,left-foot,regular,save,0.02241,0.03865
14168756,30/12/2025,Southport,Curzon Ashton,Malakai McKenzie,left-foot,regular,miss,0.2899,0.0
14168756,30/12/2025,Southport,Curzon Ashton,Malakai McKenzie,left-foot,regular,block,0.04383,0.0
14168756,30/12/2025,Southport,Curzon Ashton,Malakai McKenzie,left-foot,regular,save,0.07256,0.03204
14168756,30/12/2025,Southport,Curzon Ashton,Malakai McKenzie,left-foot,throw-in-set-piece,block,0.001729,0.0
14168756,30/12/2025,Southport,Curzon Ashton,Malakai McKenzie,left-foot,regular,goal,0.1732,0.6806
14168804,24/01/2026,Southport,Merthyr,Malakai McKenzie,left-foot,regular,goal,0.1146,0.04531
14168840,07/02/2026,Southport,Darlington,Malakai McKenzie,left-foot,regular,save,0.06284,0.02588
14168864,14/02/2026,Southport,Hereford,Malakai McKenzie,left-foot,regular,goal,0.4103,0.8897
14168864,14/02/2026,Southport,Hereford,Malakai McKenzie,left-foot,regular,block,0.1432,0.0
14168864,14/02/2026,Southport,Hereford,Malakai McKenzie,head,regular,save,0.219,0.3368
14168864,14/02/2026,Southport,Hereford,Malakai McKenzie,left-foot,regular,block,0.01077,0.0
15447028,17/02/2026,Southport,Buxton,Malakai McKenzie,left-foot,regular,miss,0.04226,0.0
15447028,17/02/2026,Southport,Buxton,Malakai McKenzie,left-foot,free-kick,block,0.1322,0.0
15447028,17/02/2026,Southport,Buxton,Malakai McKenzie,left-foot,regular,block,0.001046,0.0
14168925,10/03/2026,Southport,Spennymoor,Malakai McKenzie,left-foot,regular,block,0.01877,0.0
14168925,10/03/2026,Southport,Spennymoor,Malakai McKenzie,left-foot,regular,block,0.0672,0.0
14168925,10/03/2026,Southport,Spennymoor,Malakai McKenzie,left-foot,regular,block,0.03519,0.0
14168938,14/03/2026,Southport,Oxford,Malakai McKenzie,left-foot,regular,save,0.3785,0.6367
15495083,17/03/2026,Southport,Alfreton,Malakai McKenzie,left-foot,throw-in-set-piece,goal,0.01339,0.3074
14168712,06/12/2025,Southport,Telford,Malakai McKenzie,left-foot,regular,goal,0.1865,0.1705
