Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15322125,03/02/2026,Peterborough,Fylde,Marcel Oakley,right-foot,regular,save,0.2136,0.1506
14168923,10/03/2026,Peterborough,Kidderminster,Marcel Oakley,right-foot,throw-in-set-piece,save,0.3003,0.525
14168923,10/03/2026,Peterborough,Kidderminster,Marcel Oakley,left-foot,corner,miss,0.007542,0.0
14168738,26/12/2025,Peterborough,King's Lynn,Marcel Oakley,right-foot,regular,save,0.05951,0.07836
14168958,28/03/2026,Peterborough,Leamington,Marcel Oakley,right-foot,throw-in-set-piece,miss,0.03097,0.0
14168789,17/01/2026,Peterborough,Merthyr,Marcel Oakley,right-foot,regular,block,0.03791,0.0
14168789,17/01/2026,Peterborough,Merthyr,Marcel Oakley,right-foot,regular,miss,0.1299,0.0
14168645,01/11/2025,Peterborough,Chorley,Marcel Oakley,right-foot,throw-in-set-piece,save,0.007327,0.00655
14168682,22/11/2025,Peterborough,Radcliffe,Marcel Oakley,right-foot,regular,save,0.147,0.1664
14168753,30/12/2025,Peterborough,Oxford,Marcel Oakley,right-foot,regular,save,0.01532,0.05032
14168837,07/02/2026,Peterborough,Curzon Ashton,Marcel Oakley,right-foot,throw-in-set-piece,save,0.02797,0.04117
14168874,21/02/2026,Peterborough,Radcliffe,Marcel Oakley,right-foot,regular,miss,0.01197,0.0
