Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168664,08/11/2025,Alfreton,Fylde,Mark Beck,left-foot,regular,block,0.02959,0.0
14877540,11/11/2025,Alfreton,Spennymoor,Mark Beck,left-foot,set-piece,goal,0.3001,0.4138
15174859,16/12/2025,Alfreton,Southport,Mark Beck,left-foot,regular,block,0.03629,0.0
14168746,30/12/2025,Alfreton,Leamington,Mark Beck,left-foot,regular,miss,0.00393,0.0
14168746,30/12/2025,Alfreton,Leamington,Mark Beck,left-foot,throw-in-set-piece,goal,0.05501,0.1636
14168709,06/12/2025,Alfreton,Curzon Ashton,Mark Beck,head,set-piece,miss,0.1384,0.0
14168709,06/12/2025,Alfreton,Curzon Ashton,Mark Beck,head,corner,save,0.1077,0.3442
14168681,22/11/2025,Alfreton,Merthyr,Mark Beck,head,regular,miss,0.1041,0.0
14168681,22/11/2025,Alfreton,Merthyr,Mark Beck,left-foot,penalty,goal,0.76,0.81
14168695,25/11/2025,Alfreton,Scarborough,Mark Beck,head,set-piece,block,0.08744,0.0
14168744,26/12/2025,Alfreton,Worksop,Mark Beck,right-foot,regular,miss,0.1459,0.0
14168744,26/12/2025,Alfreton,Worksop,Mark Beck,left-foot,regular,miss,0.06703,0.0
