Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14877540,11/11/2025,Spennymoor,Alfreton,Matthew Dolan,left-foot,free-kick,block,0.1024,0.0
14168568,20/09/2025,Spennymoor,Bedford,Matthew Dolan,left-foot,regular,save,0.01212,0.03732
14168568,20/09/2025,Spennymoor,Bedford,Matthew Dolan,left-foot,throw-in-set-piece,save,0.0471,0.2219
14168934,14/03/2026,Spennymoor,Merthyr,Matthew Dolan,left-foot,regular,goal,0.1426,0.6411
14168516,23/08/2025,Spennymoor,Oxford,Matthew Dolan,left-foot,regular,save,0.02271,0.01375
14168516,23/08/2025,Spennymoor,Oxford,Matthew Dolan,left-foot,throw-in-set-piece,block,0.2271,0.0
14168516,23/08/2025,Spennymoor,Oxford,Matthew Dolan,left-foot,regular,save,0.04357,0.3235
14168477,16/08/2025,Spennymoor,Radcliffe,Matthew Dolan,left-foot,regular,miss,0.001143,0.0
14168495,09/08/2025,Spennymoor,Hereford,Matthew Dolan,right-foot,regular,goal,0.1341,0.04096
14168495,09/08/2025,Spennymoor,Hereford,Matthew Dolan,left-foot,free-kick,save,0.08838,0.1189
14168528,25/08/2025,Spennymoor,Macclesfield,Matthew Dolan,left-foot,free-kick,block,0.0008062,0.0
14168528,25/08/2025,Spennymoor,Macclesfield,Matthew Dolan,left-foot,free-kick,save,0.1303,0.09125
14168565,06/08/2025,Spennymoor,Leamington,Matthew Dolan,left-foot,regular,miss,0.03466,0.0
14168592,04/10/2025,Spennymoor,Southport,Matthew Dolan,left-foot,free-kick,miss,0.0004107,0.0
14168614,18/10/2025,Spennymoor,Merthyr,Matthew Dolan,right-foot,regular,block,0.004532,0.0
14168614,18/10/2025,Spennymoor,Merthyr,Matthew Dolan,left-foot,regular,miss,0.01875,0.0
14168624,21/10/2025,Spennymoor,Fylde,Matthew Dolan,left-foot,regular,post,0.02448,0.0
14168733,20/12/2025,Spennymoor,Oxford,Matthew Dolan,left-foot,throw-in-set-piece,miss,0.0503,0.0
14168760,30/12/2025,Spennymoor,Scarborough,Matthew Dolan,left-foot,throw-in-set-piece,block,0.007029,0.0
14168760,30/12/2025,Spennymoor,Scarborough,Matthew Dolan,left-foot,regular,block,0.001576,0.0
15212553,20/01/2026,Spennymoor,Chester,Matthew Dolan,left-foot,free-kick,miss,0.001157,0.0
14168530,30/08/2025,Spennymoor,Telford,Matthew Dolan,left-foot,regular,miss,0.002217,0.0
14168530,30/08/2025,Spennymoor,Telford,Matthew Dolan,left-foot,throw-in-set-piece,miss,0.005973,0.0
14168553,02/09/2025,Spennymoor,Worksop,Matthew Dolan,left-foot,free-kick,miss,0.0009543,0.0
14168553,02/09/2025,Spennymoor,Worksop,Matthew Dolan,left-foot,free-kick,miss,0.0007883,0.0
14168553,02/09/2025,Spennymoor,Worksop,Matthew Dolan,left-foot,free-kick,block,0.001471,0.0
