Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168517,25/08/2025,Marine,Alfreton,Matthew McDonald,right-foot,regular,save,0.3215,0.5709
14168783,17/01/2026,Marine,Buxton,Matthew McDonald,right-foot,regular,miss,0.0178,0.0
14168583,04/10/2025,Marine,Macclesfield,Matthew McDonald,right-foot,regular,block,0.03817,0.0
14168583,04/10/2025,Marine,Macclesfield,Matthew McDonald,right-foot,regular,goal,0.195,0.4274
14168510,23/08/2025,Marine,Bedford,Matthew McDonald,left-foot,throw-in-set-piece,miss,0.03199,0.0
14168510,23/08/2025,Marine,Bedford,Matthew McDonald,right-foot,corner,block,0.01223,0.0
14168541,30/08/2025,Marine,Peterborough,Matthew McDonald,right-foot,throw-in-set-piece,save,0.246,0.599
14168549,02/09/2025,Marine,Darlington,Matthew McDonald,left-foot,corner,miss,0.1218,0.0
14168549,02/09/2025,Marine,Darlington,Matthew McDonald,right-foot,regular,save,0.03671,0.1379
14168619,11/10/2025,Marine,Curzon Ashton,Matthew McDonald,right-foot,corner,block,0.002648,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Matthew McDonald,right-foot,regular,block,0.01513,0.0
14168619,11/10/2025,Marine,Curzon Ashton,Matthew McDonald,left-foot,regular,block,0.02446,0.0
14168642,01/11/2025,Marine,Fylde,Matthew McDonald,left-foot,regular,save,0.1532,0.5096
14168810,27/01/2026,Marine,Chester,Matthew McDonald,right-foot,set-piece,block,0.009175,0.0
14168859,14/02/2026,Marine,Leamington,Matthew McDonald,right-foot,regular,block,0.01582,0.0
14168859,14/02/2026,Marine,Leamington,Matthew McDonald,right-foot,regular,miss,0.02462,0.0
14168859,14/02/2026,Marine,Leamington,Matthew McDonald,right-foot,throw-in-set-piece,goal,0.2481,0.7963
15366761,17/03/2026,Marine,Peterborough,Matthew McDonald,right-foot,throw-in-set-piece,block,0.001145,0.0
14168562,06/09/2025,Marine,Radcliffe,Matthew McDonald,right-foot,regular,save,0.05543,0.03006
14168637,25/10/2025,Marine,Scarborough,Matthew McDonald,right-foot,regular,goal,0.1932,0.8234
14168637,25/10/2025,Marine,Scarborough,Matthew McDonald,right-foot,regular,miss,0.115,0.0
14168637,25/10/2025,Marine,Scarborough,Matthew McDonald,right-foot,regular,miss,0.05943,0.0
14168612,18/10/2025,Marine,Worksop,Matthew McDonald,left-foot,regular,block,0.372,0.0
14168612,18/10/2025,Marine,Worksop,Matthew McDonald,head,regular,miss,0.2495,0.0
14168612,18/10/2025,Marine,Worksop,Matthew McDonald,left-foot,regular,save,0.1791,0.1133
14168612,18/10/2025,Marine,Worksop,Matthew McDonald,right-foot,regular,goal,0.4762,0.7056
14168612,18/10/2025,Marine,Worksop,Matthew McDonald,right-foot,throw-in-set-piece,miss,0.06473,0.0
