Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168521,25/08/2025,Buxton,Curzon Ashton,Max Bardell,head,corner,save,0.05726,0.3797
14168580,04/10/2025,Buxton,Darlington,Max Bardell,right-foot,corner,save,0.02028,0.03465
14168580,04/10/2025,Buxton,Darlington,Max Bardell,head,corner,miss,0.1716,0.0
14169188,18/10/2025,Buxton,Chorley,Max Bardell,right-foot,throw-in-set-piece,miss,0.002938,0.0
14169188,18/10/2025,Buxton,Chorley,Max Bardell,head,set-piece,goal,0.221,0.2611
14168662,08/11/2025,Buxton,Chester,Max Bardell,head,corner,miss,0.0446,0.0
14168724,20/12/2025,Buxton,Telford,Max Bardell,head,corner,save,0.07891,0.04693
14168575,20/09/2025,Buxton,Kidderminster,Max Bardell,head,set-piece,goal,0.1667,0.5969
14168575,20/09/2025,Buxton,Kidderminster,Max Bardell,right-foot,regular,block,0.03142,0.0
14168472,16/08/2025,Buxton,Marine,Max Bardell,left-foot,regular,block,0.01268,0.0
14168897,28/02/2026,Buxton,Merthyr,Max Bardell,head,corner,save,0.2257,0.9023
14168616,21/10/2025,Buxton,Peterborough,Max Bardell,left-foot,corner,block,0.1376,0.0
