Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15326174,03/02/2026,Leamington,Chorley,Max Brogan,left-foot,regular,block,0.01047,0.0
15326174,03/02/2026,Leamington,Chorley,Max Brogan,left-foot,regular,miss,0.009002,0.0
15326174,03/02/2026,Leamington,Chorley,Max Brogan,left-foot,regular,goal,0.3132,0.5709
14168920,10/03/2026,Leamington,Hereford,Max Brogan,left-foot,regular,miss,0.07676,0.0
14168920,10/03/2026,Leamington,Hereford,Max Brogan,right-foot,throw-in-set-piece,block,0.00167,0.0
14168920,10/03/2026,Leamington,Hereford,Max Brogan,right-foot,throw-in-set-piece,miss,0.03747,0.0
14168920,10/03/2026,Leamington,Hereford,Max Brogan,left-foot,regular,miss,0.007238,0.0
14168920,10/03/2026,Leamington,Hereford,Max Brogan,left-foot,regular,miss,0.1261,0.0
14168802,24/01/2026,Leamington,Curzon Ashton,Max Brogan,left-foot,regular,goal,0.06855,0.0
14168802,24/01/2026,Leamington,Curzon Ashton,Max Brogan,right-foot,regular,block,0.005942,0.0
14168802,24/01/2026,Leamington,Curzon Ashton,Max Brogan,head,regular,save,0.1183,0.1021
14168802,24/01/2026,Leamington,Curzon Ashton,Max Brogan,left-foot,regular,save,0.05709,0.164
14168833,07/02/2026,Leamington,Oxford,Max Brogan,right-foot,throw-in-set-piece,block,0.01186,0.0
14168833,07/02/2026,Leamington,Oxford,Max Brogan,right-foot,regular,block,0.0145,0.0
14168833,07/02/2026,Leamington,Oxford,Max Brogan,left-foot,regular,save,0.04905,0.07341
15399474,17/02/2026,Leamington,Spennymoor,Max Brogan,right-foot,free-kick,block,0.001831,0.0
15399474,17/02/2026,Leamington,Spennymoor,Max Brogan,left-foot,regular,block,0.1352,0.0
14168873,21/02/2026,Leamington,Chester,Max Brogan,right-foot,free-kick,miss,0.0003954,0.0
14168886,24/02/2026,Leamington,Merthyr,Max Brogan,right-foot,regular,block,0.07424,0.0
14168886,24/02/2026,Leamington,Merthyr,Max Brogan,right-foot,free-kick,block,0.00459,0.0
14168886,24/02/2026,Leamington,Merthyr,Max Brogan,right-foot,regular,save,0.04028,0.1676
14168886,24/02/2026,Leamington,Merthyr,Max Brogan,right-foot,regular,miss,0.03383,0.0
14168886,24/02/2026,Leamington,Merthyr,Max Brogan,right-foot,regular,block,0.0332,0.0
14168904,07/03/2026,Leamington,Fylde,Max Brogan,right-foot,regular,save,0.05292,0.04127
14168904,07/03/2026,Leamington,Fylde,Max Brogan,right-foot,regular,block,0.09889,0.0
14168904,07/03/2026,Leamington,Fylde,Max Brogan,right-foot,throw-in-set-piece,miss,0.01115,0.0
14168942,21/03/2026,Leamington,Scarborough,Max Brogan,right-foot,regular,save,0.04679,0.1281
14168942,21/03/2026,Leamington,Scarborough,Max Brogan,right-foot,regular,block,0.01359,0.0
14168942,21/03/2026,Leamington,Scarborough,Max Brogan,left-foot,regular,miss,0.06471,0.0
15495110,24/03/2026,Leamington,King's Lynn,Max Brogan,right-foot,regular,block,0.005724,0.0
14168958,28/03/2026,Leamington,Peterborough,Max Brogan,right-foot,free-kick,block,0.1507,0.0
14168958,28/03/2026,Leamington,Peterborough,Max Brogan,right-foot,regular,save,0.03992,0.132
14168958,28/03/2026,Leamington,Peterborough,Max Brogan,right-foot,regular,save,0.07971,0.1704
14168958,28/03/2026,Leamington,Peterborough,Max Brogan,left-foot,throw-in-set-piece,miss,0.03884,0.0
14168852,10/02/2026,Leamington,Macclesfield,Max Brogan,right-foot,throw-in-set-piece,goal,0.005129,0.0
14168852,10/02/2026,Leamington,Macclesfield,Max Brogan,right-foot,throw-in-set-piece,save,0.08963,0.04208
14168859,14/02/2026,Leamington,Marine,Max Brogan,right-foot,free-kick,block,0.0007154,0.0
14168859,14/02/2026,Leamington,Marine,Max Brogan,right-foot,regular,block,0.01477,0.0
