Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168699,29/11/2025,Darlington,Bedford,Max Howells,right-foot,regular,goal,0.3676,0.4533
14168903,07/03/2026,Darlington,Chester,Max Howells,left-foot,regular,block,0.01914,0.0
14168792,24/01/2026,Darlington,Chorley,Max Howells,right-foot,regular,save,0.136,0.07627
14168881,24/02/2026,Darlington,Curzon Ashton,Max Howells,left-foot,regular,block,0.02539,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Max Howells,right-foot,regular,miss,0.1684,0.0
14168630,25/10/2025,Darlington,Southport,Max Howells,right-foot,regular,post,0.6786,0.0
14168630,25/10/2025,Darlington,Southport,Max Howells,left-foot,regular,goal,0.1448,0.3925
14168656,04/11/2025,Darlington,Worksop,Max Howells,left-foot,regular,save,0.1553,0.1072
14168656,04/11/2025,Darlington,Worksop,Max Howells,right-foot,regular,goal,0.06911,0.4733
14168656,04/11/2025,Darlington,Worksop,Max Howells,left-foot,regular,save,0.05636,0.0272
14878242,18/11/2025,Darlington,Peterborough,Max Howells,right-foot,regular,miss,0.04552,0.0
14878242,18/11/2025,Darlington,Peterborough,Max Howells,left-foot,corner,miss,0.001444,0.0
14168689,25/11/2025,Darlington,Curzon Ashton,Max Howells,left-foot,regular,save,0.06348,0.1818
14168689,25/11/2025,Darlington,Curzon Ashton,Max Howells,left-foot,regular,block,0.07665,0.0
14168727,20/12/2025,Darlington,King's Lynn,Max Howells,right-foot,throw-in-set-piece,miss,0.003049,0.0
14168823,31/01/2026,Darlington,Merthyr,Max Howells,left-foot,regular,miss,0.0408,0.0
14168823,31/01/2026,Darlington,Merthyr,Max Howells,right-foot,regular,block,0.03123,0.0
14168895,28/02/2026,Darlington,Bedford,Max Howells,right-foot,regular,miss,0.04526,0.0
14168895,28/02/2026,Darlington,Bedford,Max Howells,left-foot,regular,block,0.03718,0.0
15341358,03/03/2026,Darlington,Macclesfield,Max Howells,left-foot,regular,save,0.332,0.4166
15341358,03/03/2026,Darlington,Macclesfield,Max Howells,left-foot,regular,miss,0.04477,0.0
14168640,01/11/2025,Darlington,Merthyr,Max Howells,right-foot,regular,miss,0.1769,0.0
14168742,26/12/2025,Darlington,Scarborough,Max Howells,right-foot,regular,block,0.08841,0.0
14168840,07/02/2026,Darlington,Southport,Max Howells,right-foot,regular,save,0.1229,0.1527
14168877,21/02/2026,Darlington,Spennymoor,Max Howells,right-foot,regular,miss,0.06507,0.0
14168877,21/02/2026,Darlington,Spennymoor,Max Howells,right-foot,throw-in-set-piece,block,0.003108,0.0
14168877,21/02/2026,Darlington,Spennymoor,Max Howells,right-foot,regular,goal,0.3553,0.7929
14168817,27/01/2026,Darlington,Worksop,Max Howells,left-foot,regular,miss,0.1382,0.0
14168817,27/01/2026,Darlington,Worksop,Max Howells,left-foot,regular,miss,0.101,0.0
14168817,27/01/2026,Darlington,Worksop,Max Howells,left-foot,regular,block,0.03198,0.0
14168817,27/01/2026,Darlington,Worksop,Max Howells,right-foot,regular,block,0.03874,0.0
