Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168690,25/11/2025,Chorley,Spennymoor,Max Wilson,left-foot,set-piece,miss,0.002174,0.0
14168722,20/12/2025,Chorley,Hereford,Max Wilson,right-foot,regular,goal,0.1786,0.5141
14168792,24/01/2026,Chorley,Darlington,Max Wilson,head,regular,miss,0.2094,0.0
15326174,03/02/2026,Chorley,Leamington,Max Wilson,right-foot,regular,save,0.02661,0.05402
14168917,10/03/2026,Chorley,South Shields,Max Wilson,right-foot,regular,block,0.0558,0.0
14168917,10/03/2026,Chorley,South Shields,Max Wilson,right-foot,regular,miss,0.337,0.0
14168917,10/03/2026,Chorley,South Shields,Max Wilson,head,regular,miss,0.1675,0.0
14168930,14/03/2026,Chorley,Buxton,Max Wilson,right-foot,set-piece,save,0.1268,0.07532
14168930,14/03/2026,Chorley,Buxton,Max Wilson,left-foot,regular,save,0.1457,0.5712
15473461,17/03/2026,Chorley,Kidderminster,Max Wilson,left-foot,throw-in-set-piece,save,0.05443,0.3179
15473461,17/03/2026,Chorley,Kidderminster,Max Wilson,right-foot,regular,post,0.1086,0.0
15473461,17/03/2026,Chorley,Kidderminster,Max Wilson,right-foot,throw-in-set-piece,save,0.05615,0.2575
14168734,26/12/2025,Chorley,Fylde,Max Wilson,right-foot,regular,miss,0.06763,0.0
14168836,07/02/2026,Chorley,Merthyr,Max Wilson,right-foot,regular,save,0.142,0.5036
14168836,07/02/2026,Chorley,Merthyr,Max Wilson,right-foot,corner,save,0.1493,0.139
14168836,07/02/2026,Chorley,Merthyr,Max Wilson,left-foot,regular,post,0.09606,0.0
14168836,07/02/2026,Chorley,Merthyr,Max Wilson,left-foot,corner,block,0.2276,0.0
14168944,21/03/2026,Chorley,Oxford,Max Wilson,left-foot,regular,miss,0.04077,0.0
14168890,24/02/2026,Chorley,Spennymoor,Max Wilson,right-foot,corner,block,0.01662,0.0
14168890,24/02/2026,Chorley,Spennymoor,Max Wilson,left-foot,regular,miss,0.02132,0.0
15452627,17/02/2026,Chorley,Telford,Max Wilson,right-foot,regular,save,0.2795,0.3999
15452627,17/02/2026,Chorley,Telford,Max Wilson,right-foot,corner,block,0.007097,0.0
15452627,17/02/2026,Chorley,Telford,Max Wilson,right-foot,regular,miss,0.01824,0.0
14168720,06/11/2025,Chorley,Worksop,Max Wilson,left-foot,corner,block,0.004867,0.0
14168720,06/11/2025,Chorley,Worksop,Max Wilson,right-foot,regular,miss,0.1419,0.0
