Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15489563,31/03/2026,Chorley,Alfreton,Mike Calveley,left-foot,set-piece,block,0.2158,0.0
15489563,31/03/2026,Chorley,Alfreton,Mike Calveley,left-foot,set-piece,block,0.01507,0.0
15489563,31/03/2026,Chorley,Alfreton,Mike Calveley,head,corner,save,0.133,0.6608
14168785,17/01/2026,Chorley,Chester,Mike Calveley,head,throw-in-set-piece,goal,0.0987,0.3819
14168493,16/08/2025,Chorley,Chester,Mike Calveley,left-foot,regular,post,0.06176,0.0
14168493,16/08/2025,Chorley,Chester,Mike Calveley,right-foot,regular,goal,0.3051,0.7368
14168498,19/08/2025,Chorley,Scarborough,Mike Calveley,right-foot,regular,block,0.01227,0.0
14168522,25/08/2025,Chorley,King's Lynn,Mike Calveley,right-foot,throw-in-set-piece,goal,0.07876,0.7036
14168591,11/10/2025,Chorley,Oxford,Mike Calveley,head,set-piece,save,0.1583,0.1966
14168678,22/11/2025,Chorley,Bedford,Mike Calveley,head,corner,save,0.1663,0.4414
14168678,22/11/2025,Chorley,Bedford,Mike Calveley,head,corner,block,0.5271,0.0
14168690,25/11/2025,Chorley,Spennymoor,Mike Calveley,right-foot,throw-in-set-piece,block,0.02515,0.0
14168722,20/12/2025,Chorley,Hereford,Mike Calveley,right-foot,regular,block,0.00618,0.0
14168749,30/12/2025,Chorley,Marine,Mike Calveley,head,corner,goal,0.3236,0.6164
14168821,31/01/2026,Chorley,Peterborough,Mike Calveley,head,regular,miss,0.1724,0.0
14168821,31/01/2026,Chorley,Peterborough,Mike Calveley,head,corner,miss,0.08751,0.0
14168841,10/02/2026,Chorley,Southport,Mike Calveley,head,set-piece,miss,0.005181,0.0
14168930,14/03/2026,Chorley,Buxton,Mike Calveley,head,corner,miss,0.2138,0.0
14168543,02/09/2025,Chorley,Curzon Ashton,Mike Calveley,head,corner,miss,0.1501,0.0
14168494,09/08/2025,Chorley,Darlington,Mike Calveley,head,corner,save,0.06187,0.05211
14168494,09/08/2025,Chorley,Darlington,Mike Calveley,left-foot,regular,save,0.306,0.3402
14168908,07/03/2026,Chorley,Macclesfield,Mike Calveley,right-foot,set-piece,goal,0.8347,0.9032
14168908,07/03/2026,Chorley,Macclesfield,Mike Calveley,head,throw-in-set-piece,miss,0.03301,0.0
14168944,21/03/2026,Chorley,Oxford,Mike Calveley,right-foot,throw-in-set-piece,block,0.003742,0.0
14168674,08/11/2025,Chorley,Radcliffe,Mike Calveley,right-foot,regular,block,0.07931,0.0
14168621,21/10/2025,Chorley,Southport,Mike Calveley,left-foot,regular,save,0.2453,0.4021
14168588,04/10/2025,Chorley,South Shields,Mike Calveley,right-foot,regular,block,0.01041,0.0
14168720,06/11/2025,Chorley,Worksop,Mike Calveley,head,corner,miss,0.2434,0.0
