Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168746,30/12/2025,Leamington,Alfreton,Miro Pais,left-foot,regular,miss,0.04754,0.0
14168746,30/12/2025,Leamington,Alfreton,Miro Pais,right-foot,set-piece,save,0.05091,0.02521
14168677,22/11/2025,Leamington,Chester,Miro Pais,right-foot,regular,miss,0.009939,0.0
15326174,03/02/2026,Leamington,Chorley,Miro Pais,right-foot,regular,block,0.02106,0.0
15326174,03/02/2026,Leamington,Chorley,Miro Pais,left-foot,regular,block,0.1753,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Miro Pais,right-foot,regular,goal,0.05526,0.5014
14168931,14/03/2026,Leamington,Darlington,Miro Pais,right-foot,regular,miss,0.05146,0.0
14168931,14/03/2026,Leamington,Darlington,Miro Pais,left-foot,regular,save,0.1039,0.1306
14168931,14/03/2026,Leamington,Darlington,Miro Pais,right-foot,regular,block,0.003166,0.0
14168920,10/03/2026,Leamington,Hereford,Miro Pais,left-foot,regular,block,0.1141,0.0
14168920,10/03/2026,Leamington,Hereford,Miro Pais,right-foot,regular,block,0.02151,0.0
14168524,25/08/2025,Leamington,Kidderminster,Miro Pais,right-foot,throw-in-set-piece,save,0.02115,0.07209
14168497,16/08/2025,Leamington,South Shields,Miro Pais,left-foot,regular,miss,0.08217,0.0
14168703,29/11/2025,Leamington,Worksop,Miro Pais,right-foot,throw-in-set-piece,save,0.02322,0.02777
14168802,24/01/2026,Leamington,Curzon Ashton,Miro Pais,right-foot,regular,miss,0.1488,0.0
15399474,17/02/2026,Leamington,Spennymoor,Miro Pais,right-foot,regular,block,0.2751,0.0
14168886,24/02/2026,Leamington,Merthyr,Miro Pais,left-foot,regular,block,0.04066,0.0
14168942,21/03/2026,Leamington,Scarborough,Miro Pais,right-foot,regular,save,0.0335,0.05974
14168958,28/03/2026,Leamington,Peterborough,Miro Pais,left-foot,regular,miss,0.4846,0.0
14168859,14/02/2026,Leamington,Marine,Miro Pais,right-foot,regular,save,0.05123,0.04488
14168859,14/02/2026,Leamington,Marine,Miro Pais,head,regular,miss,0.2232,0.0
14168859,14/02/2026,Leamington,Marine,Miro Pais,right-foot,regular,miss,0.06854,0.0
14168502,19/08/2025,Leamington,Peterborough,Miro Pais,left-foot,regular,block,0.00109,0.0
14168731,20/12/2025,Leamington,Radcliffe,Miro Pais,right-foot,throw-in-set-piece,block,0.003748,0.0
