Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15174859,16/12/2025,Southport,Alfreton,Mo Touray,right-foot,regular,block,0.3324,0.0
14168663,08/11/2025,Southport,Hereford,Mo Touray,right-foot,regular,save,0.02785,0.01611
14168547,02/09/2025,Southport,Leamington,Mo Touray,left-foot,regular,save,0.05876,0.05366
14168489,09/08/2025,Southport,Merthyr,Mo Touray,right-foot,regular,block,0.07257,0.0
14168489,09/08/2025,Southport,Merthyr,Mo Touray,right-foot,regular,save,0.2347,0.2223
14168534,30/08/2025,Southport,Scarborough,Mo Touray,right-foot,regular,miss,0.006692,0.0
14168481,16/08/2025,Southport,Bedford,Mo Touray,right-foot,throw-in-set-piece,miss,0.002944,0.0
14168481,16/08/2025,Southport,Bedford,Mo Touray,right-foot,regular,miss,0.05688,0.0
14168481,16/08/2025,Southport,Bedford,Mo Touray,right-foot,throw-in-set-piece,save,0.09234,0.409
14168481,16/08/2025,Southport,Bedford,Mo Touray,right-foot,regular,block,0.002094,0.0
14168508,19/08/2025,Southport,Macclesfield,Mo Touray,right-foot,regular,goal,0.01403,0.3093
14168508,19/08/2025,Southport,Macclesfield,Mo Touray,right-foot,corner,block,0.07369,0.0
14168529,25/08/2025,Southport,Fylde,Mo Touray,right-foot,regular,save,0.01337,0.01741
14877776,11/11/2025,Southport,Chester,Mo Touray,right-foot,set-piece,save,0.1303,0.5532
14168592,04/10/2025,Southport,Spennymoor,Mo Touray,right-foot,free-kick,block,0.001038,0.0
14168518,23/08/2025,Southport,Worksop,Mo Touray,right-foot,regular,miss,0.07036,0.0
