Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168554,06/09/2025,King's Lynn,Alfreton,Morgan Williams,right-foot,regular,block,0.07249,0.0
14168748,30/12/2025,King's Lynn,Bedford,Morgan Williams,right-foot,regular,save,0.1302,0.1435
14168748,30/12/2025,King's Lynn,Bedford,Morgan Williams,right-foot,regular,block,0.00467,0.0
14813803,28/10/2025,King's Lynn,Curzon Ashton,Morgan Williams,right-foot,regular,save,0.03976,0.02412
14813803,28/10/2025,King's Lynn,Curzon Ashton,Morgan Williams,right-foot,regular,block,0.1894,0.0
14168473,09/08/2025,King's Lynn,Telford,Morgan Williams,right-foot,throw-in-set-piece,save,0.05835,0.1064
14168533,30/08/2025,King's Lynn,Merthyr,Morgan Williams,left-foot,regular,block,0.01491,0.0
14168544,02/09/2025,King's Lynn,Kidderminster,Morgan Williams,right-foot,regular,block,0.01313,0.0
14168544,02/09/2025,King's Lynn,Kidderminster,Morgan Williams,right-foot,free-kick,save,0.02292,0.01399
14168544,02/09/2025,King's Lynn,Kidderminster,Morgan Williams,right-foot,regular,miss,0.003628,0.0
14168581,04/10/2025,King's Lynn,Scarborough,Morgan Williams,right-foot,free-kick,goal,0.1328,0.467
14168581,04/10/2025,King's Lynn,Scarborough,Morgan Williams,right-foot,free-kick,miss,0.002247,0.0
14168581,04/10/2025,King's Lynn,Scarborough,Morgan Williams,right-foot,free-kick,save,0.2429,0.7114
14168604,18/10/2025,King's Lynn,Fylde,Morgan Williams,right-foot,regular,miss,0.05134,0.0
14168604,18/10/2025,King's Lynn,Fylde,Morgan Williams,right-foot,throw-in-set-piece,miss,0.02163,0.0
14168634,25/10/2025,King's Lynn,Radcliffe,Morgan Williams,right-foot,regular,save,0.04455,0.1486
14168661,04/11/2025,King's Lynn,Leamington,Morgan Williams,right-foot,regular,block,0.1374,0.0
14168661,04/11/2025,King's Lynn,Leamington,Morgan Williams,right-foot,regular,goal,0.1277,0.1395
14168691,25/11/2025,King's Lynn,Buxton,Morgan Williams,right-foot,free-kick,miss,0.001365,0.0
14168691,25/11/2025,King's Lynn,Buxton,Morgan Williams,left-foot,regular,save,0.03566,0.01715
14168691,25/11/2025,King's Lynn,Buxton,Morgan Williams,right-foot,free-kick,miss,0.0005339,0.0
14168714,06/12/2025,King's Lynn,Chester,Morgan Williams,right-foot,free-kick,miss,0.0006767,0.0
14168714,06/12/2025,King's Lynn,Chester,Morgan Williams,right-foot,regular,save,0.1037,0.3225
15168214,10/12/2025,King's Lynn,Macclesfield,Morgan Williams,right-foot,set-piece,miss,0.01579,0.0
14168738,26/12/2025,King's Lynn,Peterborough,Morgan Williams,left-foot,regular,miss,0.0362,0.0
14168738,26/12/2025,King's Lynn,Peterborough,Morgan Williams,right-foot,free-kick,goal,0.142,0.4372
14168738,26/12/2025,King's Lynn,Peterborough,Morgan Williams,right-foot,free-kick,post,0.2124,0.0
14168738,26/12/2025,King's Lynn,Peterborough,Morgan Williams,right-foot,corner,save,0.02639,0.0154
14168794,17/01/2026,King's Lynn,Hereford,Morgan Williams,right-foot,regular,block,0.006394,0.0
14168794,17/01/2026,King's Lynn,Hereford,Morgan Williams,right-foot,regular,miss,0.1681,0.0
15578956,17/03/2026,King's Lynn,South Shields,Morgan Williams,right-foot,throw-in-set-piece,goal,0.0744,0.3784
15578956,17/03/2026,King's Lynn,South Shields,Morgan Williams,left-foot,regular,block,0.02507,0.0
14168941,21/03/2026,King's Lynn,Curzon Ashton,Morgan Williams,right-foot,regular,block,0.008506,0.0
14168941,21/03/2026,King's Lynn,Curzon Ashton,Morgan Williams,right-foot,free-kick,block,0.08193,0.0
14168941,21/03/2026,King's Lynn,Curzon Ashton,Morgan Williams,right-foot,regular,miss,0.00587,0.0
15495110,24/03/2026,King's Lynn,Leamington,Morgan Williams,right-foot,throw-in-set-piece,miss,0.001468,0.0
14168577,20/09/2025,King's Lynn,Marine,Morgan Williams,left-foot,throw-in-set-piece,miss,0.04908,0.0
14168577,20/09/2025,King's Lynn,Marine,Morgan Williams,right-foot,free-kick,goal,0.2172,0.4746
14168705,29/11/2025,King's Lynn,Oxford,Morgan Williams,left-foot,regular,save,0.1346,0.154
14168705,29/11/2025,King's Lynn,Oxford,Morgan Williams,right-foot,regular,save,0.5714,0.7865
14168705,29/11/2025,King's Lynn,Oxford,Morgan Williams,right-foot,free-kick,miss,0.0004325,0.0
14168795,24/01/2026,King's Lynn,Telford,Morgan Williams,right-foot,free-kick,miss,0.001724,0.0
14168625,21/10/2025,King's Lynn,Worksop,Morgan Williams,right-foot,regular,miss,0.009794,0.0
