Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168821,31/01/2026,Peterborough,Chorley,Mustapha Carayol,head,corner,miss,0.0735,0.0
14168821,31/01/2026,Peterborough,Chorley,Mustapha Carayol,left-foot,regular,miss,0.02416,0.0
14168821,31/01/2026,Peterborough,Chorley,Mustapha Carayol,right-foot,regular,block,0.02038,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Mustapha Carayol,left-foot,throw-in-set-piece,save,0.05927,0.08253
14168631,25/10/2025,Peterborough,Curzon Ashton,Mustapha Carayol,right-foot,regular,miss,0.0142,0.0
14878242,18/11/2025,Peterborough,Darlington,Mustapha Carayol,right-foot,regular,miss,0.01959,0.0
14168958,28/03/2026,Peterborough,Leamington,Mustapha Carayol,right-foot,regular,block,0.06374,0.0
14168645,01/11/2025,Peterborough,Chorley,Mustapha Carayol,right-foot,corner,miss,0.03524,0.0
14168645,01/11/2025,Peterborough,Chorley,Mustapha Carayol,left-foot,regular,block,0.07523,0.0
14168682,22/11/2025,Peterborough,Radcliffe,Mustapha Carayol,right-foot,regular,miss,0.06136,0.0
14168682,22/11/2025,Peterborough,Radcliffe,Mustapha Carayol,right-foot,regular,miss,0.03688,0.0
14168730,20/12/2025,Peterborough,Scarborough,Mustapha Carayol,right-foot,regular,block,0.0297,0.0
14168801,24/01/2026,Peterborough,Chester,Mustapha Carayol,left-foot,regular,save,0.06943,0.02641
14168801,24/01/2026,Peterborough,Chester,Mustapha Carayol,right-foot,set-piece,miss,0.0472,0.0
14168801,24/01/2026,Peterborough,Chester,Mustapha Carayol,right-foot,set-piece,block,0.0477,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Mustapha Carayol,right-foot,regular,miss,0.01425,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Mustapha Carayol,right-foot,regular,block,0.03926,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Mustapha Carayol,head,corner,goal,0.1452,0.5295
14168812,27/01/2026,Peterborough,Macclesfield,Mustapha Carayol,right-foot,set-piece,block,0.005233,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Mustapha Carayol,right-foot,throw-in-set-piece,block,0.00465,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Mustapha Carayol,right-foot,regular,block,0.04502,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Mustapha Carayol,right-foot,regular,block,0.1274,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Mustapha Carayol,right-foot,free-kick,miss,0.001299,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Mustapha Carayol,right-foot,regular,save,0.03059,0.07113
14168874,21/02/2026,Peterborough,Radcliffe,Mustapha Carayol,right-foot,regular,block,0.06814,0.0
14843593,28/10/2025,Peterborough,Southport,Mustapha Carayol,right-foot,regular,save,0.1185,0.2281
14843593,28/10/2025,Peterborough,Southport,Mustapha Carayol,right-foot,regular,block,0.006707,0.0
14168672,08/11/2025,Peterborough,Spennymoor,Mustapha Carayol,right-foot,regular,save,0.03108,0.02408
14168672,08/11/2025,Peterborough,Spennymoor,Mustapha Carayol,right-foot,regular,block,0.04219,0.0
