Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168662,08/11/2025,Chester,Buxton,Nathan Woodthorpe,right-foot,regular,save,0.01843,0.01224
14168519,25/08/2025,Chester,Oxford,Nathan Woodthorpe,left-foot,regular,goal,0.5188,0.8262
14168519,25/08/2025,Chester,Oxford,Nathan Woodthorpe,left-foot,regular,miss,0.02321,0.0
14168556,06/09/2025,Chester,Scarborough,Nathan Woodthorpe,right-foot,regular,block,0.005755,0.0
14168626,25/10/2025,Chester,Bedford,Nathan Woodthorpe,left-foot,regular,block,0.01254,0.0
14168626,25/10/2025,Chester,Bedford,Nathan Woodthorpe,left-foot,regular,save,0.09032,0.1045
14168652,04/11/2025,Chester,Marine,Nathan Woodthorpe,right-foot,corner,miss,0.2219,0.0
14168759,03/01/2026,Chester,Worksop,Nathan Woodthorpe,left-foot,throw-in-set-piece,block,0.01411,0.0
14168759,03/01/2026,Chester,Worksop,Nathan Woodthorpe,head,regular,save,0.0284,0.1265
14168785,17/01/2026,Chester,Chorley,Nathan Woodthorpe,left-foot,regular,block,0.04683,0.0
14168903,07/03/2026,Chester,Darlington,Nathan Woodthorpe,left-foot,regular,miss,0.008574,0.0
14168903,07/03/2026,Chester,Darlington,Nathan Woodthorpe,right-foot,throw-in-set-piece,miss,0.01957,0.0
14168940,21/03/2026,Chester,Southport,Nathan Woodthorpe,right-foot,corner,block,0.001259,0.0
14168940,21/03/2026,Chester,Southport,Nathan Woodthorpe,right-foot,regular,miss,0.07505,0.0
14168569,20/09/2025,Chester,Darlington,Nathan Woodthorpe,head,throw-in-set-piece,miss,0.0625,0.0
14168779,10/01/2026,Chester,Scarborough,Nathan Woodthorpe,left-foot,free-kick,post,0.1372,0.0
15212553,20/01/2026,Chester,Spennymoor,Nathan Woodthorpe,left-foot,regular,miss,0.003772,0.0
15212553,20/01/2026,Chester,Spennymoor,Nathan Woodthorpe,left-foot,throw-in-set-piece,miss,0.01177,0.0
