Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168916,10/03/2026,Worksop,Bedford,Oliver Greaves,left-foot,set-piece,save,0.0152,0.0172
14168557,06/09/2025,Buxton,Oxford,Oliver Greaves,head,regular,post,0.1235,0.0
14168580,04/10/2025,Buxton,Darlington,Oliver Greaves,right-foot,regular,save,0.3174,0.5962
14168628,25/10/2025,Buxton,Alfreton,Oliver Greaves,right-foot,regular,goal,0.2684,0.6843
14168724,20/12/2025,Buxton,Telford,Oliver Greaves,right-foot,regular,save,0.03995,0.01646
14168675,22/11/2025,Buxton,Fylde,Oliver Greaves,right-foot,set-piece,block,0.1623,0.0
14168675,22/11/2025,Buxton,Fylde,Oliver Greaves,right-foot,regular,block,0.001774,0.0
14168691,25/11/2025,Buxton,King's Lynn,Oliver Greaves,right-foot,throw-in-set-piece,miss,0.004078,0.0
14168691,25/11/2025,Buxton,King's Lynn,Oliver Greaves,right-foot,regular,save,0.3748,0.2935
14168691,25/11/2025,Buxton,King's Lynn,Oliver Greaves,left-foot,regular,goal,0.08728,0.09652
14168691,25/11/2025,Buxton,King's Lynn,Oliver Greaves,right-foot,throw-in-set-piece,save,0.05191,0.2073
14168937,14/03/2026,Worksop,Marine,Oliver Greaves,left-foot,regular,goal,0.5616,0.0
14168777,10/01/2026,Buxton,Oxford,Oliver Greaves,left-foot,regular,save,0.05157,0.2206
14168616,21/10/2025,Buxton,Peterborough,Oliver Greaves,right-foot,regular,block,0.005076,0.0
14168798,24/01/2026,Buxton,Radcliffe,Oliver Greaves,right-foot,regular,save,0.09827,0.08672
14168552,02/09/2025,Buxton,Scarborough,Oliver Greaves,left-foot,regular,save,0.0612,0.2053
14168885,24/02/2026,Worksop,South Shields,Oliver Greaves,right-foot,free-kick,miss,0.002554,0.0
14168842,07/02/2026,Worksop,Telford,Oliver Greaves,right-foot,regular,goal,0.1487,0.5959
14168842,07/02/2026,Worksop,Telford,Oliver Greaves,right-foot,regular,goal,0.1748,0.7106
14168902,28/02/2026,Worksop,Leamington,Oliver Greaves,right-foot,regular,miss,0.003114,0.0
14168913,07/03/2026,Worksop,Hereford,Oliver Greaves,right-foot,free-kick,save,0.1093,0.2348
14168913,07/03/2026,Worksop,Hereford,Oliver Greaves,left-foot,regular,miss,0.1787,0.0
14168962,03/04/2026,Worksop,Alfreton,Oliver Greaves,right-foot,throw-in-set-piece,block,0.00548,0.0
14168962,03/04/2026,Worksop,Alfreton,Oliver Greaves,right-foot,regular,miss,0.3381,0.0
14168962,03/04/2026,Worksop,Alfreton,Oliver Greaves,left-foot,regular,block,0.007375,0.0
14168987,11/04/2026,Worksop,Spennymoor,Oliver Greaves,left-foot,regular,miss,0.1885,0.0
14168961,28/03/2026,Worksop,Radcliffe,Oliver Greaves,left-foot,regular,block,0.0323,0.0
14168975,06/04/2026,Worksop,Buxton,Oliver Greaves,head,regular,save,0.06272,0.3799
14168999,18/04/2026,Worksop,Peterborough,Oliver Greaves,right-foot,regular,goal,0.06117,0.1197
14168999,18/04/2026,Worksop,Peterborough,Oliver Greaves,left-foot,regular,save,0.2977,0.3152
14168999,18/04/2026,Worksop,Peterborough,Oliver Greaves,head,regular,goal,0.1045,0.4769
14168999,18/04/2026,Worksop,Peterborough,Oliver Greaves,right-foot,regular,goal,0.218,0.168
