Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168492,19/08/2025,Hereford,Buxton,Omari Sterling-James,right-foot,free-kick,save,0.0241,0.01229
14168687,25/11/2025,Hereford,Chester,Omari Sterling-James,right-foot,regular,save,0.03408,0.07005
14168687,25/11/2025,Hereford,Chester,Omari Sterling-James,head,regular,save,0.1364,0.2096
14168564,06/09/2025,Hereford,Darlington,Omari Sterling-James,right-foot,regular,block,0.02527,0.0
14168479,16/08/2025,Hereford,King's Lynn,Omari Sterling-James,right-foot,free-kick,miss,0.00093,0.0
14168479,16/08/2025,Hereford,King's Lynn,Omari Sterling-James,right-foot,regular,save,0.2455,0.1701
14168506,23/08/2025,Hereford,Chorley,Omari Sterling-James,right-foot,corner,block,0.02896,0.0
14168506,23/08/2025,Hereford,Chorley,Omari Sterling-James,right-foot,corner,save,0.06701,0.1129
14168506,23/08/2025,Hereford,Chorley,Omari Sterling-James,right-foot,regular,miss,0.06473,0.0
14168506,23/08/2025,Hereford,Chorley,Omari Sterling-James,right-foot,regular,miss,0.4092,0.0
14168506,23/08/2025,Hereford,Chorley,Omari Sterling-James,right-foot,free-kick,save,0.176,0.3499
14168506,23/08/2025,Hereford,Chorley,Omari Sterling-James,right-foot,regular,miss,0.003744,0.0
14168531,30/08/2025,Hereford,Alfreton,Omari Sterling-James,right-foot,regular,miss,0.02649,0.0
14168531,30/08/2025,Hereford,Alfreton,Omari Sterling-James,right-foot,free-kick,save,0.09612,0.05887
14168545,02/09/2025,Hereford,Bedford,Omari Sterling-James,left-foot,regular,miss,0.0185,0.0
14168545,02/09/2025,Hereford,Bedford,Omari Sterling-James,left-foot,regular,save,0.2459,0.7409
14168545,02/09/2025,Hereford,Bedford,Omari Sterling-James,right-foot,regular,miss,0.0003499,0.0
14168545,02/09/2025,Hereford,Bedford,Omari Sterling-James,right-foot,regular,miss,0.0215,0.0
14168571,20/09/2025,Hereford,Worksop,Omari Sterling-James,right-foot,regular,miss,0.1214,0.0
14168571,20/09/2025,Hereford,Worksop,Omari Sterling-James,right-foot,regular,block,0.02642,0.0
14168571,20/09/2025,Hereford,Worksop,Omari Sterling-James,right-foot,free-kick,goal,0.08389,0.3561
14168571,20/09/2025,Hereford,Worksop,Omari Sterling-James,right-foot,regular,block,0.03235,0.0
14168571,20/09/2025,Hereford,Worksop,Omari Sterling-James,right-foot,free-kick,save,0.03712,0.08617
14168613,21/10/2025,Hereford,Telford,Omari Sterling-James,right-foot,free-kick,block,0.001163,0.0
14168641,01/11/2025,Hereford,Curzon Ashton,Omari Sterling-James,right-foot,regular,goal,0.06908,0.2935
14168641,01/11/2025,Hereford,Curzon Ashton,Omari Sterling-James,right-foot,regular,miss,0.03979,0.0
14168641,01/11/2025,Hereford,Curzon Ashton,Omari Sterling-James,right-foot,regular,block,0.001838,0.0
14168641,01/11/2025,Hereford,Curzon Ashton,Omari Sterling-James,right-foot,regular,miss,0.02142,0.0
14168582,04/10/2025,Hereford,Leamington,Omari Sterling-James,right-foot,free-kick,post,0.000857,0.0
14168582,04/10/2025,Hereford,Leamington,Omari Sterling-James,right-foot,free-kick,save,0.1063,0.1411
14168582,04/10/2025,Hereford,Leamington,Omari Sterling-James,right-foot,regular,block,0.003706,0.0
14168659,04/11/2025,Hereford,Oxford,Omari Sterling-James,right-foot,free-kick,block,0.0007283,0.0
14168659,04/11/2025,Hereford,Oxford,Omari Sterling-James,right-foot,regular,miss,0.002962,0.0
14169015,06/12/2025,Hereford,Peterborough,Omari Sterling-James,right-foot,free-kick,save,0.07936,0.08435
14169015,06/12/2025,Hereford,Peterborough,Omari Sterling-James,right-foot,regular,save,0.06494,0.2929
14169015,06/12/2025,Hereford,Peterborough,Omari Sterling-James,right-foot,free-kick,block,0.03539,0.0
14169015,06/12/2025,Hereford,Peterborough,Omari Sterling-James,right-foot,free-kick,save,0.1694,0.1313
14168523,25/08/2025,Hereford,Radcliffe,Omari Sterling-James,right-foot,throw-in-set-piece,save,0.03496,0.09698
14168523,25/08/2025,Hereford,Radcliffe,Omari Sterling-James,right-foot,free-kick,miss,0.001419,0.0
14168523,25/08/2025,Hereford,Radcliffe,Omari Sterling-James,right-foot,regular,block,0.02092,0.0
14168523,25/08/2025,Hereford,Radcliffe,Omari Sterling-James,left-foot,regular,block,0.001607,0.0
14168610,18/10/2025,Hereford,South Shields,Omari Sterling-James,right-foot,regular,block,0.006685,0.0
14168610,18/10/2025,Hereford,South Shields,Omari Sterling-James,right-foot,regular,block,0.00242,0.0
14168610,18/10/2025,Hereford,South Shields,Omari Sterling-James,right-foot,free-kick,save,0.109,0.1074
14168610,18/10/2025,Hereford,South Shields,Omari Sterling-James,right-foot,regular,block,0.01318,0.0
