Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168638,01/11/2025,Kidderminster,Alfreton,Owen Evans,right-foot,throw-in-set-piece,miss,0.1598,0.0
14168807,27/01/2026,Kidderminster,Bedford,Owen Evans,left-foot,free-kick,block,0.003692,0.0
14168807,27/01/2026,Kidderminster,Bedford,Owen Evans,right-foot,corner,block,0.3658,0.0
14168807,27/01/2026,Kidderminster,Bedford,Owen Evans,left-foot,throw-in-set-piece,block,0.006343,0.0
14168807,27/01/2026,Kidderminster,Bedford,Owen Evans,left-foot,regular,save,0.009835,0.005637
14168657,04/11/2025,Kidderminster,Bedford,Owen Evans,left-foot,regular,block,0.1807,3.532e-05
14168667,08/11/2025,Kidderminster,Darlington,Owen Evans,left-foot,throw-in-set-piece,miss,0.001958,0.0
14168667,08/11/2025,Kidderminster,Darlington,Owen Evans,left-foot,throw-in-set-piece,miss,0.007362,0.0
14168750,30/12/2025,Kidderminster,Telford,Owen Evans,left-foot,regular,block,0.04064,0.0
14168764,03/01/2026,Kidderminster,Curzon Ashton,Owen Evans,right-foot,regular,save,0.2488,0.7121
14168764,03/01/2026,Kidderminster,Curzon Ashton,Owen Evans,left-foot,regular,save,0.04357,0.1335
14168788,17/01/2026,Kidderminster,Worksop,Owen Evans,left-foot,regular,goal,0.1642,0.4195
14168788,17/01/2026,Kidderminster,Worksop,Owen Evans,left-foot,regular,miss,0.009082,0.0
14168923,10/03/2026,Kidderminster,Peterborough,Owen Evans,left-foot,regular,save,0.1721,0.09025
14168692,25/11/2025,Kidderminster,Marine,Owen Evans,left-foot,set-piece,miss,0.0254,0.0
14168620,21/10/2025,Kidderminster,Merthyr,Owen Evans,left-foot,regular,miss,0.009784,0.0
