Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168746,30/12/2025,Leamington,Alfreton,Owen Farmer,right-foot,regular,block,0.005033,0.0
14168746,30/12/2025,Leamington,Alfreton,Owen Farmer,right-foot,throw-in-set-piece,save,0.02819,0.0365
14168491,09/08/2025,Leamington,Curzon Ashton,Owen Farmer,left-foot,regular,miss,0.0791,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Owen Farmer,right-foot,set-piece,miss,0.002938,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Owen Farmer,right-foot,regular,miss,0.02972,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Owen Farmer,left-foot,throw-in-set-piece,save,0.3282,0.577
14168920,10/03/2026,Leamington,Hereford,Owen Farmer,left-foot,regular,save,0.03996,0.02358
14168524,25/08/2025,Leamington,Kidderminster,Owen Farmer,right-foot,free-kick,goal,0.176,0.3378
14168497,16/08/2025,Leamington,South Shields,Owen Farmer,right-foot,regular,save,0.1944,0.4419
14168497,16/08/2025,Leamington,South Shields,Owen Farmer,right-foot,throw-in-set-piece,save,0.03583,0.05344
14168497,16/08/2025,Leamington,South Shields,Owen Farmer,right-foot,throw-in-set-piece,miss,0.001753,0.0
14168497,16/08/2025,Leamington,South Shields,Owen Farmer,right-foot,regular,save,0.08253,0.08167
14168512,23/08/2025,Leamington,Radcliffe,Owen Farmer,left-foot,regular,miss,0.01912,0.0
14168512,23/08/2025,Leamington,Radcliffe,Owen Farmer,right-foot,set-piece,miss,0.0606,0.0
14168512,23/08/2025,Leamington,Radcliffe,Owen Farmer,head,regular,miss,0.05147,0.0
14168512,23/08/2025,Leamington,Radcliffe,Owen Farmer,right-foot,regular,save,0.1704,0.1723
14168540,30/08/2025,Leamington,Chorley,Owen Farmer,right-foot,regular,miss,0.1987,0.0
14168540,30/08/2025,Leamington,Chorley,Owen Farmer,right-foot,corner,block,0.02169,0.0
14168547,02/09/2025,Leamington,Southport,Owen Farmer,right-foot,regular,miss,0.03147,0.0
14168740,26/12/2025,Leamington,Bedford,Owen Farmer,head,regular,block,0.1739,0.0
14168802,24/01/2026,Leamington,Curzon Ashton,Owen Farmer,right-foot,corner,save,0.07407,0.06266
14168802,24/01/2026,Leamington,Curzon Ashton,Owen Farmer,head,set-piece,save,0.06758,0.02758
14168833,07/02/2026,Leamington,Oxford,Owen Farmer,left-foot,regular,save,0.03578,0.01335
15399474,17/02/2026,Leamington,Spennymoor,Owen Farmer,right-foot,corner,save,0.2453,0.255
15399474,17/02/2026,Leamington,Spennymoor,Owen Farmer,left-foot,regular,block,0.02668,0.0
14168886,24/02/2026,Leamington,Merthyr,Owen Farmer,right-foot,regular,save,0.08461,0.07368
14168886,24/02/2026,Leamington,Merthyr,Owen Farmer,left-foot,regular,save,0.1391,0.4502
14168886,24/02/2026,Leamington,Merthyr,Owen Farmer,right-foot,regular,block,0.00633,0.0
14168886,24/02/2026,Leamington,Merthyr,Owen Farmer,right-foot,regular,block,0.007561,0.0
14168886,24/02/2026,Leamington,Merthyr,Owen Farmer,left-foot,regular,save,0.03936,0.05608
14168886,24/02/2026,Leamington,Merthyr,Owen Farmer,right-foot,regular,miss,0.006545,0.0
14168904,07/03/2026,Leamington,Fylde,Owen Farmer,left-foot,regular,block,0.3286,0.0
14168942,21/03/2026,Leamington,Scarborough,Owen Farmer,right-foot,regular,miss,0.02839,0.0
15495110,24/03/2026,Leamington,King's Lynn,Owen Farmer,left-foot,regular,block,0.03889,0.0
14168852,10/02/2026,Leamington,Macclesfield,Owen Farmer,right-foot,regular,save,0.03185,0.09004
14168502,19/08/2025,Leamington,Peterborough,Owen Farmer,left-foot,regular,block,0.04549,0.0
14168502,19/08/2025,Leamington,Peterborough,Owen Farmer,right-foot,free-kick,block,0.01478,0.0
14168731,20/12/2025,Leamington,Radcliffe,Owen Farmer,left-foot,regular,save,0.24,0.3333
15447037,03/03/2026,Leamington,Telford,Owen Farmer,right-foot,regular,save,0.1834,0.1431
15447037,03/03/2026,Leamington,Telford,Owen Farmer,head,regular,save,0.1338,0.2913
15447037,03/03/2026,Leamington,Telford,Owen Farmer,right-foot,regular,save,0.04781,0.03129
15447037,03/03/2026,Leamington,Telford,Owen Farmer,right-foot,regular,save,0.3365,0.5145
14168963,03/04/2026,Leamington,Bedford,Owen Farmer,left-foot,regular,save,0.08265,0.3786
14169021,25/04/2026,Leamington,Buxton,Owen Farmer,right-foot,throw-in-set-piece,miss,0.0433,0.0
14169021,25/04/2026,Leamington,Buxton,Owen Farmer,right-foot,regular,save,0.2049,0.3786
14168979,06/04/2026,Leamington,Alfreton,Owen Farmer,right-foot,regular,miss,0.0365,0.0
14168979,06/04/2026,Leamington,Alfreton,Owen Farmer,right-foot,regular,save,0.1493,0.04908
14168984,11/04/2026,Leamington,Southport,Owen Farmer,right-foot,regular,miss,0.04665,0.0
14168984,11/04/2026,Leamington,Southport,Owen Farmer,right-foot,regular,block,0.0184,0.0
