Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Alfreton,Darlington,Owen German,right-foot,throw-in-set-piece,miss,0.04936,0.0
14168470,16/08/2025,Alfreton,Darlington,Owen German,head,set-piece,miss,0.1128,0.0
14168517,25/08/2025,Alfreton,Marine,Owen German,left-foot,regular,save,0.2353,0.2771
15489563,31/03/2026,Chorley,Alfreton,Owen German,left-foot,throw-in-set-piece,block,0.004472,0.0
14168488,09/08/2025,Alfreton,Bedford,Owen German,right-foot,free-kick,miss,0.0008273,0.0
14168841,10/02/2026,Chorley,Southport,Owen German,right-foot,set-piece,block,0.005999,0.0
14168917,10/03/2026,Chorley,South Shields,Owen German,left-foot,throw-in-set-piece,block,0.001281,0.0
15473461,17/03/2026,Chorley,Kidderminster,Owen German,right-foot,regular,save,0.1937,0.1202
14168509,23/08/2025,Alfreton,Macclesfield,Owen German,right-foot,corner,save,0.2286,0.2791
14168836,07/02/2026,Chorley,Merthyr,Owen German,left-foot,regular,block,0.0265,0.0
14168836,07/02/2026,Chorley,Merthyr,Owen German,head,corner,block,0.1115,0.0
14168836,07/02/2026,Chorley,Merthyr,Owen German,left-foot,throw-in-set-piece,block,0.05445,0.0
14168550,02/09/2025,Alfreton,Oxford,Owen German,right-foot,regular,save,0.03831,0.04779
15452627,17/02/2026,Chorley,Telford,Owen German,right-foot,corner,miss,0.04651,0.0
