Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15416663,24/03/2026,Macclesfield,Alfreton,Paul Dawson,right-foot,regular,save,0.06744,0.1595
15416663,24/03/2026,Macclesfield,Alfreton,Paul Dawson,left-foot,throw-in-set-piece,miss,0.006159,0.0
15416663,24/03/2026,Macclesfield,Alfreton,Paul Dawson,right-foot,regular,block,0.05637,0.0
15416663,24/03/2026,Macclesfield,Alfreton,Paul Dawson,right-foot,regular,miss,0.02637,0.0
15029190,16/12/2025,Macclesfield,Bedford,Paul Dawson,right-foot,corner,block,0.03755,0.0
15029190,16/12/2025,Macclesfield,Bedford,Paul Dawson,right-foot,corner,block,0.02715,0.0
14168929,14/03/2026,Macclesfield,Curzon Ashton,Paul Dawson,right-foot,regular,miss,0.003327,0.0
14168929,14/03/2026,Macclesfield,Curzon Ashton,Paul Dawson,head,corner,miss,0.2591,0.0
15399968,31/03/2026,Macclesfield,Hereford,Paul Dawson,right-foot,regular,goal,0.2046,0.3699
15399968,31/03/2026,Macclesfield,Hereford,Paul Dawson,right-foot,regular,block,0.06188,0.0
15399968,31/03/2026,Macclesfield,Hereford,Paul Dawson,left-foot,regular,miss,0.004077,0.0
15399968,31/03/2026,Macclesfield,Hereford,Paul Dawson,head,corner,goal,0.2757,0.7179
15399968,31/03/2026,Macclesfield,Hereford,Paul Dawson,right-foot,throw-in-set-piece,miss,0.006943,0.0
15399968,31/03/2026,Macclesfield,Hereford,Paul Dawson,right-foot,regular,block,0.01045,0.0
15168214,10/12/2025,Macclesfield,King's Lynn,Paul Dawson,right-foot,regular,miss,0.03101,0.0
14168622,21/10/2025,Macclesfield,Leamington,Paul Dawson,right-foot,regular,block,0.02467,0.0
14168622,21/10/2025,Macclesfield,Leamington,Paul Dawson,right-foot,free-kick,save,0.3015,0.5172
14168622,21/10/2025,Macclesfield,Leamington,Paul Dawson,head,corner,save,0.1177,0.3373
14168622,21/10/2025,Macclesfield,Leamington,Paul Dawson,right-foot,corner,save,0.02555,0.1421
14168487,09/08/2025,Macclesfield,Worksop,Paul Dawson,head,corner,goal,0.543,0.7998
14168487,09/08/2025,Macclesfield,Worksop,Paul Dawson,head,corner,miss,0.2049,0.0
14168487,09/08/2025,Macclesfield,Worksop,Paul Dawson,right-foot,corner,block,0.02434,0.0
14168487,09/08/2025,Macclesfield,Worksop,Paul Dawson,left-foot,regular,block,0.1875,0.0
14168487,09/08/2025,Macclesfield,Worksop,Paul Dawson,head,corner,goal,0.293,0.382
14168509,23/08/2025,Macclesfield,Alfreton,Paul Dawson,head,corner,block,0.03019,0.0
14168538,30/08/2025,Macclesfield,Darlington,Paul Dawson,right-foot,free-kick,miss,0.0004749,0.0
14168615,18/10/2025,Macclesfield,Curzon Ashton,Paul Dawson,right-foot,regular,save,0.007879,0.179
14168615,18/10/2025,Macclesfield,Curzon Ashton,Paul Dawson,head,corner,save,0.1665,0.6293
14168615,18/10/2025,Macclesfield,Curzon Ashton,Paul Dawson,right-foot,regular,block,0.00651,0.0
14168665,04/11/2025,Macclesfield,Peterborough,Paul Dawson,right-foot,regular,goal,0.1025,0.05515
14168665,04/11/2025,Macclesfield,Peterborough,Paul Dawson,right-foot,regular,save,0.02758,0.04045
14168665,04/11/2025,Macclesfield,Peterborough,Paul Dawson,right-foot,regular,block,0.0009401,0.0
14168665,04/11/2025,Macclesfield,Peterborough,Paul Dawson,right-foot,regular,save,0.01303,0.2539
14168665,04/11/2025,Macclesfield,Peterborough,Paul Dawson,right-foot,regular,block,0.1516,0.0
14168665,04/11/2025,Macclesfield,Peterborough,Paul Dawson,left-foot,regular,block,0.01906,0.0
14168669,08/11/2025,Macclesfield,Telford,Paul Dawson,head,regular,save,0.3937,0.408
14168669,08/11/2025,Macclesfield,Telford,Paul Dawson,right-foot,corner,miss,0.01275,0.0
14168739,26/12/2025,Macclesfield,Buxton,Paul Dawson,head,corner,miss,0.01709,0.0
15122242,06/01/2026,Macclesfield,Radcliffe,Paul Dawson,right-foot,free-kick,miss,0.002465,0.0
15122242,06/01/2026,Macclesfield,Radcliffe,Paul Dawson,right-foot,regular,goal,0.03546,0.268
15122242,06/01/2026,Macclesfield,Radcliffe,Paul Dawson,right-foot,regular,block,0.04493,0.0
14168793,17/01/2026,Macclesfield,Oxford,Paul Dawson,head,corner,miss,0.06373,0.0
14168793,17/01/2026,Macclesfield,Oxford,Paul Dawson,left-foot,throw-in-set-piece,miss,0.04,0.0
14168827,31/01/2026,Macclesfield,Bedford,Paul Dawson,right-foot,set-piece,miss,0.004509,0.0
15227997,03/02/2026,Macclesfield,Kidderminster,Paul Dawson,head,set-piece,save,0.1538,0.09302
14168852,10/02/2026,Macclesfield,Leamington,Paul Dawson,head,corner,goal,0.1206,0.5662
14168852,10/02/2026,Macclesfield,Leamington,Paul Dawson,right-foot,regular,save,0.04452,0.01915
14168852,10/02/2026,Macclesfield,Leamington,Paul Dawson,right-foot,regular,block,0.03601,0.0
14168872,21/02/2026,Macclesfield,King's Lynn,Paul Dawson,right-foot,free-kick,miss,0.02518,0.0
14168883,24/02/2026,Macclesfield,Fylde,Paul Dawson,right-foot,corner,goal,0.06222,0.5905
14168883,24/02/2026,Macclesfield,Fylde,Paul Dawson,right-foot,regular,miss,0.02874,0.0
14168943,21/03/2026,Macclesfield,Hereford,Paul Dawson,head,corner,save,0.1074,0.06238
14168471,16/08/2025,Macclesfield,Oxford,Paul Dawson,head,regular,save,0.1274,0.5606
14168471,16/08/2025,Macclesfield,Oxford,Paul Dawson,right-foot,regular,block,0.009253,0.0
14168899,28/02/2026,Macclesfield,Scarborough,Paul Dawson,head,corner,save,0.08751,0.07858
14168899,28/02/2026,Macclesfield,Scarborough,Paul Dawson,head,regular,goal,0.08446,0.1952
14168899,28/02/2026,Macclesfield,Scarborough,Paul Dawson,right-foot,regular,save,0.01538,0.06848
14168508,19/08/2025,Macclesfield,Southport,Paul Dawson,head,corner,miss,0.07894,0.0
15395692,17/03/2026,Macclesfield,Telford,Paul Dawson,left-foot,regular,save,0.03924,0.01279
15395692,17/03/2026,Macclesfield,Telford,Paul Dawson,right-foot,regular,miss,0.0429,0.0
15395692,17/03/2026,Macclesfield,Telford,Paul Dawson,head,regular,save,0.02965,0.02438
15395692,17/03/2026,Macclesfield,Telford,Paul Dawson,right-foot,regular,save,0.03108,0.02852
14168805,24/01/2026,Macclesfield,Worksop,Paul Dawson,head,regular,miss,0.135,0.0
14168805,24/01/2026,Macclesfield,Worksop,Paul Dawson,head,corner,post,0.09777,0.0
14168964,03/04/2026,Macclesfield,Buxton,Paul Dawson,right-foot,set-piece,post,0.06295,4.57e-05
14168964,03/04/2026,Macclesfield,Buxton,Paul Dawson,right-foot,regular,block,0.02212,0.0
14168964,03/04/2026,Macclesfield,Buxton,Paul Dawson,right-foot,regular,goal,0.02493,0.09836
14168964,03/04/2026,Macclesfield,Buxton,Paul Dawson,right-foot,penalty,goal,0.76,0.81
14168964,03/04/2026,Macclesfield,Buxton,Paul Dawson,right-foot,regular,block,0.04962,0.0
14168964,03/04/2026,Macclesfield,Buxton,Paul Dawson,right-foot,throw-in-set-piece,miss,0.01418,0.0
14168985,06/04/2026,Macclesfield,Chester,Paul Dawson,right-foot,free-kick,block,0.001107,0.0
14168985,06/04/2026,Macclesfield,Chester,Paul Dawson,head,corner,post,0.1858,0.0
14168985,06/04/2026,Macclesfield,Chester,Paul Dawson,right-foot,corner,block,0.1406,0.0
14168985,06/04/2026,Macclesfield,Chester,Paul Dawson,right-foot,free-kick,save,0.1018,0.2676
14168985,06/04/2026,Macclesfield,Chester,Paul Dawson,right-foot,regular,block,0.04959,0.0
14168990,11/04/2026,Macclesfield,Merthyr,Paul Dawson,left-foot,regular,miss,0.3391,0.0
