Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168603,18/10/2025,Kidderminster,Chester,Paul Kalambayi,head,corner,block,0.07034,0.0
14168603,18/10/2025,Kidderminster,Chester,Paul Kalambayi,right-foot,corner,post,0.1314,0.0
14168603,18/10/2025,Kidderminster,Chester,Paul Kalambayi,right-foot,set-piece,save,0.07926,0.1331
14168657,04/11/2025,Kidderminster,Bedford,Paul Kalambayi,left-foot,throw-in-set-piece,block,0.09785,0.0
14168750,30/12/2025,Kidderminster,Telford,Paul Kalambayi,right-foot,regular,save,0.09871,0.05421
14168843,10/02/2026,Kidderminster,Merthyr,Paul Kalambayi,head,set-piece,miss,0.1639,0.0
14168843,10/02/2026,Kidderminster,Merthyr,Paul Kalambayi,head,corner,save,0.2011,0.6428
14168884,24/02/2026,Kidderminster,Marine,Paul Kalambayi,head,set-piece,save,0.2328,0.2347
15227997,03/02/2026,Kidderminster,Macclesfield,Paul Kalambayi,head,corner,save,0.5229,0.764
14168684,22/11/2025,Kidderminster,Southport,Paul Kalambayi,head,corner,miss,0.009553,0.0
