Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168831,07/02/2026,Chester,Bedford,Phil Croker,head,regular,goal,0.2969,0.2896
14168831,07/02/2026,Chester,Bedford,Phil Croker,left-foot,corner,block,0.02733,0.0
14168822,31/01/2026,Chester,Radcliffe,Phil Croker,head,corner,block,0.2804,0.0
14168822,31/01/2026,Chester,Radcliffe,Phil Croker,head,corner,miss,0.3506,0.0
14168844,10/02/2026,Chester,Alfreton,Phil Croker,head,corner,miss,0.1132,0.0
14168893,28/02/2026,Chester,Spennymoor,Phil Croker,left-foot,regular,block,0.007456,0.0
14168940,21/03/2026,Chester,Southport,Phil Croker,right-foot,regular,miss,0.3452,0.0
14168952,28/03/2026,Chester,Curzon Ashton,Phil Croker,right-foot,corner,miss,0.2591,0.0
14168965,03/04/2026,Chester,Telford,Phil Croker,head,corner,goal,0.05487,0.286
14168994,11/04/2026,Chester,Fylde,Phil Croker,head,corner,miss,0.04279,0.0
14169017,25/04/2026,Chester,King's Lynn,Phil Croker,head,set-piece,miss,0.1366,0.0
