Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168492,19/08/2025,Hereford,Buxton,Remaye Campbell,head,corner,goal,0.1277,0.5466
14168492,19/08/2025,Hereford,Buxton,Remaye Campbell,right-foot,regular,goal,0.1899,0.6006
14168564,06/09/2025,Hereford,Darlington,Remaye Campbell,right-foot,regular,miss,0.006989,0.0
14168632,25/10/2025,Hereford,Fylde,Remaye Campbell,right-foot,regular,block,0.02935,0.0
14168479,16/08/2025,Hereford,King's Lynn,Remaye Campbell,head,regular,miss,0.1551,0.0
14168479,16/08/2025,Hereford,King's Lynn,Remaye Campbell,head,corner,save,0.2099,0.2228
14168506,23/08/2025,Hereford,Chorley,Remaye Campbell,right-foot,regular,save,0.2572,0.6493
14168545,02/09/2025,Hereford,Bedford,Remaye Campbell,right-foot,throw-in-set-piece,save,0.03151,0.02634
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,right-foot,regular,save,0.2074,0.1693
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,right-foot,throw-in-set-piece,miss,0.1269,0.0
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,right-foot,regular,save,0.5364,0.3636
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,left-foot,regular,miss,0.01261,0.0
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,right-foot,regular,save,0.2324,0.2675
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,head,regular,miss,0.1328,0.0
14168571,20/09/2025,Hereford,Worksop,Remaye Campbell,left-foot,set-piece,miss,0.1766,0.0
14168613,21/10/2025,Hereford,Telford,Remaye Campbell,head,set-piece,save,0.1336,0.4258
14168641,01/11/2025,Hereford,Curzon Ashton,Remaye Campbell,head,set-piece,miss,0.4602,0.0
14168663,08/11/2025,Hereford,Southport,Remaye Campbell,right-foot,regular,miss,0.1023,0.0
14168663,08/11/2025,Hereford,Southport,Remaye Campbell,right-foot,throw-in-set-piece,save,0.04548,0.0477
14168663,08/11/2025,Hereford,Southport,Remaye Campbell,head,regular,save,0.01727,0.01505
14168663,08/11/2025,Hereford,Southport,Remaye Campbell,right-foot,throw-in-set-piece,save,0.00566,0.05491
14168582,04/10/2025,Hereford,Leamington,Remaye Campbell,right-foot,regular,block,0.03271,0.0
14168582,04/10/2025,Hereford,Leamington,Remaye Campbell,head,regular,miss,0.2158,0.0
14168659,04/11/2025,Hereford,Oxford,Remaye Campbell,head,regular,miss,0.1166,0.0
14168659,04/11/2025,Hereford,Oxford,Remaye Campbell,right-foot,regular,miss,0.005949,0.0
14168659,04/11/2025,Hereford,Oxford,Remaye Campbell,right-foot,regular,save,0.09848,0.3157
14168659,04/11/2025,Hereford,Oxford,Remaye Campbell,right-foot,corner,block,0.06092,0.0
14168659,04/11/2025,Hereford,Oxford,Remaye Campbell,left-foot,regular,miss,0.2709,0.0
14168610,18/10/2025,Hereford,South Shields,Remaye Campbell,right-foot,regular,save,0.01898,0.04137
14168610,18/10/2025,Hereford,South Shields,Remaye Campbell,right-foot,regular,save,0.1035,0.1209
14168610,18/10/2025,Hereford,South Shields,Remaye Campbell,left-foot,corner,block,0.1653,0.0
14168495,09/08/2025,Hereford,Spennymoor,Remaye Campbell,left-foot,regular,block,0.06655,0.0
