Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168567,20/09/2025,Telford,Alfreton,Rhys Hilton,left-foot,regular,save,0.02027,0.08728
14168567,20/09/2025,Telford,Alfreton,Rhys Hilton,left-foot,regular,block,0.1648,0.0
14168567,20/09/2025,Telford,Alfreton,Rhys Hilton,left-foot,regular,save,0.1339,0.06585
14168558,06/09/2025,Telford,Chorley,Rhys Hilton,left-foot,regular,block,0.2471,0.0
14168558,06/09/2025,Telford,Chorley,Rhys Hilton,left-foot,regular,block,0.03177,0.0
14168558,06/09/2025,Telford,Chorley,Rhys Hilton,right-foot,regular,block,0.007003,0.0
14168558,06/09/2025,Telford,Chorley,Rhys Hilton,left-foot,regular,block,0.063,0.0
14168558,06/09/2025,Telford,Chorley,Rhys Hilton,left-foot,regular,save,0.1843,0.5146
14168558,06/09/2025,Telford,Chorley,Rhys Hilton,left-foot,regular,block,0.1244,0.0
14168750,30/12/2025,Telford,Kidderminster,Rhys Hilton,left-foot,regular,save,0.04754,0.04666
14969964,09/12/2025,Telford,Leamington,Rhys Hilton,right-foot,throw-in-set-piece,goal,0.09887,0.5683
14969964,09/12/2025,Telford,Leamington,Rhys Hilton,left-foot,regular,save,0.1135,0.0472
14969964,09/12/2025,Telford,Leamington,Rhys Hilton,left-foot,regular,block,0.2939,0.0
14969964,09/12/2025,Telford,Leamington,Rhys Hilton,left-foot,regular,save,0.07692,0.1745
14168811,27/01/2026,Telford,Merthyr,Rhys Hilton,left-foot,regular,miss,0.04844,0.0
14168811,27/01/2026,Telford,Merthyr,Rhys Hilton,left-foot,regular,block,0.1313,0.0
14168478,16/08/2025,Telford,Curzon Ashton,Rhys Hilton,right-foot,regular,save,0.07357,0.0623
14168511,23/08/2025,Telford,Buxton,Rhys Hilton,left-foot,regular,block,0.1083,0.0
14168511,23/08/2025,Telford,Buxton,Rhys Hilton,left-foot,corner,save,0.06902,0.09262
14168511,23/08/2025,Telford,Buxton,Rhys Hilton,left-foot,throw-in-set-piece,block,0.04449,0.0
14168530,30/08/2025,Telford,Spennymoor,Rhys Hilton,left-foot,regular,block,0.008398,0.0
14168546,02/09/2025,Telford,Peterborough,Rhys Hilton,left-foot,regular,block,0.01161,0.0
14168546,02/09/2025,Telford,Peterborough,Rhys Hilton,left-foot,regular,block,0.06631,0.0
14168546,02/09/2025,Telford,Peterborough,Rhys Hilton,left-foot,regular,block,0.01565,0.0
14168676,22/11/2025,Telford,South Shields,Rhys Hilton,left-foot,regular,block,0.001881,0.0
14168735,26/12/2025,Telford,Chester,Rhys Hilton,left-foot,regular,block,0.03196,0.0
15452627,17/02/2026,Telford,Chorley,Rhys Hilton,right-foot,regular,save,0.07119,0.1008
15447037,03/03/2026,Telford,Leamington,Rhys Hilton,left-foot,regular,save,0.03726,0.009784
14168901,07/03/2026,Telford,Alfreton,Rhys Hilton,left-foot,regular,block,0.1095,0.0
14168936,21/03/2026,Telford,Marine,Rhys Hilton,left-foot,regular,block,0.03,0.0
14168842,07/02/2026,Telford,Worksop,Rhys Hilton,left-foot,regular,save,0.08206,0.04567
