Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168496,19/08/2025,Telford,Bedford,Ricardo Dinanga,right-foot,regular,block,0.05321,0.0
14168558,06/09/2025,Telford,Chorley,Ricardo Dinanga,right-foot,regular,block,0.2997,0.0
14168558,06/09/2025,Telford,Chorley,Ricardo Dinanga,right-foot,regular,block,0.1455,0.0
14168786,17/01/2026,Telford,Curzon Ashton,Ricardo Dinanga,right-foot,regular,block,0.04101,0.0
14168520,25/08/2025,Telford,Darlington,Ricardo Dinanga,right-foot,regular,block,0.01527,0.0
14168520,25/08/2025,Telford,Darlington,Ricardo Dinanga,right-foot,throw-in-set-piece,block,0.01321,0.0
14168914,10/03/2026,Telford,Fylde,Ricardo Dinanga,right-foot,corner,block,0.04718,0.0
14168669,08/11/2025,Telford,Macclesfield,Ricardo Dinanga,right-foot,corner,block,0.008588,0.0
14168669,08/11/2025,Telford,Macclesfield,Ricardo Dinanga,right-foot,regular,miss,0.002347,0.0
14168530,30/08/2025,Telford,Spennymoor,Ricardo Dinanga,right-foot,regular,miss,0.05265,0.0
14168546,02/09/2025,Telford,Peterborough,Ricardo Dinanga,right-foot,regular,save,0.294,0.573
14168601,18/10/2025,Telford,Scarborough,Ricardo Dinanga,right-foot,regular,goal,0.02893,0.03291
14168601,18/10/2025,Telford,Scarborough,Ricardo Dinanga,right-foot,throw-in-set-piece,save,0.03304,0.07164
14168688,25/11/2025,Telford,Oxford,Ricardo Dinanga,right-foot,regular,block,0.04532,0.0
14168688,25/11/2025,Telford,Oxford,Ricardo Dinanga,right-foot,regular,goal,0.2058,0.6715
15452627,17/02/2026,Telford,Chorley,Ricardo Dinanga,right-foot,regular,save,0.02647,0.05089
15395692,17/03/2026,Telford,Macclesfield,Ricardo Dinanga,right-foot,regular,save,0.1803,0.187
