Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168658,08/11/2025,Merthyr,Bedford,Ricardo Rees,right-foot,regular,miss,0.1718,0.0
14168658,08/11/2025,Merthyr,Bedford,Ricardo Rees,right-foot,regular,goal,0.1473,0.4926
14168658,08/11/2025,Merthyr,Bedford,Ricardo Rees,right-foot,regular,goal,0.2113,0.1418
14168700,29/11/2025,Merthyr,Buxton,Ricardo Rees,left-foot,regular,save,0.2305,0.3216
14168700,29/11/2025,Merthyr,Buxton,Ricardo Rees,left-foot,set-piece,save,0.09435,0.1478
14168578,04/10/2025,Merthyr,Chester,Ricardo Rees,right-foot,regular,block,0.07763,0.0
14168578,04/10/2025,Merthyr,Chester,Ricardo Rees,right-foot,regular,miss,0.001232,0.0
14168507,23/08/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,goal,0.1419,0.612
14168507,23/08/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,save,0.078,0.09509
14168507,23/08/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,miss,0.04163,0.0
14168507,23/08/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,goal,0.7274,0.8532
14168713,06/12/2025,Merthyr,Fylde,Ricardo Rees,right-foot,throw-in-set-piece,save,0.03432,0.06566
14168713,06/12/2025,Merthyr,Fylde,Ricardo Rees,right-foot,regular,save,0.1007,0.05477
14168713,06/12/2025,Merthyr,Fylde,Ricardo Rees,right-foot,corner,save,0.07955,0.09498
14168533,30/08/2025,Merthyr,King's Lynn,Ricardo Rees,right-foot,throw-in-set-piece,block,0.004813,0.0
14168548,02/09/2025,Merthyr,Macclesfield,Ricardo Rees,right-foot,regular,save,0.02614,0.03405
14168548,02/09/2025,Merthyr,Macclesfield,Ricardo Rees,right-foot,regular,post,0.102,0.0
14168489,09/08/2025,Merthyr,Southport,Ricardo Rees,right-foot,regular,miss,0.1285,0.0
14168501,19/08/2025,Merthyr,Marine,Ricardo Rees,right-foot,free-kick,post,0.2956,0.0
14168501,19/08/2025,Merthyr,Marine,Ricardo Rees,right-foot,regular,save,0.09001,0.1807
14168525,25/08/2025,Merthyr,Scarborough,Ricardo Rees,right-foot,regular,block,0.3278,0.0
14168525,25/08/2025,Merthyr,Scarborough,Ricardo Rees,left-foot,regular,block,0.3585,0.0
14168525,25/08/2025,Merthyr,Scarborough,Ricardo Rees,right-foot,regular,goal,0.1459,0.7175
14168560,06/09/2025,Merthyr,Worksop,Ricardo Rees,right-foot,regular,block,0.1468,0.0
14168560,06/09/2025,Merthyr,Worksop,Ricardo Rees,right-foot,throw-in-set-piece,miss,0.05149,0.0
14168560,06/09/2025,Merthyr,Worksop,Ricardo Rees,left-foot,regular,goal,0.6905,0.7882
14168560,06/09/2025,Merthyr,Worksop,Ricardo Rees,right-foot,regular,block,0.1693,0.0
14168560,06/09/2025,Merthyr,Worksop,Ricardo Rees,right-foot,regular,save,0.08306,0.03186
14168574,20/09/2025,Merthyr,Radcliffe,Ricardo Rees,left-foot,regular,save,0.1265,0.139
14168620,21/10/2025,Merthyr,Kidderminster,Ricardo Rees,right-foot,regular,miss,0.002491,0.0
14168620,21/10/2025,Merthyr,Kidderminster,Ricardo Rees,right-foot,regular,save,0.1002,0.06267
14168640,01/11/2025,Merthyr,Darlington,Ricardo Rees,right-foot,regular,miss,0.06928,0.0
14168640,01/11/2025,Merthyr,Darlington,Ricardo Rees,right-foot,regular,block,0.04621,0.0
14168640,01/11/2025,Merthyr,Darlington,Ricardo Rees,right-foot,regular,miss,0.03447,0.0
14837162,11/11/2025,Merthyr,South Shields,Ricardo Rees,right-foot,regular,miss,0.1268,0.0
14837162,11/11/2025,Merthyr,South Shields,Ricardo Rees,right-foot,regular,save,0.1043,0.1752
14837162,11/11/2025,Merthyr,South Shields,Ricardo Rees,right-foot,regular,save,0.2929,0.1918
14168681,22/11/2025,Merthyr,Alfreton,Ricardo Rees,right-foot,regular,goal,0.1279,0.4655
14168681,22/11/2025,Merthyr,Alfreton,Ricardo Rees,right-foot,regular,goal,0.1254,0.7819
14168681,22/11/2025,Merthyr,Alfreton,Ricardo Rees,right-foot,regular,save,0.1473,0.7266
14168681,22/11/2025,Merthyr,Alfreton,Ricardo Rees,right-foot,regular,miss,0.02904,0.0
14168681,22/11/2025,Merthyr,Alfreton,Ricardo Rees,left-foot,throw-in-set-piece,goal,0.1035,0.601
14168681,22/11/2025,Merthyr,Alfreton,Ricardo Rees,right-foot,regular,save,0.08477,0.036
14168693,25/11/2025,Merthyr,Leamington,Ricardo Rees,right-foot,regular,goal,0.2909,0.8055
14168693,25/11/2025,Merthyr,Leamington,Ricardo Rees,head,regular,goal,0.4693,0.483
14168693,25/11/2025,Merthyr,Leamington,Ricardo Rees,right-foot,regular,save,0.1481,0.0384
14168693,25/11/2025,Merthyr,Leamington,Ricardo Rees,left-foot,regular,save,0.07189,0.08221
14168693,25/11/2025,Merthyr,Leamington,Ricardo Rees,left-foot,regular,miss,0.04021,0.0
14168693,25/11/2025,Merthyr,Leamington,Ricardo Rees,right-foot,regular,save,0.06332,0.07922
14168729,20/12/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,miss,0.01529,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,block,0.2439,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Ricardo Rees,right-foot,regular,block,0.2856,0.0
14168754,30/12/2025,Merthyr,Hereford,Ricardo Rees,right-foot,regular,block,0.03369,0.0
14168754,30/12/2025,Merthyr,Hereford,Ricardo Rees,right-foot,regular,miss,0.3238,0.0
14168754,30/12/2025,Merthyr,Hereford,Ricardo Rees,right-foot,regular,goal,0.229,0.6905
14168490,16/08/2025,Merthyr,Peterborough,Ricardo Rees,right-foot,regular,miss,0.204,0.0
14168490,16/08/2025,Merthyr,Peterborough,Ricardo Rees,right-foot,regular,goal,0.07526,0.5919
14168490,16/08/2025,Merthyr,Peterborough,Ricardo Rees,right-foot,regular,miss,0.2272,0.0
14168490,16/08/2025,Merthyr,Peterborough,Ricardo Rees,right-foot,regular,save,0.1096,0.1546
14168490,16/08/2025,Merthyr,Peterborough,Ricardo Rees,right-foot,regular,block,0.01273,0.0
14168490,16/08/2025,Merthyr,Peterborough,Ricardo Rees,right-foot,regular,goal,0.2461,0.5577
14168614,18/10/2025,Merthyr,Spennymoor,Ricardo Rees,right-foot,regular,save,0.07264,0.0651
14168614,18/10/2025,Merthyr,Spennymoor,Ricardo Rees,right-foot,regular,goal,0.3862,0.1293
