Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168631,25/10/2025,Peterborough,Curzon Ashton,Richard Faakye,right-foot,regular,block,0.06266,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Richard Faakye,left-foot,corner,save,0.3865,0.6715
15559405,24/03/2026,Kidderminster,Darlington,Richard Faakye,right-foot,corner,miss,0.527,0.0
14168957,28/03/2026,Kidderminster,Oxford,Richard Faakye,head,set-piece,miss,0.03764,0.0
14168585,04/10/2025,Peterborough,Kidderminster,Richard Faakye,left-foot,corner,block,0.03492,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Richard Faakye,left-foot,regular,save,0.03762,0.04449
15519410,31/03/2026,Kidderminster,Spennymoor,Richard Faakye,right-foot,throw-in-set-piece,block,0.01141,0.0
14168969,03/04/2026,Kidderminster,Hereford,Richard Faakye,left-foot,regular,block,0.0249,0.0
14168992,11/04/2026,Kidderminster,King's Lynn,Richard Faakye,head,set-piece,miss,0.08856,0.0
14168992,11/04/2026,Kidderminster,King's Lynn,Richard Faakye,head,corner,block,0.02445,0.0
14168992,11/04/2026,Kidderminster,King's Lynn,Richard Faakye,left-foot,regular,miss,0.003576,0.0
