Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168498,19/08/2025,Scarborough,Chorley,Richie Bennett,left-foot,set-piece,save,0.505,0.6327
14168870,21/02/2026,Scarborough,Hereford,Richie Bennett,left-foot,regular,save,0.01641,0.01652
14168474,09/08/2025,Scarborough,Kidderminster,Richie Bennett,left-foot,regular,block,0.02474,0.0
14168942,21/03/2026,Scarborough,Leamington,Richie Bennett,left-foot,regular,goal,0.1223,0.6142
14168942,21/03/2026,Scarborough,Leamington,Richie Bennett,head,regular,miss,0.06941,0.0
14168942,21/03/2026,Scarborough,Leamington,Richie Bennett,left-foot,throw-in-set-piece,goal,0.03826,0.4634
14168942,21/03/2026,Scarborough,Leamington,Richie Bennett,left-foot,regular,miss,0.1388,0.0
14168708,29/11/2025,Scarborough,Macclesfield,Richie Bennett,left-foot,regular,miss,0.2277,0.0
14168525,25/08/2025,Scarborough,Merthyr,Richie Bennett,head,regular,miss,0.1878,0.0
14168525,25/08/2025,Scarborough,Merthyr,Richie Bennett,left-foot,regular,save,0.1463,0.1168
14168730,20/12/2025,Scarborough,Peterborough,Richie Bennett,left-foot,regular,save,0.0908,0.04279
14168607,16/08/2025,Scarborough,Fylde,Richie Bennett,left-foot,regular,block,0.116,0.0
14168534,30/08/2025,Scarborough,Southport,Richie Bennett,left-foot,regular,save,0.1902,0.09875
14168718,06/12/2025,Scarborough,Bedford,Richie Bennett,left-foot,regular,miss,0.3712,0.0
14168829,31/01/2026,Scarborough,Worksop,Richie Bennett,left-foot,regular,block,0.01898,0.0
14168922,10/03/2026,Scarborough,King's Lynn,Richie Bennett,head,set-piece,block,0.2317,0.0
14168922,10/03/2026,Scarborough,King's Lynn,Richie Bennett,head,throw-in-set-piece,miss,0.05077,0.0
14168959,28/03/2026,Scarborough,Chorley,Richie Bennett,left-foot,throw-in-set-piece,block,0.005424,0.0
14168767,03/01/2026,Scarborough,Southport,Richie Bennett,left-foot,regular,miss,0.07959,0.0
14168767,03/01/2026,Scarborough,Southport,Richie Bennett,left-foot,regular,goal,0.2297,0.2626
14168967,03/04/2026,Scarborough,Darlington,Richie Bennett,left-foot,set-piece,goal,0.6915,0.8616
14168977,06/04/2026,Scarborough,Spennymoor,Richie Bennett,head,corner,miss,0.1293,0.0
14168977,06/04/2026,Scarborough,Spennymoor,Richie Bennett,left-foot,throw-in-set-piece,miss,0.002945,0.0
14168977,06/04/2026,Scarborough,Spennymoor,Richie Bennett,left-foot,regular,miss,0.08705,0.0
