Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168556,06/09/2025,Scarborough,Chester,Rio Allan,head,regular,save,0.1308,0.3533
14168556,06/09/2025,Scarborough,Chester,Rio Allan,left-foot,regular,goal,0.543,0.7591
14168666,08/11/2025,Scarborough,Curzon Ashton,Rio Allan,left-foot,regular,miss,0.115,0.0
14168666,08/11/2025,Scarborough,Curzon Ashton,Rio Allan,left-foot,regular,miss,0.02137,0.0
14168666,08/11/2025,Scarborough,Curzon Ashton,Rio Allan,right-foot,regular,save,0.2236,0.6043
14168666,08/11/2025,Scarborough,Curzon Ashton,Rio Allan,left-foot,free-kick,block,0.1967,0.0
14168474,09/08/2025,Scarborough,Kidderminster,Rio Allan,left-foot,regular,block,0.02637,0.0
14168942,21/03/2026,Scarborough,Leamington,Rio Allan,left-foot,corner,block,0.03747,0.0
14168942,21/03/2026,Scarborough,Leamington,Rio Allan,right-foot,regular,save,0.0341,0.0291
14168834,07/02/2026,Scarborough,Marine,Rio Allan,left-foot,regular,miss,0.05239,0.0
14168525,25/08/2025,Scarborough,Merthyr,Rio Allan,left-foot,throw-in-set-piece,goal,0.05924,0.1228
14168525,25/08/2025,Scarborough,Merthyr,Rio Allan,left-foot,regular,miss,0.0278,0.0
14168909,07/03/2026,Scarborough,Oxford,Rio Allan,left-foot,throw-in-set-piece,save,0.06545,0.3592
14168909,07/03/2026,Scarborough,Oxford,Rio Allan,left-foot,regular,block,0.4067,8.891e-05
14168909,07/03/2026,Scarborough,Oxford,Rio Allan,left-foot,free-kick,block,0.08859,0.0
14168909,07/03/2026,Scarborough,Oxford,Rio Allan,left-foot,regular,block,0.009801,0.0
14168814,27/01/2026,Scarborough,Radcliffe,Rio Allan,right-foot,corner,goal,0.6457,0.8314
14168814,27/01/2026,Scarborough,Radcliffe,Rio Allan,left-foot,regular,save,0.02852,0.008731
14168515,23/08/2025,Scarborough,Peterborough,Rio Allan,left-foot,regular,miss,0.3342,0.0
14168515,23/08/2025,Scarborough,Peterborough,Rio Allan,head,regular,miss,0.1807,0.0
14168515,23/08/2025,Scarborough,Peterborough,Rio Allan,left-foot,regular,goal,0.03818,0.5232
14168534,30/08/2025,Scarborough,Southport,Rio Allan,right-foot,throw-in-set-piece,block,0.004215,0.0
14168552,02/09/2025,Scarborough,Buxton,Rio Allan,left-foot,regular,post,0.06302,0.0
14168552,02/09/2025,Scarborough,Buxton,Rio Allan,left-foot,regular,block,0.1054,0.0
14168552,02/09/2025,Scarborough,Buxton,Rio Allan,right-foot,regular,block,0.0193,0.0
14168573,20/09/2025,Scarborough,Oxford,Rio Allan,left-foot,regular,miss,0.1702,0.0
14168573,20/09/2025,Scarborough,Oxford,Rio Allan,left-foot,regular,miss,0.2057,0.0
14168573,20/09/2025,Scarborough,Oxford,Rio Allan,left-foot,regular,block,0.001585,0.0
14168600,11/10/2025,Scarborough,Leamington,Rio Allan,left-foot,regular,save,0.2745,0.5612
14168600,11/10/2025,Scarborough,Leamington,Rio Allan,left-foot,regular,save,0.07087,0.03409
14168600,11/10/2025,Scarborough,Leamington,Rio Allan,left-foot,regular,save,0.06997,0.09289
14168637,25/10/2025,Scarborough,Marine,Rio Allan,left-foot,regular,block,0.03283,0.0
14168695,25/11/2025,Scarborough,Alfreton,Rio Allan,left-foot,regular,miss,0.01948,0.0
14168718,06/12/2025,Scarborough,Bedford,Rio Allan,left-foot,regular,save,0.03123,0.01256
14969967,16/12/2025,Scarborough,Radcliffe,Rio Allan,left-foot,regular,block,0.0823,0.0
14168742,26/12/2025,Scarborough,Darlington,Rio Allan,left-foot,throw-in-set-piece,miss,0.01776,0.0
14168829,31/01/2026,Scarborough,Worksop,Rio Allan,left-foot,regular,save,0.03217,0.01072
14168854,10/02/2026,Scarborough,South Shields,Rio Allan,left-foot,regular,block,0.01167,0.0
14168854,10/02/2026,Scarborough,South Shields,Rio Allan,left-foot,free-kick,miss,0.002033,0.0
14168863,14/02/2026,Scarborough,Curzon Ashton,Rio Allan,head,throw-in-set-piece,save,0.01539,0.04038
14168863,14/02/2026,Scarborough,Curzon Ashton,Rio Allan,left-foot,regular,save,0.3406,0.7815
14168863,14/02/2026,Scarborough,Curzon Ashton,Rio Allan,left-foot,set-piece,save,0.06254,0.04527
14168863,14/02/2026,Scarborough,Curzon Ashton,Rio Allan,left-foot,regular,save,0.04397,0.2009
14168899,28/02/2026,Scarborough,Macclesfield,Rio Allan,left-foot,regular,block,0.04098,0.0
14168899,28/02/2026,Scarborough,Macclesfield,Rio Allan,right-foot,regular,block,0.2717,0.0
14168922,10/03/2026,Scarborough,King's Lynn,Rio Allan,right-foot,regular,miss,0.1748,0.0
14168922,10/03/2026,Scarborough,King's Lynn,Rio Allan,left-foot,regular,block,0.002094,0.0
14168935,14/03/2026,Scarborough,Telford,Rio Allan,right-foot,regular,block,0.02723,0.0
14168935,14/03/2026,Scarborough,Telford,Rio Allan,right-foot,regular,save,0.1375,0.1252
14168935,14/03/2026,Scarborough,Telford,Rio Allan,left-foot,regular,miss,0.04754,0.0
14168959,28/03/2026,Scarborough,Chorley,Rio Allan,left-foot,free-kick,block,0.02722,0.0
14168959,28/03/2026,Scarborough,Chorley,Rio Allan,left-foot,regular,save,0.1405,0.1034
14168959,28/03/2026,Scarborough,Chorley,Rio Allan,left-foot,throw-in-set-piece,miss,0.06087,0.0
14168959,28/03/2026,Scarborough,Chorley,Rio Allan,left-foot,regular,save,0.09911,0.3104
14168767,03/01/2026,Scarborough,Southport,Rio Allan,left-foot,regular,block,0.0426,0.0
14168760,30/12/2025,Scarborough,Spennymoor,Rio Allan,left-foot,throw-in-set-piece,save,0.02229,0.03685
14168651,01/11/2025,Scarborough,Worksop,Rio Allan,right-foot,throw-in-set-piece,miss,0.06792,0.0
