Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168568,20/09/2025,Spennymoor,Bedford,Robert Ramshaw,left-foot,regular,miss,0.06827,0.0
14168568,20/09/2025,Spennymoor,Bedford,Robert Ramshaw,head,corner,block,0.0735,0.0
14168568,20/09/2025,Spennymoor,Bedford,Robert Ramshaw,right-foot,regular,save,0.0658,0.2418
14168893,28/02/2026,Spennymoor,Chester,Robert Ramshaw,head,corner,post,0.1131,0.0
14168690,25/11/2025,Spennymoor,Chorley,Robert Ramshaw,left-foot,regular,block,0.1607,0.0
14168679,22/11/2025,Spennymoor,Darlington,Robert Ramshaw,right-foot,regular,miss,0.05584,0.0
14168679,22/11/2025,Spennymoor,Darlington,Robert Ramshaw,right-foot,regular,miss,0.001206,0.0
14168679,22/11/2025,Spennymoor,Darlington,Robert Ramshaw,right-foot,regular,save,0.182,0.1374
14168857,10/02/2026,Spennymoor,Fylde,Robert Ramshaw,right-foot,regular,save,0.1801,0.5406
14168633,25/10/2025,Spennymoor,Kidderminster,Robert Ramshaw,right-foot,throw-in-set-piece,miss,0.008996,0.0
14168633,25/10/2025,Spennymoor,Kidderminster,Robert Ramshaw,right-foot,regular,save,0.05718,0.1217
15399474,17/02/2026,Spennymoor,Leamington,Robert Ramshaw,right-foot,regular,post,0.148,0.0
15399474,17/02/2026,Spennymoor,Leamington,Robert Ramshaw,right-foot,regular,block,0.00597,0.0
15399474,17/02/2026,Spennymoor,Leamington,Robert Ramshaw,right-foot,regular,miss,0.03569,0.0
14168717,06/12/2025,Spennymoor,Marine,Robert Ramshaw,left-foot,regular,save,0.2305,0.4466
14168717,06/12/2025,Spennymoor,Marine,Robert Ramshaw,right-foot,regular,goal,0.07246,0.03792
14168717,06/12/2025,Spennymoor,Marine,Robert Ramshaw,head,corner,block,0.162,0.0
14168717,06/12/2025,Spennymoor,Marine,Robert Ramshaw,right-foot,regular,goal,0.2755,0.2543
14168934,14/03/2026,Spennymoor,Merthyr,Robert Ramshaw,left-foot,regular,save,0.1113,0.1897
14168934,14/03/2026,Spennymoor,Merthyr,Robert Ramshaw,right-foot,regular,save,0.0126,0.108
14168934,14/03/2026,Spennymoor,Merthyr,Robert Ramshaw,head,corner,miss,0.01994,0.0
14168934,14/03/2026,Spennymoor,Merthyr,Robert Ramshaw,left-foot,regular,block,0.1578,0.0
14168934,14/03/2026,Spennymoor,Merthyr,Robert Ramshaw,right-foot,set-piece,block,0.006593,0.0
14168934,14/03/2026,Spennymoor,Merthyr,Robert Ramshaw,right-foot,regular,save,0.1301,0.07887
14168516,23/08/2025,Spennymoor,Oxford,Robert Ramshaw,right-foot,regular,miss,0.0608,0.0
14168516,23/08/2025,Spennymoor,Oxford,Robert Ramshaw,right-foot,regular,goal,0.5315,0.5402
14168516,23/08/2025,Spennymoor,Oxford,Robert Ramshaw,left-foot,regular,save,0.09052,0.09252
14168477,16/08/2025,Spennymoor,Radcliffe,Robert Ramshaw,right-foot,regular,block,0.01237,0.0
14168477,16/08/2025,Spennymoor,Radcliffe,Robert Ramshaw,right-foot,regular,block,0.04098,0.0
14168477,16/08/2025,Spennymoor,Radcliffe,Robert Ramshaw,right-foot,regular,block,0.04811,0.0
14168925,10/03/2026,Spennymoor,Southport,Robert Ramshaw,right-foot,regular,save,0.1292,0.4499
14168495,09/08/2025,Spennymoor,Hereford,Robert Ramshaw,head,set-piece,miss,0.1702,0.0
14168495,09/08/2025,Spennymoor,Hereford,Robert Ramshaw,head,corner,save,0.05697,0.1489
14168528,25/08/2025,Spennymoor,Macclesfield,Robert Ramshaw,right-foot,regular,save,0.2578,0.1982
14168528,25/08/2025,Spennymoor,Macclesfield,Robert Ramshaw,left-foot,regular,save,0.2918,0.2784
14168565,06/08/2025,Spennymoor,Leamington,Robert Ramshaw,right-foot,regular,block,0.007509,0.0
14168592,04/10/2025,Spennymoor,Southport,Robert Ramshaw,right-foot,set-piece,block,0.04053,0.0
14168592,04/10/2025,Spennymoor,Southport,Robert Ramshaw,left-foot,regular,miss,0.189,0.0
14168614,18/10/2025,Spennymoor,Merthyr,Robert Ramshaw,head,corner,save,0.04115,0.04215
14168614,18/10/2025,Spennymoor,Merthyr,Robert Ramshaw,right-foot,regular,goal,0.04307,0.1222
14168614,18/10/2025,Spennymoor,Merthyr,Robert Ramshaw,right-foot,regular,block,0.01208,0.0
14168614,18/10/2025,Spennymoor,Merthyr,Robert Ramshaw,right-foot,regular,miss,0.1963,0.0
14168624,21/10/2025,Spennymoor,Fylde,Robert Ramshaw,right-foot,regular,block,0.06937,0.0
15141451,13/12/2025,Spennymoor,Buxton,Robert Ramshaw,right-foot,regular,goal,0.06925,0.513
14168733,20/12/2025,Spennymoor,Oxford,Robert Ramshaw,right-foot,regular,miss,0.05119,0.0
14168733,20/12/2025,Spennymoor,Oxford,Robert Ramshaw,head,corner,miss,0.1868,0.0
14168733,20/12/2025,Spennymoor,Oxford,Robert Ramshaw,right-foot,regular,block,0.001382,0.0
14168760,30/12/2025,Spennymoor,Scarborough,Robert Ramshaw,right-foot,corner,block,0.1442,0.0
14168760,30/12/2025,Spennymoor,Scarborough,Robert Ramshaw,right-foot,set-piece,miss,0.2114,0.0
14168877,21/02/2026,Spennymoor,Darlington,Robert Ramshaw,head,set-piece,miss,0.09379,0.0
14168890,24/02/2026,Spennymoor,Chorley,Robert Ramshaw,right-foot,regular,miss,0.07666,0.0
14168890,24/02/2026,Spennymoor,Chorley,Robert Ramshaw,left-foot,regular,goal,0.8016,0.8815
14168912,07/03/2026,Spennymoor,Bedford,Robert Ramshaw,head,regular,miss,0.3213,0.0
15447033,17/03/2026,Spennymoor,Curzon Ashton,Robert Ramshaw,right-foot,regular,block,0.05354,0.0
15447033,17/03/2026,Spennymoor,Curzon Ashton,Robert Ramshaw,head,set-piece,miss,0.0991,0.0
15447033,17/03/2026,Spennymoor,Curzon Ashton,Robert Ramshaw,right-foot,corner,save,0.07717,0.02348
15447033,17/03/2026,Spennymoor,Curzon Ashton,Robert Ramshaw,right-foot,regular,block,0.004648,0.0
14168949,21/03/2026,Spennymoor,Alfreton,Robert Ramshaw,head,regular,miss,0.3374,0.0
14168949,21/03/2026,Spennymoor,Alfreton,Robert Ramshaw,right-foot,throw-in-set-piece,block,0.002909,0.0
14168553,02/09/2025,Spennymoor,Worksop,Robert Ramshaw,head,regular,miss,0.06566,0.0
14168553,02/09/2025,Spennymoor,Worksop,Robert Ramshaw,right-foot,throw-in-set-piece,miss,0.08336,0.0
14168553,02/09/2025,Spennymoor,Worksop,Robert Ramshaw,right-foot,regular,goal,0.1047,0.317
