Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168881,24/02/2026,Curzon Ashton,Darlington,Ruben Curley,left-foot,corner,miss,0.1442,0.0
14168919,10/03/2026,Curzon Ashton,Oxford,Ruben Curley,left-foot,set-piece,block,0.008092,0.0
14168919,10/03/2026,Curzon Ashton,Oxford,Ruben Curley,left-foot,regular,miss,0.04706,0.0
14168952,28/03/2026,Curzon Ashton,Chester,Ruben Curley,left-foot,corner,miss,0.005639,0.0
14168952,28/03/2026,Curzon Ashton,Chester,Ruben Curley,left-foot,free-kick,save,0.03757,0.02205
14168952,28/03/2026,Curzon Ashton,Chester,Ruben Curley,left-foot,regular,save,0.05404,0.01391
14168889,28/02/2026,Curzon Ashton,Fylde,Ruben Curley,left-foot,regular,save,0.1169,0.6208
14168941,21/03/2026,Curzon Ashton,King's Lynn,Ruben Curley,left-foot,regular,block,0.009469,0.0
14168991,11/04/2026,Curzon Asjton,Chorley,Ruben Curley,left-foot,regular,block,0.01585,0.0
14168978,06/04/2026,Curzon Ashton,Southport,Ruben Curley,left-foot,set-piece,block,0.001675,0.0
14169004,18/04/2026,Curzon Ashton,Buxton,Ruben Curley,left-foot,regular,block,0.04737,0.0
14168968,03/04/2026,Curzon Ashton,Radcliffe,Ruben Curley,left-foot,regular,goal,0.02469,0.1803
14168968,03/04/2026,Curzon Ashton,Radcliffe,Ruben Curley,left-foot,free-kick,block,0.1699,0.0
