Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168496,19/08/2025,Bedford,Telford,Ryan Blake,head,throw-in-set-piece,miss,0.01013,0.0
14168527,25/08/2025,Bedford,South Shields,Ryan Blake,right-foot,regular,save,0.2511,0.4025
14168555,06/09/2025,Bedford,Curzon Ashton,Ryan Blake,head,corner,block,0.03787,0.0
14168532,30/08/2025,Bedford,Fylde,Ryan Blake,head,regular,save,0.05489,0.1274
14168545,02/09/2025,Bedford,Hereford,Ryan Blake,head,throw-in-set-piece,save,0.09954,0.2011
14168545,02/09/2025,Bedford,Hereford,Ryan Blake,head,regular,goal,0.1548,0.7988
14168545,02/09/2025,Bedford,Hereford,Ryan Blake,left-foot,corner,miss,0.02527,0.0
14168510,23/08/2025,Bedford,Marine,Ryan Blake,right-foot,throw-in-set-piece,save,0.04795,0.6807
14168510,23/08/2025,Bedford,Marine,Ryan Blake,head,throw-in-set-piece,post,0.04264,0.0
14168510,23/08/2025,Bedford,Marine,Ryan Blake,head,regular,save,0.09049,0.2049
14168510,23/08/2025,Bedford,Marine,Ryan Blake,right-foot,throw-in-set-piece,block,0.005065,0.0
